日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-08-27,アイムジャグラーEX-TP,439,6740,3300,37,26,1/107.0,1/182.2,1/259.2,6.293090807199539
2022-08-27,アイムジャグラーEX-TP,440,7140,0,22,30,1/137.3,1/324.5,1/238.0,5.908636589554821
2022-08-27,アイムジャグラーEX-TP,441,2290,-200,8,6,1/163.6,1/286.2,1/381.7,6.08971128652198
2022-08-27,アイムジャグラーEX-TP,442,5710,-2000,12,17,1/196.9,1/475.8,1/335.9,5.854565918029002
2022-08-27,アイムジャグラーEX-TP,443,2270,-1000,4,7,1/206.4,1/567.5,1/324.3,5.920060149897487
2022-08-27,アイムジャグラーEX-TP,444,5830,900,24,20,1/132.5,1/242.9,1/291.5,6.053129239396796
2022-08-27,アイムジャグラーEX-TP,445,3240,-700,9,9,1/180.0,1/360.0,1/360.0,5.92693298962
2022-08-27,アイムジャグラーEX-TP,446,5240,-400,19,13,1/163.8,1/275.8,1/403.1,6.131885147450774
2022-08-27,アイムジャグラーEX-TP,447,5150,1000,22,16,1/135.5,1/234.1,1/321.9,5.911600339084804
2022-08-27,アイムジャグラーEX-TP,448,2140,-900,6,4,1/214.0,1/356.7,1/535.0,6.529105930472344
2022-08-27,アイムジャグラーEX-TP,449,7550,-1100,23,27,1/151.0,1/328.3,1/279.6,6.266654880375368
2022-08-27,アイムジャグラーEX-TP,450,2040,-1200,4,5,1/226.7,1/510.0,1/408.0,6.589884817535297
2022-08-27,アイムジャグラーEX-TP,451,6960,1800,31,25,1/124.3,1/224.5,1/278.4,6.034393964773705
2022-08-27,アイムジャグラーEX-TP,452,5720,900,27,12,1/146.7,1/211.9,1/476.7,6.154474843879964
2022-08-27,アイムジャグラーEX-TP,453,4860,-700,16,14,1/162.0,1/303.8,1/347.1,6.236630864213533
2022-08-27,アイムジャグラーEX-TP,454,6230,-900,20,16,1/173.1,1/311.5,1/389.4,6.003059151234886
2022-08-27,アイムジャグラーEX-TP,455,3690,-700,12,9,1/175.7,1/307.5,1/410.0,6.20526460366563
2022-08-27,アイムジャグラーEX-TP,456,5350,900,26,10,1/148.6,1/205.8,1/535.0,6.165803646237305
2022-08-27,アイムジャグラーEX-TP,457,6050,1000,26,18,1/137.5,1/232.7,1/336.1,6.012918332642593
2022-08-27,アイムジャグラーEX-TP,458,8080,-200,25,33,1/139.3,1/323.2,1/244.8,5.982788967411349
2022-08-27,アイムジャグラーEX-TP,459,5540,1600,26,16,1/131.9,1/213.1,1/346.2,5.869893285551979
2022-08-27,アイムジャグラーEX-TP,460,5040,1600,25,13,1/132.6,1/201.6,1/387.7,5.909222385025468
2022-08-27,アイムジャグラーEX-TP,461,5350,1400,26,14,1/133.8,1/205.8,1/382.1,6.0618833308405975
2022-08-27,アイムジャグラーEX-TP,462,5640,-1500,15,15,1/188.0,1/376.0,1/376.0,5.966498113094972
2022-08-27,アイムジャグラーEX-TP,463,4440,-200,13,20,1/134.5,1/341.5,1/222.0,6.067137384518565
2022-08-27,アイムジャグラーEX-TP,464,3360,-900,11,4,1/224.0,1/305.5,1/840.0,6.039899468030462
2022-08-27,アイムジャグラーEX-TP,465,5760,-600,20,15,1/164.6,1/288.0,1/384.0,6.136331058895834
2022-08-27,アイムジャグラーEX-TP,466,5590,1500,23,25,1/116.5,1/243.0,1/223.6,5.983962552169662
2022-08-27,アイムジャグラーEX-TP,467,3050,-500,10,7,1/179.4,1/305.0,1/435.7,6.051398195393695
2022-08-27,アイムジャグラーEX-TP,468,5410,500,24,14,1/142.4,1/225.4,1/386.4,6.350966127515426
2022-08-27,アイムジャグラーEX-TP,469,6520,-800,18,27,1/144.9,1/362.2,1/241.5,6.071896752052093
2022-08-27,マイジャグラーV,470,6000,-900,22,11,1/181.8,1/272.7,1/545.5,6.021126628056192
2022-08-27,マイジャグラーV,471,7810,-1200,22,23,1/173.6,1/355.0,1/339.6,5.624172773795474
2022-08-27,マイジャグラーV,472,6670,100,29,14,1/155.1,1/230.0,1/476.4,6.128483307997253
2022-08-27,マイジャグラーV,473,6780,2300,29,28,1/118.9,1/233.8,1/242.1,5.505624517179366
2022-08-27,マイジャグラーV,474,8900,2600,40,36,1/117.1,1/222.5,1/247.2,5.873270818744677
