日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-09-10,アイムジャグラーEX-TP,321,8620,2400,38,34,1/119.7,1/226.8,1/253.5,6.04481804817173
2022-09-10,アイムジャグラーEX-TP,322,5430,-400,19,15,1/159.7,1/285.8,1/362.0,6.095749062596157
2022-09-10,アイムジャグラーEX-TP,323,2840,-1300,8,3,1/258.2,1/355.0,1/946.7,6.3380852979073055
2022-09-10,アイムジャグラーEX-TP,324,5610,2100,29,19,1/116.9,1/193.4,1/295.3,6.243847973320404
2022-09-10,アイムジャグラーEX-TP,325,2080,-400,7,3,1/208.0,1/297.1,1/693.3,5.912438491452689
2022-09-10,アイムジャグラーEX-TP,326,4430,200,16,13,1/152.8,1/276.9,1/340.8,5.769912433438426
2022-09-10,アイムジャグラーEX-TP,327,6450,1100,28,16,1/146.6,1/230.4,1/403.1,5.831388783662709
2022-09-10,アイムジャグラーEX-TP,328,4080,500,19,5,1/170.0,1/214.7,1/816.0,5.864654132022564
2022-09-10,アイムジャグラーEX-TP,329,4850,-1600,13,13,1/186.5,1/373.1,1/373.1,6.300898430166883
2022-09-10,アイムジャグラーEX-TP,330,3820,-800,11,8,1/201.1,1/347.3,1/477.5,5.730968103786933
2022-09-10,アイムジャグラーEX-TP,331,2830,-500,10,5,1/188.7,1/283.0,1/566.0,6.175001955599118
2022-09-10,アイムジャグラーEX-TP,332,3060,-1800,7,3,1/306.0,1/437.1,1/1020.0,6.289568011503743
2022-09-10,アイムジャグラーEX-TP,333,5830,200,26,7,1/176.7,1/224.2,1/832.9,6.025173754694507
2022-09-10,アイムジャグラーEX-TP,334,1750,-700,5,0,1/350.0,1/350.0,1/0.0,5.671896965940259
2022-09-10,アイムジャグラーEX-TP,335,4220,-200,17,7,1/175.8,1/248.2,1/602.9,6.103215497886436
2022-09-10,アイムジャグラーEX-TP,336,4910,-1000,16,14,1/163.7,1/306.9,1/350.7,6.481258668353466
2022-09-10,アイムジャグラーEX-TP,337,7600,-500,25,26,1/149.0,1/304.0,1/292.3,6.105961326367449
2022-09-10,アイムジャグラーEX-TP,338,7400,1400,28,28,1/132.1,1/264.3,1/264.3,5.688168455877491
2022-09-10,アイムジャグラーEX-TP,339,5290,300,22,17,1/135.6,1/240.5,1/311.2,6.482780772268306
2022-09-10,アイムジャグラーEX-TP,340,5620,500,22,14,1/156.1,1/255.5,1/401.4,5.728732488375871
2022-09-10,アイムジャグラーEX-TP,391,4280,-700,13,11,1/178.3,1/329.2,1/389.1,5.896119196386505
2022-09-10,アイムジャグラーEX-TP,392,3120,-100,13,6,1/164.2,1/240.0,1/520.0,6.318014207634449
2022-09-10,アイムジャグラーEX-TP,393,5990,700,21,27,1/124.8,1/285.2,1/221.9,5.992519255094842
2022-09-10,アイムジャグラーEX-TP,394,4920,-600,17,12,1/169.7,1/289.4,1/410.0,6.125989566767403
2022-09-10,アイムジャグラーEX-TP,395,3640,0,14,8,1/165.5,1/260.0,1/455.0,5.914389856756403
2022-09-10,マイジャグラーV,396,7450,800,30,24,1/138.0,1/248.3,1/310.4,5.849475046419168
2022-09-10,マイジャグラーV,397,5430,-1200,16,13,1/187.2,1/339.4,1/417.7,5.811738290521331
2022-09-10,マイジャグラーV,398,6080,-200,21,19,1/152.0,1/289.5,1/320.0,5.824018097369919
2022-09-10,マイジャグラーV,399,7890,1800,33,27,1/131.5,1/239.1,1/292.2,5.586393563178912
2022-09-10,マイジャグラーV,400,6290,-1400,21,13,1/185.0,1/299.5,1/483.8,6.096043923111005
