日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-09-02,アイムジャグラーEX-TP,421,4740,1300,24,13,1/128.1,1/197.5,1/364.6,6.303205319532948
2022-09-02,アイムジャグラーEX-TP,422,2780,-600,11,1,1/231.7,1/252.7,1/2780.0,6.230163763664341
2022-09-02,アイムジャグラーEX-TP,423,4400,-1000,13,11,1/183.3,1/338.5,1/400.0,6.057885852909024
2022-09-02,アイムジャグラーEX-TP,424,4280,-600,11,17,1/152.9,1/389.1,1/251.8,5.864811705287182
2022-09-02,アイムジャグラーEX-TP,425,3060,400,14,5,1/161.1,1/218.6,1/612.0,5.908891268966261
2022-09-02,アイムジャグラーEX-TP,426,7580,2500,35,26,1/124.3,1/216.6,1/291.5,5.833901811661254
2022-09-02,アイムジャグラーEX-TP,427,3520,-800,7,16,1/153.0,1/502.9,1/220.0,5.846039403800308
2022-09-02,アイムジャグラーEX-TP,428,4270,500,19,9,1/152.5,1/224.7,1/474.4,6.030087169358458
2022-09-02,アイムジャグラーEX-TP,429,5050,-1700,13,12,1/202.0,1/388.5,1/420.8,6.067190227138182
2022-09-02,アイムジャグラーEX-TP,430,4540,-400,15,16,1/146.5,1/302.7,1/283.8,6.277413127826866
2022-09-02,アイムジャグラーEX-TP,431,5250,1800,27,14,1/128.0,1/194.4,1/375.0,6.037579620581246
2022-09-02,アイムジャグラーEX-TP,432,3860,400,17,11,1/137.9,1/227.1,1/350.9,6.379749814640171
2022-09-02,アイムジャグラーEX-TP,433,5860,-100,20,15,1/167.4,1/293.0,1/390.7,5.6740299793086715
2022-09-02,アイムジャグラーEX-TP,434,2430,-400,7,5,1/202.5,1/347.1,1/486.0,5.5403278870922215
2022-09-02,アイムジャグラーEX-TP,435,3270,-900,8,9,1/192.4,1/408.8,1/363.3,5.812872953795393
2022-09-02,アイムジャグラーEX-TP,436,4100,-800,12,11,1/178.3,1/341.7,1/372.7,5.959993182349262
2022-09-02,アイムジャグラーEX-TP,437,4980,-2500,10,4,1/355.7,1/498.0,1/1245.0,5.535229456935081
2022-09-02,アイムジャグラーEX-TP,438,3560,-900,8,13,1/169.5,1/445.0,1/273.8,5.8690559219639775
2022-09-02,アイムジャグラーEX-TP,439,1610,900,9,4,1/123.8,1/178.9,1/402.5,5.5318257790983925
2022-09-02,アイムジャグラーEX-TP,440,8040,2700,36,36,1/111.7,1/223.3,1/223.3,6.0945491989306335
2022-09-02,アイムジャグラーEX-TP,441,3830,400,16,11,1/141.9,1/239.4,1/348.2,6.10879931071052
2022-09-02,アイムジャグラーEX-TP,442,7040,1200,29,25,1/130.4,1/242.8,1/281.6,6.035230141585299
2022-09-02,アイムジャグラーEX-TP,443,1200,-600,2,1,1/400.0,1/600.0,1/1200.0,5.228091844503479
2022-09-02,アイムジャグラーEX-TP,444,4130,2000,27,6,1/125.2,1/153.0,1/688.3,6.4953554669779185
2022-09-02,アイムジャグラーEX-TP,445,2150,-500,8,1,1/238.9,1/268.8,1/2150.0,6.076368649046611
2022-09-02,アイムジャグラーEX-TP,446,3120,-100,10,12,1/141.8,1/312.0,1/260.0,6.0394036243777425
2022-09-02,アイムジャグラーEX-TP,447,3650,100,13,10,1/158.7,1/280.8,1/365.0,5.714712919830797
2022-09-02,アイムジャグラーEX-TP,448,2190,-800,5,5,1/219.0,1/438.0,1/438.0,5.831212751131562
2022-09-02,アイムジャグラーEX-TP,449,2300,-300,7,8,1/153.3,1/328.6,1/287.5,6.144832362961889
2022-09-02,アイムジャグラーEX-TP,450,6170,3700,33,30,1/97.9,1/187.0,1/205.7,6.0557102771537625
2022-09-02,アイムジャグラーEX-TP,451,4800,-300,15,16,1/154.8,1/320.0,1/300.0,5.86870066050392
2022-09-02,アイムジャグラーEX-TP,452,3030,-700,8,7,1/202.0,1/378.8,1/432.9,5.658184587347944
2022-09-02,マイジャグラーV,453,6020,-900,21,15,1/167.2,1/286.7,1/401.3,6.111062004362862
2022-09-02,マイジャグラーV,454,4560,-800,15,10,1/182.4,1/304.0,1/456.0,5.885801130783727
2022-09-02,マイジャグラーV,455,4950,-1800,14,10,1/206.2,1/353.6,1/495.0,6.1642650549915485
2022-09-02,マイジャグラーV,456,3420,-100,14,5,1/180.0,1/244.3,1/684.0,5.78599115952997
2022-09-02,マイジャグラーV,457,5620,-100,21,17,1/147.9,1/267.6,1/330.6,6.012239561108651
2022-09-02,マイジャグラーV,458,5050,500,20,17,1/136.5,1/252.5,1/297.1,5.876426460704706
2022-09-02,マイジャグラーV,459,7330,800,29,25,1/135.7,1/252.8,1/293.2,5.84687747777511
2022-09-02,マイジャグラーV,460,4400,-1000,11,15,1/169.2,1/400.0,1/293.3,5.795352917235775
