日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-09-03,アイムジャグラーEX-TP,411,4570,-1000,13,10,1/198.7,1/351.5,1/457.0,5.770500381301281
2022-09-03,アイムジャグラーEX-TP,412,4080,-900,12,9,1/194.3,1/340.0,1/453.3,5.888194019456585
2022-09-03,アイムジャグラーEX-TP,413,3340,-1400,9,5,1/238.6,1/371.1,1/668.0,6.203726284909658
2022-09-03,アイムジャグラーEX-TP,414,7650,200,29,20,1/156.1,1/263.8,1/382.5,5.912816106201906
2022-09-03,アイムジャグラーEX-TP,415,3490,-1600,6,14,1/174.5,1/581.7,1/249.3,6.370303361512342
2022-09-03,アイムジャグラーEX-TP,416,7080,2000,32,25,1/124.2,1/221.2,1/283.2,5.975152732457177
2022-09-03,アイムジャグラーEX-TP,417,5860,-600,20,17,1/158.4,1/293.0,1/344.7,6.191471902524678
2022-09-03,アイムジャグラーEX-TP,418,5740,700,25,12,1/155.1,1/229.6,1/478.3,5.896018374622838
2022-09-03,アイムジャグラーEX-TP,419,6190,1000,24,22,1/134.6,1/257.9,1/281.4,5.808933388801297
2022-09-03,アイムジャグラーEX-TP,420,6520,700,29,19,1/135.8,1/224.8,1/343.2,6.448544962974274
2022-09-03,アイムジャグラーEX-TP,456,4470,-500,14,12,1/171.9,1/319.3,1/372.5,5.823070117971232
2022-09-03,アイムジャグラーEX-TP,457,4440,-2400,7,10,1/261.2,1/634.3,1/444.0,5.809150943525829
2022-09-03,アイムジャグラーEX-TP,458,3420,-1400,7,10,1/201.2,1/488.6,1/342.0,6.032272126731335
2022-09-03,アイムジャグラーEX-TP,459,8760,1300,34,33,1/130.7,1/257.6,1/265.5,5.958001597846251
2022-09-03,アイムジャグラーEX-TP,460,4790,-1700,14,13,1/177.4,1/342.1,1/368.5,6.776420630961153
2022-09-03,アイムジャグラーEX-TP,461,7270,-400,23,27,1/145.4,1/316.1,1/269.3,6.039217699509958
2022-09-03,アイムジャグラーEX-TP,462,4370,-1800,10,12,1/198.6,1/437.0,1/364.2,6.250381709523736
2022-09-03,アイムジャグラーEX-TP,463,3150,-1600,6,7,1/242.3,1/525.0,1/450.0,6.014380096411466
2022-09-03,アイムジャグラーEX-TP,464,2950,-900,5,10,1/196.7,1/590.0,1/295.0,5.425544290143396
2022-09-03,アイムジャグラーEX-TP,465,6620,1800,31,19,1/132.4,1/213.5,1/348.4,5.924614383227506
2022-09-03,アイムジャグラーEX-TP,466,5850,1100,24,24,1/121.9,1/243.8,1/243.8,6.1784853522370335
2022-09-03,アイムジャグラーEX-TP,467,3220,-400,10,7,1/189.4,1/322.0,1/460.0,5.646719979068557
2022-09-03,アイムジャグラーEX-TP,468,7170,-700,24,19,1/166.7,1/298.8,1/377.4,5.982288171827335
2022-09-03,アイムジャグラーEX-TP,469,4360,-200,20,4,1/181.7,1/218.0,1/1090.0,6.438423566756707
2022-09-03,アイムジャグラーEX-TP,470,5290,-800,18,12,1/176.3,1/293.9,1/440.8,6.125066446550227
2022-09-03,マイジャグラーV,401,8250,100,35,18,1/155.7,1/235.7,1/458.3,6.061372776951354
2022-09-03,マイジャグラーV,402,6130,-1200,19,16,1/175.1,1/322.6,1/383.1,5.949724175567383
2022-09-03,マイジャグラーV,403,7010,300,28,21,1/143.1,1/250.4,1/333.8,6.004433537532255
2022-09-03,マイジャグラーV,404,6780,-2300,15,23,1/178.4,1/452.0,1/294.8,5.975217784239866
2022-09-03,マイジャグラーV,405,6360,500,28,14,1/151.4,1/227.1,1/454.3,5.942765283617304
2022-09-03,マイジャグラーV,406,6300,500,27,14,1/153.7,1/233.3,1/450.0,5.82720330430176
2022-09-03,マイジャグラーV,407,4180,-200,16,10,1/160.8,1/261.2,1/418.0,5.974506082186548
2022-09-03,マイジャグラーV,408,7580,2000,31,33,1/118.4,1/244.5,1/229.7,5.709219185755754
2022-09-03,マイジャグラーV,409,1940,-300,7,4,1/176.4,1/277.1,1/485.0,6.077984139437729
2022-09-03,マイジャグラーV,410,7530,300,27,26,1/142.1,1/278.9,1/289.6,5.78194416893666
2022-09-03,マイジャグラーV,471,6740,800,24,28,1/129.6,1/280.8,1/240.7,5.707769686666096
2022-09-03,マイジャグラーV,472,8600,-200,28,32,1/143.3,1/307.1,1/268.8,5.822831219651244
2022-09-03,マイジャグラーV,473,4520,500,18,12,1/150.7,1/251.1,1/376.7,5.572940513360292
2022-09-03,マイジャグラーV,474,4820,-100,17,15,1/150.6,1/283.5,1/321.3,5.841402351037196
2022-09-03,マイジャグラーV,475,4060,-1100,14,4,1/225.6,1/290.0,1/1015.0,5.966802167698077
2022-09-03,マイジャグラーV,476,7480,2600,43,11,1/138.5,1/174.0,1/680.0,5.870773675749086
2022-09-03,マイジャグラーV,477,6840,-600,21,27,1/142.5,1/325.7,1/253.3,6.004723979562343
2022-09-03,マイジャグラーV,478,8100,2000,38,28,1/122.7,1/213.2,1/289.3,6.034197698009451
2022-09-03,マイジャグラーV,479,4280,-900,15,10,1/171.2,1/285.3,1/428.0,6.353190169833538
2022-09-03,マイジャグラーV,480,6110,-1000,21,15,1/169.7,1/291.0,1/407.3,6.10348582587162
