日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-09-01,アイムジャグラーEX-TP,85,170,-100,0,1,1/170.0,1/0.0,1/170.0,5.797981279341623
2022-09-01,アイムジャグラーEX-TP,86,200,-200,0,0,1/0.0,1/0.0,1/0.0,5.234505862646566
2022-09-01,アイムジャグラーEX-TP,87,630,-500,1,0,1/630.0,1/630.0,1/0.0,5.9886529285701045
2022-09-01,アイムジャグラーEX-TP,88,210,-200,0,0,1/0.0,1/0.0,1/0.0,5.076338461240947
2022-09-01,アイムジャグラーEX-TP,89,1640,200,7,3,1/164.0,1/234.3,1/546.7,5.699528503029264
2022-09-01,アイムジャグラーEX-TP,90,220,0,1,0,1/220.0,1/220.0,1/0.0,5.770862652157319
2022-09-01,アイムジャグラーEX-TP,91,3190,100,13,7,1/159.5,1/245.4,1/455.7,6.029760174322446
2022-09-01,アイムジャグラーEX-TP,92,350,-300,0,1,1/350.0,1/0.0,1/350.0,5.718230126086974
2022-09-01,アイムジャグラーEX-TP,93,540,0,2,1,1/180.0,1/270.0,1/540.0,5.628350627482924
2022-09-01,アイムジャグラーEX-TP,108,400,-100,1,1,1/200.0,1/400.0,1/400.0,5.665441514939062
2022-09-01,アイムジャグラーEX-TP,109,1690,-900,2,8,1/169.0,1/845.0,1/211.2,6.412564680580288
2022-09-01,アイムジャグラーEX-TP,110,360,-100,1,1,1/180.0,1/360.0,1/360.0,6.21097652078348
2022-09-01,アイムジャグラーEX-TP,111,430,-200,1,1,1/215.0,1/430.0,1/430.0,6.362386753214855
2022-09-01,アイムジャグラーEX-TP,112,320,-200,0,1,1/320.0,1/0.0,1/320.0,4.982363212721219
2022-09-01,アイムジャグラーEX-TP,113,510,-500,0,1,1/510.0,1/0.0,1/510.0,5.877326369661933
2022-09-01,アイムジャグラーEX-TP,114,190,100,1,0,1/190.0,1/190.0,1/0.0,4.6182247301073005
2022-09-01,アイムジャグラーEX-TP,115,4020,1100,16,19,1/114.9,1/251.2,1/211.6,5.918187244525143
2022-09-01,アイムジャグラーEX-TP,116,120,-100,0,0,1/0.0,1/0.0,1/0.0,4.719801139045342
2022-09-01,アイムジャグラーEX-TP,117,1810,-100,6,5,1/164.5,1/301.7,1/362.0,5.809406841908547
2022-09-01,アイムジャグラーEX-TP,118,280,-200,0,1,1/280.0,1/0.0,1/280.0,5.427939738237606
2022-09-01,アイムジャグラーEX-TP,119,300,-100,1,0,1/300.0,1/300.0,1/0.0,5.893243886987227
2022-09-01,アイムジャグラーEX-TP,120,1510,-500,3,5,1/188.8,1/503.3,1/302.0,5.786096814044812
2022-09-01,マイジャグラーV,81,4520,600,20,10,1/150.7,1/226.0,1/452.0,5.73923105350633
2022-09-01,マイジャグラーV,82,640,-500,1,0,1/640.0,1/640.0,1/0.0,5.816270380234131
2022-09-01,マイジャグラーV,83,400,-100,1,1,1/200.0,1/400.0,1/400.0,5.539092142797796
2022-09-01,マイジャグラーV,84,5630,1500,24,25,1/114.9,1/234.6,1/225.2,5.907943716972034
