日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-09-07,アイムジャグラーEX-TP,321,7480,400,29,21,1/149.6,1/257.9,1/356.2,5.968878681503425
2022-09-07,アイムジャグラーEX-TP,322,6750,600,28,20,1/140.6,1/241.1,1/337.5,6.188289006848374
2022-09-07,アイムジャグラーEX-TP,323,4020,-700,13,10,1/174.8,1/309.2,1/402.0,6.131441168555071
2022-09-07,アイムジャグラーEX-TP,324,7680,2700,29,40,1/111.3,1/264.8,1/192.0,5.574686481047753
2022-09-07,アイムジャグラーEX-TP,325,7050,1100,32,17,1/143.9,1/220.3,1/414.7,6.0871590516378875
2022-09-07,アイムジャグラーEX-TP,326,4830,-300,20,8,1/172.5,1/241.5,1/603.8,6.308792262050773
2022-09-07,アイムジャグラーEX-TP,327,7250,1400,30,26,1/129.5,1/241.7,1/278.8,5.9693381856505345
2022-09-07,アイムジャグラーEX-TP,328,6880,0,23,23,1/149.6,1/299.1,1/299.1,5.839576148624682
2022-09-07,アイムジャグラーEX-TP,329,6750,2800,31,33,1/105.5,1/217.7,1/204.5,6.044216803818154
2022-09-07,アイムジャグラーEX-TP,330,5760,-1000,18,15,1/174.5,1/320.0,1/384.0,6.053700421599245
2022-09-07,アイムジャグラーEX-TP,331,7100,-1900,20,18,1/186.8,1/355.0,1/394.4,6.099936723895815
2022-09-07,アイムジャグラーEX-TP,332,5350,-1600,14,8,1/243.2,1/382.1,1/668.8,5.5969573475234515
2022-09-07,アイムジャグラーEX-TP,333,7140,100,22,31,1/134.7,1/324.5,1/230.3,5.905734795203965
2022-09-07,アイムジャグラーEX-TP,334,6190,-500,22,13,1/176.9,1/281.4,1/476.2,5.906100539101034
2022-09-07,アイムジャグラーEX-TP,335,5450,-1300,16,19,1/155.7,1/340.6,1/286.8,6.556791286806382
2022-09-07,アイムジャグラーEX-TP,336,5230,-1200,15,14,1/180.3,1/348.7,1/373.6,6.045488311603193
2022-09-07,アイムジャグラーEX-TP,337,6690,-700,23,18,1/163.2,1/290.9,1/371.7,6.136762569711077
2022-09-07,アイムジャグラーEX-TP,338,6410,1000,29,14,1/149.1,1/221.0,1/457.9,5.971970032263079
2022-09-07,アイムジャグラーEX-TP,339,7470,2000,33,25,1/128.8,1/226.4,1/298.8,5.850764159142978
2022-09-07,アイムジャグラーEX-TP,340,5540,-2500,12,11,1/240.9,1/461.7,1/503.6,5.953674075139988
2022-09-07,アイムジャグラーEX-TP,381,6060,-1300,18,12,1/202.0,1/336.7,1/505.0,5.801736289257338
2022-09-07,アイムジャグラーEX-TP,382,4610,-1500,13,10,1/200.4,1/354.6,1/461.0,6.212095353911899
2022-09-07,アイムジャグラーEX-TP,383,6180,3000,34,22,1/110.4,1/181.8,1/280.9,6.190045205359256
2022-09-07,アイムジャグラーEX-TP,384,6160,-1100,22,10,1/192.5,1/280.0,1/616.0,6.164275541515596
2022-09-07,アイムジャグラーEX-TP,385,4430,0,17,9,1/170.4,1/260.6,1/492.2,5.836667897680972
2022-09-07,マイジャグラーV,386,6920,1700,31,22,1/130.6,1/223.2,1/314.5,5.7077945708645785
2022-09-07,マイジャグラーV,387,7780,1300,32,28,1/129.7,1/243.1,1/277.9,5.8361726694696925
2022-09-07,マイジャグラーV,388,6490,-2100,19,13,1/202.8,1/341.6,1/499.2,6.08023780194157
2022-09-07,マイジャグラーV,389,6310,-200,22,17,1/161.8,1/286.8,1/371.2,5.6815532403126054
2022-09-07,マイジャグラーV,390,8010,-500,31,20,1/157.1,1/258.4,1/400.5,6.133351406683858
2022-09-07,マイジャグラーV,391,5570,-1400,17,12,1/192.1,1/327.6,1/464.2,5.9533972180774155
2022-09-07,マイジャグラーV,392,7340,900,32,22,1/135.9,1/229.4,1/333.6,6.039542837051797
2022-09-07,マイジャグラーV,393,6110,-1400,18,17,1/174.6,1/339.4,1/359.4,6.008022603046345
2022-09-07,マイジャグラーV,394,7750,4500,42,35,1/100.6,1/184.5,1/221.4,5.778537997265913
2022-09-07,マイジャグラーV,395,5820,-1600,19,13,1/181.9,1/306.3,1/447.7,6.340141568716065
2022-09-07,マイジャグラーV,396,6390,-200,28,10,1/168.2,1/228.2,1/639.0,6.145274653445639
2022-09-07,マイジャグラーV,397,8070,500,29,30,1/136.8,1/278.3,1/269.0,5.802818970986364
2022-09-07,マイジャグラーV,398,7150,2700,38,19,1/125.4,1/188.2,1/376.3,5.782427375062544
2022-09-07,マイジャグラーV,399,8250,400,28,31,1/139.8,1/294.6,1/266.1,5.677359528899588
2022-09-07,マイジャグラーV,400,6460,1600,33,17,1/129.2,1/195.8,1/380.0,6.1285061891864645
