日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
2023-09-12,アイムジャグラーEX-TP,641,3025,-1700,6,4,302.5,504.2,756.2,5.961078590663078,0,2,-300.0,3986.0,249.1,498.2
2023-09-12,アイムジャグラーEX-TP,642,792,-400,1,2,264.0,792.0,396.0,5.458871572671262,0,2,2900.0,7321.0,203.4,281.6
2023-09-12,アイムジャグラーEX-TP,643,1986,-500,7,2,220.7,283.7,993.0,6.177309498042592,0,2,-600.0,1306.0,653.0,261.2
2023-09-12,アイムジャグラーEX-TP,644,4536,-900,12,16,162.0,378.0,283.5,6.018449892503798,4,2,-1000.0,3155.0,350.6,450.7
2023-09-12,アイムジャグラーEX-TP,645,5213,-400,17,16,158.0,306.6,325.8,5.970608958705753,3,2,500.0,4591.0,255.1,286.9
2023-09-12,アイムジャグラーEX-TP,646,1927,-800,6,1,275.3,321.2,1927.0,6.24300759660957,0,2,-900.0,2428.0,404.7,404.7
2023-09-12,アイムジャグラーEX-TP,647,1279,-1000,1,3,319.8,1279.0,426.3,6.0304542181494885,0,2,-800.0,2218.0,443.6,554.5
2023-09-12,アイムジャグラーEX-TP,648,2103,-900,4,5,233.7,525.8,420.6,5.730622016101495,0,2,-1100.0,4008.0,364.4,445.3
2023-09-12,アイムジャグラーEX-TP,719,382,-200,1,0,382.0,382.0,0.0,5.938959621759787,0,2,600.0,6358.0,244.5,353.2
2023-09-12,アイムジャグラーEX-TP,720,3003,-500,9,8,176.6,333.7,375.4,5.903725396204751,0,2,-700.0,2877.0,319.7,719.2
2023-09-12,アイムジャグラーEX-TP,721,351,-500,0,0,0.0,0.0,0.0,7.247567831866337,0,2,-800.0,904.0,904.0,904.0
2023-09-12,アイムジャグラーEX-TP,722,1967,600,10,5,131.1,196.7,393.4,6.088710123011445,0,2,1200.0,8157.0,247.2,291.3
2023-09-12,アイムジャグラーEX-TP,723,4220,500,18,10,150.7,234.4,422.0,5.928516699170485,1,2,-500.0,1725.0,431.2,287.5
2023-09-12,アイムジャグラーEX-TP,724,510,-500,0,0,0.0,0.0,0.0,5.168199561412399,0,2,2900.0,6371.0,182.0,455.1
2023-09-12,アイムジャグラーEX-TP,725,455,-400,0,0,0.0,0.0,0.0,4.850839355126217,0,2,-700.0,1541.0,308.2,0.0
2023-09-12,アイムジャグラーEX-TP,726,2985,-300,11,2,229.6,271.4,1492.5,5.562822011220128,0,2,200.0,3866.0,227.4,644.3
2023-09-12,アイムジャグラーEX-TP,727,4016,500,17,12,138.5,236.2,334.7,6.131902568282347,2,2,900.0,5279.0,240.0,310.5
2023-09-12,アイムジャグラーEX-TP,728,1071,-500,3,1,267.8,357.0,1071.0,6.305421178585071,0,2,-500.0,476.0,0.0,0.0
2023-09-12,アイムジャグラーEX-TP,729,2328,-1400,2,6,291.0,1164.0,388.0,5.4584958298780055,0,2,500.0,2173.0,217.3,362.2
2023-09-12,アイムジャグラーEX-TP,730,1710,-600,5,3,213.8,342.0,570.0,6.27112378538234,0,2,100.0,5538.0,251.7,426.0
2023-09-12,アイムジャグラーEX-TP,731,5171,-300,20,12,161.6,258.6,430.9,6.262240190904954,1,2,-1700.0,2688.0,448.0,1344.0
2023-09-12,アイムジャグラーEX-TP,732,1821,-200,7,2,202.3,260.1,910.5,5.934445591611268,0,2,-300.0,3797.0,271.2,542.4
2023-09-12,アイムジャグラーEX-TP,733,3182,400,14,8,144.6,227.3,397.8,6.11098352688558,0,2,-400.0,2405.0,300.6,400.8
2023-09-12,アイムジャグラーEX-TP,734,926,-700,1,1,463.0,926.0,926.0,5.721681353757223,0,2,-600.0,3026.0,336.2,504.3
2023-09-12,アイムジャグラーEX-TP,735,3154,1700,17,12,108.8,185.5,262.8,5.922905590443548,0,2,-700.0,999.0,999.0,499.5
2023-09-12,アイムジャグラーEX-TP,736,5059,-100,20,12,158.1,252.9,421.6,6.204725069233154,1,2,900.0,3574.0,238.3,223.4
2023-09-12,アイムジャグラーEX-TP,737,3916,2300,24,10,115.2,163.2,391.6,6.003371392807,0,2,-800.0,4317.0,359.8,287.8
2023-09-12,アイムジャグラーEX-TP,738,2738,800,15,5,136.9,182.5,547.6,6.298705116895042,0,2,-400.0,1054.0,527.0,527.0
2023-09-12,アイムジャグラーEX-TP,739,1165,0,5,1,194.2,233.0,1165.0,5.846952382720926,0,2,-300.0,5908.0,310.9,281.3
2023-09-12,アイムジャグラーEX-TP,740,2222,-100,9,4,170.9,246.9,555.5,6.181500826671413,0,2,0.0,2707.0,246.1,541.4
2023-09-12,アイムジャグラーEX-TP,781,837,-600,1,0,837.0,837.0,0.0,5.293473791897418,0,2,400.0,4525.0,238.2,348.1
2023-09-12,アイムジャグラーEX-TP,782,5573,2900,33,15,116.1,168.9,371.5,6.132323593197873,2,2,-500.0,2320.0,386.7,331.4
2023-09-12,アイムジャグラーEX-TP,783,723,-500,1,1,361.5,723.0,723.0,5.893168831054506,0,2,1600.0,5561.0,213.9,347.6
2023-09-12,アイムジャグラーEX-TP,784,4385,400,18,12,146.2,243.6,365.4,6.026266275213602,2,2,-600.0,1036.0,518.0,1036.0
2023-09-12,アイムジャグラーEX-TP,785,1937,0,7,6,149.0,276.7,322.8,6.036369735343674,0,2,-400.0,982.0,491.0,491.0
2023-09-12,アイムジャグラーEX-TP,786,5102,1400,24,16,127.5,212.6,318.9,6.050858904122326,3,2,-500.0,4703.0,313.5,247.5
2023-09-12,アイムジャグラーEX-TP,787,447,100,2,1,149.0,223.5,447.0,5.654568125718127,0,2,-1000.0,4505.0,321.8,500.6
2023-09-12,アイムジャグラーEX-TP,788,3646,-600,10,11,173.6,364.6,331.5,5.766700826645333,0,2,0.0,1880.0,268.6,376.0
2023-09-12,アイムジャグラーEX-TP,789,2766,-300,11,5,172.9,251.5,553.2,6.407722403565862,0,2,-400.0,2514.0,251.4,628.5
2023-09-12,アイムジャグラーEX-TP,790,3429,0,14,5,180.5,244.9,685.8,5.866729162987128,0,2,-900.0,3252.0,325.2,813.0
2023-09-12,アイムジャグラーEX-TP,791,1584,-100,7,1,198.0,226.3,1584.0,6.178874677130392,0,2,200.0,5045.0,252.2,336.3
2023-09-12,アイムジャグラーEX-TP,792,2639,100,12,4,164.9,219.9,659.8,6.253116487859286,0,2,-1000.0,1148.0,1148.0,0.0
2023-09-12,アイムジャグラーEX-TP,793,5593,700,23,14,151.2,243.2,399.5,5.789372804524244,2,2,-300.0,2748.0,305.3,343.5
2023-09-12,アイムジャグラーEX-TP,794,1673,-400,5,5,167.3,334.6,334.6,6.381296705427673,0,2,900.0,5104.0,212.7,425.3
2023-09-12,アイムジャグラーEX-TP,795,550,-300,1,1,275.0,550.0,550.0,5.913374440245351,0,2,300.0,2846.0,258.7,355.8
2023-09-12,アイムジャグラーEX-TP,796,6000,1400,28,19,127.7,214.3,315.8,6.213455496772239,3,2,-700.0,2158.0,359.7,308.3
2023-09-12,アイムジャグラーEX-TP,797,2759,-1200,7,4,250.8,394.1,689.8,6.0705992429551285,0,2,2700.0,5458.0,188.2,248.1
2023-09-12,アイムジャグラーEX-TP,798,691,-500,1,0,691.0,691.0,0.0,5.551208938426488,0,2,-400.0,314.0,0.0,0.0
2023-09-12,アイムジャグラーEX-TP,799,5208,100,17,21,137.1,306.4,248.0,5.9554111233677824,5,2,2700.0,6395.0,206.3,255.8
2023-09-12,アイムジャグラーEX-TP,800,5172,-400,18,12,172.4,287.3,431.0,5.901607603844845,1,2,-600.0,1041.0,520.5,0.0
2023-09-12,マイジャグラーV,701,6585,-1500,18,18,182.9,365.8,365.8,5.7620748404596815,2,2,-700.0,6321.0,332.7,252.8
