日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-09-12,アイムジャグラーEX-TP,641,3025,-1700,6,4,1/302.5,1/504.2,1/756.2,5.961078590663078
2023-09-12,アイムジャグラーEX-TP,642,792,-400,1,2,1/264.0,1/792.0,1/396.0,5.458871572671262
2023-09-12,アイムジャグラーEX-TP,643,1986,-500,7,2,1/220.7,1/283.7,1/993.0,6.177309498042592
2023-09-12,アイムジャグラーEX-TP,644,4536,-900,12,16,1/162.0,1/378.0,1/283.5,6.018449892503798
2023-09-12,アイムジャグラーEX-TP,645,5213,-400,17,16,1/158.0,1/306.6,1/325.8,5.970608958705753
2023-09-12,アイムジャグラーEX-TP,646,1927,-800,6,1,1/275.3,1/321.2,1/1927.0,6.24300759660957
2023-09-12,アイムジャグラーEX-TP,647,1279,-1000,1,3,1/319.8,1/1279.0,1/426.3,6.0304542181494885
2023-09-12,アイムジャグラーEX-TP,648,2103,-900,4,5,1/233.7,1/525.8,1/420.6,5.730622016101495
2023-09-12,アイムジャグラーEX-TP,719,382,-200,1,0,1/382.0,1/382.0,1/0.0,5.938959621759787
2023-09-12,アイムジャグラーEX-TP,720,3003,-500,9,8,1/176.6,1/333.7,1/375.4,5.903725396204751
2023-09-12,アイムジャグラーEX-TP,721,351,-500,0,0,1/0.0,1/0.0,1/0.0,7.247567831866337
2023-09-12,アイムジャグラーEX-TP,722,1967,600,10,5,1/131.1,1/196.7,1/393.4,6.088710123011445
2023-09-12,アイムジャグラーEX-TP,723,4220,500,18,10,1/150.7,1/234.4,1/422.0,5.928516699170485
2023-09-12,アイムジャグラーEX-TP,724,510,-500,0,0,1/0.0,1/0.0,1/0.0,5.168199561412399
2023-09-12,アイムジャグラーEX-TP,725,455,-400,0,0,1/0.0,1/0.0,1/0.0,4.850839355126217
2023-09-12,アイムジャグラーEX-TP,726,2985,-300,11,2,1/229.6,1/271.4,1/1492.5,5.562822011220128
2023-09-12,アイムジャグラーEX-TP,727,4016,500,17,12,1/138.5,1/236.2,1/334.7,6.131902568282347
2023-09-12,アイムジャグラーEX-TP,728,1071,-500,3,1,1/267.8,1/357.0,1/1071.0,6.305421178585071
2023-09-12,アイムジャグラーEX-TP,729,2328,-1400,2,6,1/291.0,1/1164.0,1/388.0,5.4584958298780055
2023-09-12,アイムジャグラーEX-TP,730,1710,-600,5,3,1/213.8,1/342.0,1/570.0,6.27112378538234
2023-09-12,アイムジャグラーEX-TP,731,5171,-300,20,12,1/161.6,1/258.6,1/430.9,6.262240190904954
2023-09-12,アイムジャグラーEX-TP,732,1821,-200,7,2,1/202.3,1/260.1,1/910.5,5.934445591611268
2023-09-12,アイムジャグラーEX-TP,733,3182,400,14,8,1/144.6,1/227.3,1/397.8,6.11098352688558
2023-09-12,アイムジャグラーEX-TP,734,926,-700,1,1,1/463.0,1/926.0,1/926.0,5.721681353757223
2023-09-12,アイムジャグラーEX-TP,735,3154,1700,17,12,1/108.8,1/185.5,1/262.8,5.9229055904435475
2023-09-12,アイムジャグラーEX-TP,736,5059,-100,20,12,1/158.1,1/252.9,1/421.6,6.204725069233154
2023-09-12,アイムジャグラーEX-TP,737,3916,2300,24,10,1/115.2,1/163.2,1/391.6,6.003371392807
2023-09-12,アイムジャグラーEX-TP,738,2738,800,15,5,1/136.9,1/182.5,1/547.6,6.298705116895042
2023-09-12,アイムジャグラーEX-TP,739,1165,0,5,1,1/194.2,1/233.0,1/1165.0,5.846952382720926
2023-09-12,アイムジャグラーEX-TP,740,2222,-100,9,4,1/170.9,1/246.9,1/555.5,6.181500826671413
2023-09-12,アイムジャグラーEX-TP,781,837,-600,1,0,1/837.0,1/837.0,1/0.0,5.293473791897418
2023-09-12,アイムジャグラーEX-TP,782,5573,2900,33,15,1/116.1,1/168.9,1/371.5,6.132323593197873
