日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-08-18,アイムジャグラーEX-TP,378,7520,-90,29,25,1/139.3,1/259.3,1/300.8,6.499942563672425
2022-08-18,アイムジャグラーEX-TP,379,4390,80,16,17,1/133.0,1/274.4,1/258.2,6.339264588990748
2022-08-18,アイムジャグラーEX-TP,380,1260,-550,3,2,1/252.0,1/420.0,1/630.0,5.959443151523809
2022-08-18,アイムジャグラーEX-TP,381,3660,1030,20,6,1/140.8,1/183.0,1/610.0,6.2468648333768275
2022-08-18,アイムジャグラーEX-TP,382,7720,-1040,25,22,1/164.3,1/308.8,1/350.9,6.1137132449123035
2022-08-18,アイムジャグラーEX-TP,383,1310,-450,5,1,1/218.3,1/262.0,1/1310.0,6.937644346693682
2022-08-18,アイムジャグラーEX-TP,384,6580,30,24,22,1/143.0,1/274.2,1/299.1,6.163324156099953
2022-08-18,アイムジャグラーEX-TP,385,2460,-1350,5,4,1/273.3,1/492.0,1/615.0,6.088323004839846
2022-08-18,アイムジャグラーEX-TP,386,3140,-1110,9,6,1/209.3,1/348.9,1/523.3,6.286011312618257
2022-08-18,アイムジャグラーEX-TP,387,5760,-670,20,14,1/169.4,1/288.0,1/411.4,6.115767010087512
2022-08-18,マイジャグラーV,394,4720,-750,16,13,1/162.8,1/295.0,1/363.1,6.162029119634686
2022-08-18,マイジャグラーV,395,3920,-940,10,12,1/178.2,1/392.0,1/326.7,5.760282324367964
2022-08-18,マイジャグラーV,396,5200,-820,17,12,1/179.3,1/305.9,1/433.3,5.83572490505023
2022-08-18,マイジャグラーV,397,3490,-1010,11,6,1/205.3,1/317.3,1/581.7,6.045514975998634
2022-08-18,マイジャグラーV,398,5820,180,22,20,1/138.6,1/264.5,1/291.0,6.0161376690769215
2022-08-18,マイジャグラーV,399,5530,2630,33,14,1/117.7,1/167.6,1/395.0,5.982355108515445
2022-08-18,マイジャグラーV,400,2450,-1540,3,5,1/306.2,1/816.7,1/490.0,5.6552624164388074
2022-08-18,マイジャグラーV,401,2380,-840,5,8,1/183.1,1/476.0,1/297.5,5.904953691703236
2022-08-18,マイジャグラーV,402,7760,640,28,28,1/138.6,1/277.1,1/277.1,5.689716446088727
2022-08-18,マイジャグラーV,403,4120,470,19,11,1/137.3,1/216.8,1/374.5,6.216189567830735
2022-08-18,マイジャグラーV,404,2750,-470,10,5,1/183.3,1/275.0,1/550.0,6.076999729987852
2022-08-18,マイジャグラーV,405,2660,610,13,5,1/147.8,1/204.6,1/532.0,5.667548527984773
2022-08-18,マイジャグラーV,406,7380,1990,35,22,1/129.5,1/210.9,1/335.5,5.790471210775564
2022-08-18,マイジャグラーV,407,4690,930,21,14,1/134.0,1/223.3,1/335.0,5.825692817645862
2022-08-18,マイジャグラーV,408,3060,-450,10,8,1/170.0,1/306.0,1/382.5,5.914583841617882
2022-08-18,マイジャグラーV,409,7660,710,27,31,1/132.1,1/283.7,1/247.1,5.737097256100295
2022-08-18,マイジャグラーV,410,1320,-690,2,3,1/264.0,1/660.0,1/440.0,5.59900439521845
2022-08-18,マイジャグラーV,411,1450,-660,4,2,1/241.7,1/362.5,1/725.0,6.230635011818064
2022-08-18,マイジャグラーV,412,7220,2090,32,28,1/120.3,1/225.6,1/257.9,5.7544630015027955
2022-08-18,マイジャグラーV,413,2440,-410,7,9,1/152.5,1/348.6,1/271.1,6.038682463431014
2022-08-18,マイジャグラーV,414,3840,920,19,11,1/128.0,1/202.1,1/349.1,6.0907241918647905
2022-08-18,マイジャグラーV,415,3090,230,12,10,1/140.5,1/257.5,1/309.0,5.849727735639256
2022-08-18,マイジャグラーV,416,4240,-500,15,13,1/151.4,1/282.7,1/326.2,6.278636096619324
2022-08-18,マイジャグラーV,417,5130,-1060,16,14,1/171.0,1/320.6,1/366.4,6.070899137587655
2022-08-18,マイジャグラーV,418,6790,1570,33,15,1/141.5,1/205.8,1/452.7,5.761378773457825
2022-08-18,マイジャグラーV,419,980,-350,2,3,1/196.0,1/490.0,1/326.7,5.740774450976202
2022-08-18,マイジャグラーV,420,5980,-440,18,21,1/153.3,1/332.2,1/284.8,5.704868864693174
2022-08-18,マイジャグラーV,421,2430,150,11,5,1/151.9,1/220.9,1/486.0,6.09177541692233
2022-08-18,マイジャグラーV,422,2250,-670,6,5,1/204.5,1/375.0,1/450.0,5.78416856995269
2022-08-18,マイジャグラーV,423,4700,-170,16,12,1/167.9,1/293.8,1/391.7,5.568315455733299
2022-08-18,ファンキージャグラー2,388,2030,-630,5,5,1/203.0,1/406.0,1/406.0,5.736973202612301
2022-08-18,ファンキージャグラー2,389,4280,-1200,12,14,1/164.6,1/356.7,1/305.7,6.319283263348748
2022-08-18,ファンキージャグラー2,390,5540,-980,15,18,1/167.9,1/369.3,1/307.8,5.736661356285501
2022-08-18,ファンキージャグラー2,391,4170,1280,19,16,1/119.1,1/219.5,1/260.6,5.796770038344522
2022-08-18,ファンキージャグラー2,392,4470,-620,15,12,1/165.6,1/298.0,1/372.5,6.008529894536522
2022-08-18,ファンキージャグラー2,393,4520,-1140,11,15,1/173.8,1/410.9,1/301.3,5.804896404431755
