日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-08-21,アイムジャグラーEX-TP,523,4430,480,19,12,1/142.9,1/233.2,1/369.2,6.148819901967268
2022-08-21,アイムジャグラーEX-TP,524,4080,200,16,14,1/136.0,1/255.0,1/291.4,6.323074712861894
2022-08-21,アイムジャグラーEX-TP,525,2610,180,10,8,1/145.0,1/261.0,1/326.2,5.958198103923301
2022-08-21,アイムジャグラーEX-TP,526,6060,1420,27,22,1/123.7,1/224.4,1/275.5,6.166080320929217
2022-08-21,アイムジャグラーEX-TP,527,8160,2690,35,38,1/111.8,1/233.1,1/214.7,5.9846855856317385
2022-08-21,アイムジャグラーEX-TP,528,6730,2350,33,26,1/114.1,1/203.9,1/258.8,6.262035285219655
2022-08-21,アイムジャグラーEX-TP,529,3800,810,15,16,1/122.6,1/253.3,1/237.5,5.93186241357335
2022-08-21,アイムジャグラーEX-TP,530,4920,1710,19,27,1/107.0,1/258.9,1/182.2,5.784973249789853
2022-08-21,アイムジャグラーEX-TP,531,5050,170,18,16,1/148.5,1/280.6,1/315.6,5.862280519990085
2022-08-21,アイムジャグラーEX-TP,532,3120,-550,8,15,1/135.7,1/390.0,1/208.0,6.400642690173711
2022-08-21,アイムジャグラーEX-TP,533,6400,1390,28,24,1/123.1,1/228.6,1/266.7,6.205874053725416
2022-08-21,アイムジャグラーEX-TP,534,820,-130,2,3,1/164.0,1/410.0,1/273.3,5.679789404491397
2022-08-21,アイムジャグラーEX-TP,535,7450,3420,37,31,1/109.6,1/201.4,1/240.3,5.955840441035981
2022-08-21,アイムジャグラーEX-TP,536,4100,-320,13,15,1/146.4,1/315.4,1/273.3,6.129567088111779
2022-08-21,アイムジャグラーEX-TP,537,1990,-950,4,6,1/199.0,1/497.5,1/331.7,6.355652746296714
2022-08-21,アイムジャグラーEX-TP,538,7430,1710,29,35,1/116.1,1/256.2,1/212.3,6.018985971793233
2022-08-21,アイムジャグラーEX-TP,539,7050,5390,41,33,1/95.3,1/172.0,1/213.6,5.772681623507343
2022-08-21,アイムジャグラーEX-TP,540,4990,-130,19,13,1/155.9,1/262.6,1/383.8,6.165901551187609
2022-08-21,アイムジャグラーEX-TP,541,1760,-1840,1,2,1/586.7,1/1760.0,1/880.0,6.494185766552841
2022-08-21,アイムジャグラーEX-TP,542,1370,-630,3,3,1/228.3,1/456.7,1/456.7,6.108237069151931
2022-08-21,アイムジャグラーEX-TP,543,5950,520,22,26,1/124.0,1/270.5,1/228.8,6.296709413739315
2022-08-21,アイムジャグラーEX-TP,544,7420,2950,35,32,1/110.7,1/212.0,1/231.9,6.015169007806383
2022-08-21,アイムジャグラーEX-TP,545,520,-300,1,1,1/260.0,1/520.0,1/520.0,6.225434972338716
2022-08-21,アイムジャグラーEX-TP,546,3650,-700,12,8,1/182.5,1/304.2,1/456.2,6.145598488687889
2022-08-21,アイムジャグラーEX-TP,547,700,-370,1,1,1/350.0,1/700.0,1/700.0,5.316502804455229
2022-08-21,アイムジャグラーEX-TP,548,4560,660,18,15,1/138.2,1/253.3,1/304.0,5.848132089297129
2022-08-21,アイムジャグラーEX-TP,549,3830,-340,10,14,1/159.6,1/383.0,1/273.6,5.573477349271636
2022-08-21,アイムジャグラーEX-TP,550,7400,2170,34,30,1/115.6,1/217.6,1/246.7,6.245010321145435
2022-08-21,アイムジャグラーEX-TP,551,7400,1660,27,35,1/119.4,1/274.1,1/211.4,5.774444726663927
2022-08-21,アイムジャグラーEX-TP,552,1160,-20,5,0,1/232.0,1/232.0,1/0.0,5.6018310260791795
2022-08-21,アイムジャグラーEX-TP,553,1930,-290,7,5,1/160.8,1/275.7,1/386.0,6.557216641604282
2022-08-21,アイムジャグラーEX-TP,554,3160,-100,12,10,1/143.6,1/263.3,1/316.0,6.445705436564978
2022-08-21,アイムジャグラーEX-TP,555,8120,4340,40,44,1/96.7,1/203.0,1/184.5,6.1116054419782095
2022-08-21,アイムジャグラーEX-TP,556,400,-550,0,0,1/0.0,1/0.0,1/0.0,6.936496375680644
2022-08-21,アイムジャグラーEX-TP,557,9360,2130,38,41,1/118.5,1/246.3,1/228.3,6.066928134416682
2022-08-21,アイムジャグラーEX-TP,558,4460,-410,14,16,1/148.7,1/318.6,1/278.8,6.125524635390507
2022-08-21,アイムジャグラーEX-TP,559,2900,-810,8,8,1/181.2,1/362.5,1/362.5,6.186455502318853
2022-08-21,アイムジャグラーEX-TP,560,5560,230,19,25,1/126.4,1/292.6,1/222.4,6.236278225047541
2022-08-21,アイムジャグラーEX-TP,561,5000,3180,30,22,1/96.2,1/166.7,1/227.3,6.463497398442296
2022-08-21,アイムジャグラーEX-TP,562,1840,-910,3,6,1/204.4,1/613.3,1/306.7,6.090550263010813
2022-08-21,アイムジャグラーEX-TP,563,1830,-490,6,4,1/183.0,1/305.0,1/457.5,6.511512389486647
2022-08-21,アイムジャグラーEX-TP,564,5420,510,20,20,1/135.5,1/271.0,1/271.0,5.953186426559206
2022-08-21,アイムジャグラーEX-TP,565,3150,-300,12,7,1/165.8,1/262.5,1/450.0,6.327750349156224
2022-08-21,アイムジャグラーEX-TP,566,1800,-340,4,7,1/163.6,1/450.0,1/257.1,5.671019436631478
2022-08-21,アイムジャグラーEX-TP,567,4940,840,20,20,1/123.5,1/247.0,1/247.0,6.175095713983567
2022-08-21,アイムジャグラーEX-TP,568,2520,50,7,12,1/132.6,1/360.0,1/210.0,5.727896937859478
2022-08-21,アイムジャグラーEX-TP,569,6780,3970,32,42,1/91.6,1/211.9,1/161.4,5.9791591908804245
2022-08-21,アイムジャグラーEX-TP,570,4240,280,14,18,1/132.5,1/302.9,1/235.6,5.880642920704522
2022-08-21,アイムジャグラーEX-TP,571,7870,2280,34,32,1/119.2,1/231.5,1/245.9,5.946703482327599
2022-08-21,アイムジャグラーEX-TP,572,580,-510,0,1,1/580.0,1/0.0,1/580.0,5.387983588945158
2022-08-21,アイムジャグラーEX-TP,573,6890,3170,34,30,1/107.7,1/202.6,1/229.7,5.997742272226815
2022-08-21,アイムジャグラーEX-TP,574,3430,590,17,8,1/137.2,1/201.8,1/428.8,6.488704027035384
2022-08-21,アイムジャグラーEX-TP,575,7060,1010,26,29,1/128.4,1/271.5,1/243.4,5.904744675620217
2022-08-21,アイムジャグラーEX-TP,576,6320,890,23,26,1/129.0,1/274.8,1/243.1,5.8696970897308125
2022-08-21,アイムジャグラーEX-TP,577,6940,2760,35,24,1/117.6,1/198.3,1/289.2,6.017260085706072
2022-08-21,アイムジャグラーEX-TP,578,870,-380,3,1,1/217.5,1/290.0,1/870.0,7.170538482714057
2022-08-21,アイムジャグラーEX-TP,579,6340,2170,29,26,1/115.3,1/218.6,1/243.8,6.0117588675932385
2022-08-21,アイムジャグラーEX-TP,580,1820,-150,7,3,1/182.0,1/260.0,1/606.7,6.048917127508847
2022-08-21,アイムジャグラーEX-TP,581,2290,-40,8,4,1/190.8,1/286.2,1/572.5,5.4542431868404595
2022-08-21,アイムジャグラーEX-TP,582,930,-680,1,2,1/310.0,1/930.0,1/465.0,6.050809230672138
2022-08-21,アイムジャグラーEX-TP,583,6270,3200,32,30,1/101.1,1/195.9,1/209.0,6.150777631927067
2022-08-21,アイムジャグラーEX-TP,584,6120,1150,24,23,1/130.2,1/255.0,1/266.1,5.8267898182179625
2022-08-21,アイムジャグラーEX-TP,585,3470,-140,14,8,1/157.7,1/247.9,1/433.8,6.376082670781169
2022-08-21,アイムジャグラーEX-TP,586,5910,-170,18,26,1/134.3,1/328.3,1/227.3,6.082303132519904
2022-08-21,アイムジャグラーEX-TP,587,1290,-330,3,5,1/161.2,1/430.0,1/258.0,6.065119638011092
2022-08-21,アイムジャグラーEX-TP,588,6690,1650,28,32,1/111.5,1/238.9,1/209.1,6.310233727661631
2022-08-21,アイムジャグラーEX-TP,589,5810,0,22,18,1/145.2,1/264.1,1/322.8,6.240987627161466
2022-08-21,アイムジャグラーEX-TP,590,4860,380,20,12,1/151.9,1/243.0,1/405.0,5.981874182723362
