日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-08-21,アイムジャグラーEX-TP,803,8680,3580,44,36,1/108.5,1/197.3,1/241.1,6.288819695771825
2022-08-21,アイムジャグラーEX-TP,804,5900,990,27,14,1/143.9,1/218.5,1/421.4,6.059176070157044
2022-08-21,アイムジャグラーEX-TP,805,6250,1230,27,21,1/130.2,1/231.5,1/297.6,6.062075654704171
2022-08-21,アイムジャグラーEX-TP,806,6880,480,26,19,1/152.9,1/264.6,1/362.1,5.773875805190269
2022-08-21,アイムジャグラーEX-TP,807,7250,1490,33,24,1/127.2,1/219.7,1/302.1,6.2749714110138735
2022-08-21,アイムジャグラーEX-TP,808,7300,-680,29,14,1/169.8,1/251.7,1/521.4,6.37764434716838
2022-08-21,アイムジャグラーEX-TP,809,7020,140,24,23,1/149.4,1/292.5,1/305.2,5.808820064392672
2022-08-21,アイムジャグラーEX-TP,810,5790,620,24,17,1/141.2,1/241.2,1/340.6,6.086949711229955
2022-08-21,アイムジャグラーEX-TP,811,7060,-560,22,28,1/141.2,1/320.9,1/252.1,6.209705629168517
2022-08-21,アイムジャグラーEX-TP,812,8560,3740,37,46,1/103.1,1/231.4,1/186.1,5.850656590961153
2022-08-21,アイムジャグラーEX-TP,813,6820,1130,25,30,1/124.0,1/272.8,1/227.3,5.908347581157587
2022-08-21,アイムジャグラーEX-TP,814,9090,50,30,35,1/139.8,1/303.0,1/259.7,5.9796834826571255
2022-08-21,アイムジャグラーEX-TP,815,7260,1820,33,24,1/127.4,1/220.0,1/302.5,6.051038005144466
2022-08-21,アイムジャグラーEX-TP,816,7120,-220,25,20,1/158.2,1/284.8,1/356.0,5.936184928168203
2022-08-21,アイムジャグラーEX-TP,817,7790,1460,35,22,1/136.7,1/222.6,1/354.1,6.070309535525084
2022-08-21,アイムジャグラーEX-TP,818,6880,-130,27,16,1/160.0,1/254.8,1/430.0,6.144851750762491
2022-08-21,マイジャグラーV,767,5830,-1310,17,16,1/176.7,1/342.9,1/364.4,5.940084693839641
2022-08-21,マイジャグラーV,768,8280,1680,34,33,1/123.6,1/243.5,1/250.9,5.8335337729901475
2022-08-21,マイジャグラーV,769,8040,710,32,23,1/146.2,1/251.2,1/349.6,5.738393902057178
2022-08-21,マイジャグラーV,770,8600,-330,25,41,1/130.3,1/344.0,1/209.8,5.958743668185281
2022-08-21,マイジャグラーV,771,7400,-1720,20,21,1/180.5,1/370.0,1/352.4,5.792182744931057
2022-08-21,マイジャグラーV,772,8700,1170,39,21,1/145.0,1/223.1,1/414.3,5.871133181847975
2022-08-21,マイジャグラーV,773,7680,2260,36,25,1/125.9,1/213.3,1/307.2,5.741937801580237
2022-08-21,マイジャグラーV,774,8870,1890,35,41,1/116.7,1/253.4,1/216.3,5.885474879402298
2022-08-21,マイジャグラーV,775,7970,1000,33,25,1/137.4,1/241.5,1/318.8,5.85393221691856
2022-08-21,マイジャグラーV,776,7530,1360,31,28,1/127.6,1/242.9,1/268.9,5.830914570142006
2022-08-21,マイジャグラーV,777,5840,-1840,16,11,1/216.3,1/365.0,1/530.9,5.794696195935745
2022-08-21,マイジャグラーV,778,7050,-980,25,16,1/172.0,1/282.0,1/440.6,6.028870271485693
2022-08-21,マイジャグラーV,779,8330,990,37,22,1/141.2,1/225.1,1/378.6,5.991962515994489
2022-08-21,マイジャグラーV,780,8510,-1240,22,29,1/166.9,1/386.8,1/293.4,5.548917222291262
2022-08-21,マイジャグラーV,781,5300,-1600,17,9,1/203.8,1/311.8,1/588.9,6.156250576241025
2022-08-21,マイジャグラーV,782,7200,-580,27,16,1/167.4,1/266.7,1/450.0,5.965162209951755
2022-08-21,マイジャグラーV,783,7220,1300,31,24,1/131.3,1/232.9,1/300.8,5.853454905484032
2022-08-21,マイジャグラーV,784,7500,-1340,21,25,1/163.0,1/357.1,1/300.0,5.863111015564116
2022-08-21,マイジャグラーV,785,8990,3500,37,47,1/107.0,1/243.0,1/191.3,5.566363259364812
2022-08-21,マイジャグラーV,786,7550,60,32,14,1/164.1,1/235.9,1/539.3,5.935533716263701
2022-08-21,マイジャグラーV,787,6530,-1020,23,12,1/186.6,1/283.9,1/544.2,5.897087092966235
2022-08-21,マイジャグラーV,788,7180,150,27,20,1/152.8,1/265.9,1/359.0,5.77028051177968
2022-08-21,マイジャグラーV,789,4920,-1480,15,10,1/196.8,1/328.0,1/492.0,6.122298893369588
2022-08-21,マイジャグラーV,790,9260,6120,48,47,1/97.5,1/192.9,1/197.0,5.450281783541147
2022-08-21,マイジャグラーV,791,5500,-1300,18,12,1/183.3,1/305.6,1/458.3,6.138037488063958
2022-08-21,マイジャグラーV,819,5130,-1920,14,8,1/233.2,1/366.4,1/641.2,5.904934950105674
2022-08-21,マイジャグラーV,820,6750,-260,25,19,1/153.4,1/270.0,1/355.3,5.980015121686387
2022-08-21,マイジャグラーV,821,9040,2020,36,34,1/129.1,1/251.1,1/265.9,5.544102785703132
2022-08-21,マイジャグラーV,822,8760,1920,33,38,1/123.4,1/265.5,1/230.5,5.5739849143534315
2022-08-21,マイジャグラーV,823,7200,290,30,12,1/171.4,1/240.0,1/600.0,5.6529800430176085
2022-08-21,マイジャグラーV,824,7380,-920,25,17,1/175.7,1/295.2,1/434.1,5.813992764060591
2022-08-21,マイジャグラーV,825,5740,-200,25,6,1/185.2,1/229.6,1/956.7,5.9080149350294615
2022-08-21,マイジャグラーV,826,9820,3670,41,47,1/111.6,1/239.5,1/208.9,5.519255196182755
2022-08-21,マイジャグラーV,827,4670,-1010,14,10,1/194.6,1/333.6,1/467.0,5.7427666925250005
