日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
2023-07-31,アイムジャグラーEX-TP,178,329,-175,1,0,329.0,329.0,0.0,6.48967539984981,0,1,-152.0,136.0,0.0,0.0
2023-07-31,アイムジャグラーEX-TP,179,301,-162,1,0,301.0,301.0,0.0,6.92403050345983,0,1,-53.0,788.0,262.7,788.0
2023-07-31,アイムジャグラーEX-TP,180,614,-398,1,1,307.0,614.0,614.0,6.080047087687151,0,1,113.0,1222.0,244.4,407.3
2023-07-31,アイムジャグラーEX-TP,181,161,-178,0,0,0.0,0.0,0.0,5.622992661470695,0,1,-200.0,133.0,0.0,0.0
2023-07-31,アイムジャグラーEX-TP,182,837,131,4,2,139.5,209.2,418.5,6.366811401962743,0,1,-173.0,139.0,0.0,0.0
2023-07-31,アイムジャグラーEX-TP,183,2026,587,10,4,144.7,202.6,506.5,5.755934621446725,0,1,66.0,283.0,283.0,283.0
2023-07-31,アイムジャグラーEX-TP,190,301,172,2,0,150.5,150.5,0.0,5.593179962516404,0,1,-149.0,110.0,0.0,0.0
2023-07-31,アイムジャグラーEX-TP,191,186,-156,0,1,186.0,0.0,186.0,6.793977029782823,0,1,-37.0,227.0,227.0,0.0
2023-07-31,アイムジャグラーEX-TP,192,105,-149,0,0,0.0,0.0,0.0,7.211934721688003,0,1,112.0,525.0,175.0,0.0
2023-07-31,アイムジャグラーEX-TP,193,274,231,2,0,137.0,137.0,0.0,5.203441259794908,0,1,200.0,317.0,158.5,0.0
2023-07-31,アイムジャグラーEX-TP,194,295,-124,1,1,147.5,295.0,295.0,8.570772793171272,0,1,957.0,1098.0,156.9,366.0
2023-07-31,アイムジャグラーEX-TP,195,1040,-431,3,0,346.7,346.7,0.0,5.75896994177626,0,1,60.0,274.0,274.0,274.0
2023-07-31,アイムジャグラーEX-TP,196,1531,383,8,4,127.6,191.4,382.8,6.574843882887214,0,1,841.0,2624.0,218.7,262.4
2023-07-31,アイムジャグラーEX-TP,197,152,-148,0,0,0.0,0.0,0.0,5.145899801205766,0,1,-51.0,55.0,0.0,0.0
