日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-07-31,アイムジャグラーEX-TP,178,329,-175,1,0,1/329.0,1/329.0,1/0.0,6.48967539984981
2023-07-31,アイムジャグラーEX-TP,179,301,-162,1,0,1/301.0,1/301.0,1/0.0,6.92403050345983
2023-07-31,アイムジャグラーEX-TP,180,614,-398,1,1,1/307.0,1/614.0,1/614.0,6.080047087687151
2023-07-31,アイムジャグラーEX-TP,181,161,-178,0,0,1/0.0,1/0.0,1/0.0,5.622992661470695
2023-07-31,アイムジャグラーEX-TP,182,837,131,4,2,1/139.5,1/209.2,1/418.5,6.366811401962743
2023-07-31,アイムジャグラーEX-TP,183,2026,587,10,4,1/144.7,1/202.6,1/506.5,5.755934621446725
2023-07-31,アイムジャグラーEX-TP,190,301,172,2,0,1/150.5,1/150.5,1/0.0,5.593179962516404
2023-07-31,アイムジャグラーEX-TP,191,186,-156,0,1,1/186.0,1/0.0,1/186.0,6.793977029782823
2023-07-31,アイムジャグラーEX-TP,192,105,-149,0,0,1/0.0,1/0.0,1/0.0,7.211934721688003
2023-07-31,アイムジャグラーEX-TP,193,274,231,2,0,1/137.0,1/137.0,1/0.0,5.203441259794908
2023-07-31,アイムジャグラーEX-TP,194,295,-124,1,1,1/147.5,1/295.0,1/295.0,8.570772793171272
2023-07-31,アイムジャグラーEX-TP,195,1040,-431,3,0,1/346.7,1/346.7,1/0.0,5.75896994177626
2023-07-31,アイムジャグラーEX-TP,196,1531,383,8,4,1/127.6,1/191.4,1/382.8,6.574843882887214
2023-07-31,アイムジャグラーEX-TP,197,152,-148,0,0,1/0.0,1/0.0,1/0.0,5.145899801205766
2023-07-31,アイムジャグラーEX-TP,198,1338,0,5,4,1/148.7,1/267.6,1/334.5,6.1318409037508586
2023-07-31,アイムジャグラーEX-TP,199,257,-30,1,0,1/257.0,1/257.0,1/0.0,5.578948305291339
2023-07-31,アイムジャグラーEX-TP,200,663,-300,1,2,1/221.0,1/663.0,1/331.5,5.675603559348193
2023-07-31,マイジャグラーV,163,1196,-888,2,2,1/299.0,1/598.0,1/598.0,6.510996684155171
2023-07-31,マイジャグラーV,164,1492,-246,5,2,1/213.1,1/298.4,1/746.0,5.570279898538024
2023-07-31,マイジャグラーV,165,237,-224,0,1,1/237.0,1/0.0,1/237.0,6.759705070074718
2023-07-31,マイジャグラーV,166,7535,1543,33,27,1/125.6,1/228.3,1/279.1,5.942696425846172
2023-07-31,ファンキージャグラー2,184,424,-176,1,0,1/424.0,1/424.0,1/0.0,5.163499659318625
2023-07-31,ファンキージャグラー2,185,779,-632,0,3,1/259.7,1/0.0,1/259.7,5.923350213424048
2023-07-31,ファンキージャグラー2,186,282,-114,1,0,1/282.0,1/282.0,1/0.0,6.269393852992718
2023-07-31,ファンキージャグラー2,187,103,-155,0,0,1/0.0,1/0.0,1/0.0,7.813677919058263
2023-07-31,ファンキージャグラー2,188,2113,865,12,6,1/117.4,1/176.1,1/352.2,6.112140789243558
2023-07-31,ファンキージャグラー2,189,1059,-120,4,4,1/132.4,1/264.8,1/264.8,6.9448696865537345
2023-07-31,ハッピージャグラーVIII,167,0,0,0,0,1/0.0,1/0.0,1/0.0,0.0
2023-07-31,ハッピージャグラーVIII,168,49,-50,0,0,1/0.0,1/0.0,1/0.0,5.4798580269435675
2023-07-31,ハッピージャグラーVIII,169,488,142,3,1,1/122.0,1/162.7,1/488.0,7.262088475452502
2023-07-31,ハッピージャグラーVIII,170,18,-36,0,0,1/0.0,1/0.0,1/0.0,16.656256506350193
2023-07-31,ハッピージャグラーVIII,171,1079,627,7,3,1/107.9,1/154.1,1/359.7,6.450245198240052
2023-07-31,ハッピージャグラーVIII,172,191,208,2,0,1/95.5,1/95.5,1/0.0,7.551746514359932
2023-07-31,ハッピージャグラーVIII,173,2738,177,9,12,1/130.4,1/304.2,1/228.2,5.980840667444781
2023-07-31,ハッピージャグラーVIII,174,623,81,3,1,1/155.8,1/207.7,1/623.0,6.14226617332997
2023-07-31,ハッピージャグラーVIII,175,612,303,4,1,1/122.4,1/153.0,1/612.0,6.38794557094612
2023-07-31,ハッピージャグラーVIII,176,211,-12,1,0,1/211.0,1/211.0,1/0.0,6.214031415462851
2023-07-31,ハッピージャグラーVIII,177,524,-133,2,0,1/262.0,1/262.0,1/0.0,6.099431204759884
2023-07-30,アイムジャグラーEX-TP,178,136,-152,0,0,1/0.0,1/0.0,1/0.0,5.6710522804301995
2023-07-30,アイムジャグラーEX-TP,179,788,-53,3,1,1/197.0,1/262.7,1/788.0,5.781809195600659
2023-07-30,アイムジャグラーEX-TP,180,1222,113,5,3,1/152.8,1/244.4,1/407.3,5.88700382722694
2023-07-30,アイムジャグラーEX-TP,181,133,-200,0,0,1/0.0,1/0.0,1/0.0,7.80822529019592
2023-07-30,アイムジャグラーEX-TP,182,139,-173,0,0,1/0.0,1/0.0,1/0.0,6.231909528813838
2023-07-30,アイムジャグラーEX-TP,183,283,66,1,1,1/141.5,1/283.0,1/283.0,5.204423502514491
2023-07-30,アイムジャグラーEX-TP,190,110,-149,0,0,1/0.0,1/0.0,1/0.0,6.815618920158122
2023-07-30,アイムジャグラーEX-TP,191,227,-37,1,0,1/227.0,1/227.0,1/0.0,6.356793073503851
2023-07-30,アイムジャグラーEX-TP,192,525,112,3,0,1/175.0,1/175.0,1/0.0,6.12586017286594
2023-07-30,アイムジャグラーEX-TP,193,317,200,2,0,1/158.5,1/158.5,1/0.0,5.082394105833723
2023-07-30,アイムジャグラーEX-TP,194,1098,957,7,3,1/109.8,1/156.9,1/366.0,5.201956731658909
2023-07-30,アイムジャグラーEX-TP,195,274,60,1,1,1/137.0,1/274.0,1/274.0,5.395563743859593
2023-07-30,アイムジャグラーEX-TP,196,2624,841,12,10,1/119.3,1/218.7,1/262.4,5.984357746365678
2023-07-30,アイムジャグラーEX-TP,197,55,-51,0,0,1/0.0,1/0.0,1/0.0,4.996729413474816
2023-07-30,アイムジャグラーEX-TP,198,48,-73,0,0,1/0.0,1/0.0,1/0.0,7.940551736003122
2023-07-30,アイムジャグラーEX-TP,199,188,-173,0,0,1/0.0,1/0.0,1/0.0,4.974792619948071
2023-07-30,アイムジャグラーEX-TP,200,175,-216,0,0,1/0.0,1/0.0,1/0.0,6.182216412901402
2023-07-30,マイジャグラーV,163,2754,1019,17,4,1/131.1,1/162.0,1/688.5,6.224028375693405
2023-07-30,マイジャグラーV,164,348,-273,0,1,1/348.0,1/0.0,1/348.0,5.433526309392014
2023-07-30,マイジャグラーV,165,819,-357,1,3,1/204.8,1/819.0,1/273.0,5.503551113437185
2023-07-30,マイジャグラーV,166,1550,-249,5,3,1/193.8,1/310.0,1/516.7,5.658685866040195
2023-07-30,ファンキージャグラー2,184,296,-10,1,1,1/148.0,1/296.0,1/296.0,5.86145577967263
2023-07-30,ファンキージャグラー2,185,3246,458,10,17,1/120.2,1/324.6,1/190.9,5.5792246244218004
2023-07-30,ファンキージャグラー2,186,491,346,2,3,1/98.2,1/245.5,1/163.7,4.770801721812462
2023-07-30,ファンキージャグラー2,187,564,256,4,0,1/141.0,1/141.0,1/0.0,6.221845185268127
2023-07-30,ファンキージャグラー2,188,598,-46,2,1,1/199.3,1/299.0,1/598.0,5.360749052624313
2023-07-30,ファンキージャグラー2,189,624,-113,3,0,1/208.0,1/208.0,1/0.0,6.681310586183285
2023-07-30,ハッピージャグラーVIII,167,829,-652,1,0,1/829.0,1/829.0,1/0.0,5.695301213334459
2023-07-30,ハッピージャグラーVIII,168,126,-81,0,1,1/126.0,1/0.0,1/126.0,7.421707611226216
2023-07-30,ハッピージャグラーVIII,169,543,-254,1,1,1/271.5,1/543.0,1/543.0,5.735388655100211
2023-07-30,ハッピージャグラーVIII,170,36,-50,0,0,1/0.0,1/0.0,1/0.0,7.329960194243944
