日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-08-21,アイムジャグラーEX-TP,14,5400,700,18,25,1/125.6,1/300.0,1/216.0,5.799297586928383
2022-08-21,アイムジャグラーEX-TP,15,6510,1940,31,22,1/122.8,1/210.0,1/295.9,6.116184104281785
2022-08-21,アイムジャグラーEX-TP,16,4070,-1190,9,12,1/193.8,1/452.2,1/339.2,5.716279690683258
2022-08-21,アイムジャグラーEX-TP,17,7270,-660,24,21,1/161.6,1/302.9,1/346.2,6.00166981809368
2022-08-21,アイムジャグラーEX-TP,18,3750,-1950,6,11,1/220.6,1/625.0,1/340.9,6.028999487535044
2022-08-21,アイムジャグラーEX-TP,19,7840,480,29,27,1/140.0,1/270.3,1/290.4,6.005345370169795
2022-08-21,アイムジャグラーEX-TP,20,7270,3700,40,23,1/115.4,1/181.8,1/316.1,5.910487175767197
2022-08-21,アイムジャグラーEX-TP,21,7480,2600,34,29,1/118.7,1/220.0,1/257.9,5.862595266683226
2022-08-21,アイムジャグラーEX-TP,22,6120,60,18,28,1/133.0,1/340.0,1/218.6,5.867817065625493
2022-08-21,アイムジャグラーEX-TP,23,5170,-830,14,19,1/156.7,1/369.3,1/272.1,5.981923137378684
2022-08-21,マイジャグラーV,1,8780,3030,41,35,1/115.5,1/214.1,1/250.9,5.802535327931723
2022-08-21,マイジャグラーV,2,5080,-710,16,15,1/163.9,1/317.5,1/338.7,5.899822865948127
2022-08-21,マイジャグラーV,3,5810,-1590,15,12,1/215.2,1/387.3,1/484.2,5.546122890795324
2022-08-21,マイジャグラーV,4,7820,1090,29,32,1/128.2,1/269.7,1/244.4,5.743404270312881
2022-08-21,マイジャグラーV,5,6210,40,26,12,1/163.4,1/238.8,1/517.5,5.92056482569794
2022-08-21,マイジャグラーV,6,7790,1420,33,33,1/118.0,1/236.1,1/236.1,6.173763689704298
2022-08-21,マイジャグラーV,7,7370,2400,36,24,1/122.8,1/204.7,1/307.1,5.808291258932452
2022-08-21,マイジャグラーV,8,7520,600,30,24,1/139.3,1/250.7,1/313.3,5.917715270860989
2022-08-21,マイジャグラーV,9,7250,100,25,23,1/151.0,1/290.0,1/315.2,5.645130089832999
2022-08-21,マイジャグラーV,10,6470,-310,22,20,1/154.0,1/294.1,1/323.5,5.819634658042664
2022-08-21,マイジャグラーV,11,5800,-800,17,19,1/161.1,1/341.2,1/305.3,5.799946350496257
2022-08-21,マイジャグラーV,12,7360,910,28,26,1/136.3,1/262.9,1/283.1,5.683836150757885
2022-08-21,マイジャグラーV,13,4490,-90,19,5,1/187.1,1/236.3,1/898.0,5.74712671264016
2022-08-21,マイジャグラーV,24,5480,10,21,14,1/156.6,1/261.0,1/391.4,5.830132700416397
2022-08-21,マイジャグラーV,25,5240,-1640,13,13,1/201.5,1/403.1,1/403.1,5.764990915463503
2022-08-21,マイジャグラーV,26,7280,1930,34,24,1/125.5,1/214.1,1/303.3,5.864016990183732
2022-08-21,マイジャグラーV,27,4810,-810,12,21,1/145.8,1/400.8,1/229.0,5.928574268943085
2022-08-21,マイジャグラーV,28,7240,2250,36,26,1/116.8,1/201.1,1/278.5,6.108714101759786
2022-08-21,マイジャグラーV,29,4350,-1380,12,10,1/197.7,1/362.5,1/435.0,5.995549338331692
2022-08-21,マイジャグラーV,30,6110,340,22,20,1/145.5,1/277.7,1/305.5,5.66196955248073
2022-08-21,マイジャグラーV,31,7420,710,29,26,1/134.9,1/255.9,1/285.4,5.893693535442276
2022-08-21,マイジャグラーV,32,5560,-490,20,14,1/163.5,1/278.0,1/397.1,5.961470139280206
2022-08-21,マイジャグラーV,33,5770,380,22,18,1/144.2,1/262.3,1/320.6,5.767723119202156
2022-08-21,マイジャグラーV,34,7320,1000,28,29,1/128.4,1/261.4,1/252.4,5.819783718709818
2022-08-21,マイジャグラーV,35,5380,510,23,12,1/153.7,1/233.9,1/448.3,5.755163728390825
2022-08-21,マイジャグラーV,36,8290,3750,44,31,1/110.5,1/188.4,1/267.4,5.895979156469053
2022-08-21,ファンキージャグラー2,37,4610,-460,13,19,1/144.1,1/354.6,1/242.6,5.87513084830804
2022-08-21,ファンキージャグラー2,38,5760,-410,19,20,1/147.7,1/303.2,1/288.0,5.980872111873459
2022-08-21,ファンキージャグラー2,39,8060,3030,42,25,1/120.3,1/191.9,1/322.4,5.871654804976919
2022-08-21,ファンキージャグラー2,40,3860,-700,13,6,1/203.2,1/296.9,1/643.3,5.740809870623562
2022-08-21,ファンキージャグラー2,41,7720,2400,40,18,1/133.1,1/193.0,1/428.9,5.806113416258471
2022-08-21,ファンキージャグラー2,42,6620,1850,30,23,1/124.9,1/220.7,1/287.8,5.742948405420926
2022-08-21,ファンキージャグラー2,43,5550,-1850,15,14,1/191.4,1/370.0,1/396.4,6.113988709776255
