日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-08-18,アイムジャグラーEX-TP,101,2160,640,12,4,1/135.0,1/180.0,1/540.0,6.38776577245832
2022-08-18,アイムジャグラーEX-TP,102,4020,1880,21,12,1/121.8,1/191.4,1/335.0,5.717743587788806
2022-08-18,アイムジャグラーEX-TP,103,2680,1460,18,2,1/134.0,1/148.9,1/1340.0,6.08589928926688
2022-08-18,アイムジャグラーEX-TP,104,4970,540,21,16,1/134.3,1/236.7,1/310.6,6.305605816788148
2022-08-18,アイムジャグラーEX-TP,105,3860,-430,15,6,1/183.8,1/257.3,1/643.3,6.189536268237184
2022-08-18,アイムジャグラーEX-TP,106,4560,-1240,13,12,1/182.4,1/350.8,1/380.0,6.2041985417004115
2022-08-18,アイムジャグラーEX-TP,107,1960,-1080,3,6,1/217.8,1/653.3,1/326.7,6.1483994633953
2022-08-18,アイムジャグラーEX-TP,108,1310,-750,2,4,1/218.3,1/655.0,1/327.5,6.243300961897277
2022-08-18,アイムジャグラーEX-TP,109,1550,-1130,2,2,1/387.5,1/775.0,1/775.0,5.9163240924168
2022-08-18,マイジャグラーV,93,7170,680,32,19,1/140.6,1/224.1,1/377.4,6.129416539279488
2022-08-18,マイジャグラーV,94,3840,290,17,9,1/147.7,1/225.9,1/426.7,6.043989858059102
2022-08-18,マイジャグラーV,95,590,-350,2,0,1/295.0,1/295.0,1/0.0,7.102949273956691
2022-08-18,マイジャグラーV,96,7060,-480,20,28,1/147.1,1/353.0,1/252.1,5.685786715066724
2022-08-18,マイジャグラーV,97,2680,-150,10,7,1/157.6,1/268.0,1/382.9,6.001281318347147
2022-08-18,マイジャグラーV,98,4000,-1690,8,11,1/210.5,1/500.0,1/363.6,5.849695724420835
2022-08-18,マイジャグラーV,99,2310,-750,7,3,1/231.0,1/330.0,1/770.0,5.894691151197775
2022-08-18,マイジャグラーV,100,4490,-680,15,10,1/179.6,1/299.3,1/449.0,5.849372439037024
2022-08-18,マイジャグラーV,110,5570,920,27,11,1/146.6,1/206.3,1/506.4,5.9353567456428316
2022-08-18,マイジャグラーV,111,3730,-1080,11,8,1/196.3,1/339.1,1/466.2,6.009916886515025
2022-08-18,マイジャグラーV,112,3170,-1770,5,7,1/264.2,1/634.0,1/452.9,5.778371078560077
2022-08-18,マイジャグラーV,113,1810,-820,4,3,1/258.6,1/452.5,1/603.3,5.7517165875017815
2022-08-18,マイジャグラーV,114,6540,490,30,17,1/139.1,1/218.0,1/384.7,6.34726821558613
2022-08-18,ファンキージャグラー2,87,4290,-1470,13,6,1/225.8,1/330.0,1/715.0,6.024886361900809
2022-08-18,ファンキージャグラー2,88,1610,-150,5,5,1/161.0,1/322.0,1/322.0,5.727735983389566
2022-08-18,ファンキージャグラー2,89,5340,1010,22,19,1/130.2,1/242.7,1/281.1,5.741929309753431
2022-08-18,ファンキージャグラー2,90,1310,-490,4,1,1/262.0,1/327.5,1/1310.0,5.9197434175333985
2022-08-18,ファンキージャグラー2,91,2190,-190,8,5,1/168.5,1/273.8,1/438.0,5.923715928067424
2022-08-18,ファンキージャグラー2,92,2510,590,14,4,1/139.4,1/179.3,1/627.5,6.262207484273532
2022-08-18,ファンキージャグラー2,115,380,130,2,0,1/190.0,1/190.0,1/0.0,4.964027132327247
2022-08-18,ファンキージャグラー2,116,2170,-250,6,8,1/155.0,1/361.7,1/271.2,5.710941486206727
2022-08-18,ファンキージャグラー2,117,1810,-730,4,3,1/258.6,1/452.5,1/603.3,5.560255234147032
2022-08-18,ファンキージャグラー2,118,1500,-1240,2,3,1/300.0,1/750.0,1/500.0,6.708407871198569
2022-08-18,ファンキージャグラー2,119,830,-1030,0,1,1/830.0,1/0.0,1/830.0,6.820252452055372
2022-08-18,ファンキージャグラー2,120,3430,-350,13,6,1/180.5,1/263.8,1/571.7,5.911638667890645
