日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
2023-03-08,アイムジャグラーEX-TP,158,5241,807,20,23,121.9,262.1,227.9,6.1278758968683045,5,8,,,,
2023-03-08,アイムジャグラーEX-TP,159,1370,-922,2,2,342.5,685.0,685.0,5.928174753937476,0,8,,,,
2023-03-08,アイムジャグラーEX-TP,160,1050,-663,2,2,262.5,525.0,525.0,6.467827179657759,0,8,,,,
2023-03-08,アイムジャグラーEX-TP,161,3013,373,15,4,158.6,200.9,753.2,6.275321406112704,0,8,,,,
2023-03-08,アイムジャグラーEX-TP,162,1051,-366,3,2,210.2,350.3,525.5,6.241952943751927,0,8,,,,
2023-03-08,アイムジャグラーEX-TP,163,401,-261,1,0,401.0,401.0,0.0,6.395453709594407,0,8,,,,
2023-03-08,アイムジャグラーEX-TP,164,6639,2415,33,20,125.3,201.2,331.9,5.898537112153528,2,8,,,,
2023-03-08,アイムジャグラーEX-TP,165,4414,-193,19,7,169.8,232.3,630.6,6.389572310633502,1,8,,,,
2023-03-08,アイムジャグラーEX-TP,166,732,-11,3,0,244.0,244.0,0.0,5.392363308562594,0,8,,,,
2023-03-08,アイムジャグラーEX-TP,167,1939,-1234,3,2,387.8,646.3,969.5,5.694227166655639,0,8,,,,
2023-03-08,アイムジャグラーEX-TP,168,3560,-1635,7,10,209.4,508.6,356.0,6.118718784973699,0,8,,,,
2023-03-08,アイムジャグラーEX-TP,169,6230,73,23,23,135.4,270.9,270.9,6.345056818812574,4,8,,,,
2023-03-08,アイムジャグラーEX-TP,170,3684,386,16,10,141.7,230.2,368.4,6.233725517694491,0,8,,,,
2023-03-08,アイムジャグラーEX-TP,171,3971,-1129,13,5,220.6,305.5,794.2,6.146513249118105,0,8,,,,
2023-03-08,アイムジャグラーEX-TP,172,3177,-80,11,10,151.3,288.8,317.7,5.999684662466181,0,8,,,,
2023-03-08,アイムジャグラーEX-TP,173,5157,874,19,23,122.8,271.4,224.2,5.93778431733638,5,8,,,,
2023-03-08,アイムジャグラーEX-TP,174,5921,2014,28,19,126.0,211.5,311.6,5.8195701874417605,4,8,,,,
2023-03-08,アイムジャグラーEX-TP,175,5637,1320,22,25,119.9,256.2,225.5,5.884602107100949,6,8,,,,
2023-03-08,アイムジャグラーEX-TP,176,4617,11,18,13,148.9,256.5,355.2,6.235499037711372,2,8,,,,
2023-03-08,アイムジャグラーEX-TP,177,2007,-801,5,6,182.5,401.4,334.5,6.565291628978392,0,8,,,,
2023-03-08,マイジャグラーV,178,3596,-723,13,7,179.8,276.6,513.7,6.254204163085957,0,8,,,,
2023-03-08,マイジャグラーV,179,5808,147,23,16,148.9,252.5,363.0,5.943536221693409,1,8,,,,
2023-03-08,マイジャグラーV,180,4723,-888,12,17,162.9,393.6,277.8,5.74797695939318,4,8,,,,
2023-03-08,マイジャグラーV,181,2812,-408,9,7,175.8,312.4,401.7,5.786230928908488,0,8,,,,
2023-03-08,マイジャグラーV,182,6318,29,25,16,154.1,252.7,394.9,5.938222089962011,1,8,,,,
2023-03-08,マイジャグラーV,183,5631,1896,31,8,144.4,181.6,703.9,5.654562256992166,1,8,,,,
2023-03-08,マイジャグラーV,184,6186,3939,35,27,99.8,176.7,229.1,5.722903652273432,6,8,,,,
2023-03-08,マイジャグラーV,185,3153,-774,11,7,175.2,286.6,450.4,6.457325667394137,0,8,,,,
2023-03-08,マイジャグラーV,186,5749,766,27,12,147.4,212.9,479.1,5.964259852359903,1,8,,,,
2023-03-08,マイジャグラーV,187,6720,2348,35,20,122.2,192.0,336.0,5.92435106205674,1,8,,,,
2023-03-08,マイジャグラーV,188,2621,-686,6,7,201.6,436.8,374.4,5.454352775764167,0,8,,,,
2023-03-08,マイジャグラーV,189,8033,1561,33,28,131.7,243.4,286.9,5.673775150415012,4,8,,,,
2023-03-08,マイジャグラーV,232,4829,-712,16,12,172.5,301.8,402.4,5.909808384544317,1,8,,,,
2023-03-08,マイジャグラーV,233,2065,-989,6,3,229.4,344.2,688.3,6.567819525065943,0,8,,,,
2023-03-08,マイジャグラーV,234,8187,2730,38,31,118.7,215.4,264.1,5.743651353291155,5,8,,,,
2023-03-08,マイジャグラーV,235,8151,1732,31,35,123.5,262.9,232.9,5.61757774535962,5,8,,,,
2023-03-08,マイジャグラーV,236,1919,-1450,2,4,319.8,959.5,479.8,6.028460672267529,0,8,,,,
2023-03-08,マイジャグラーV,237,4903,-595,17,11,175.1,288.4,445.7,5.856785944264413,1,8,,,,
2023-03-08,マイジャグラーV,238,1848,-1565,4,1,369.6,462.0,1848.0,7.179593729790395,0,8,,,,
2023-03-08,マイジャグラーV,239,8151,1208,32,30,131.5,254.7,271.7,5.759991504807524,4,8,,,,
2023-03-08,マイジャグラーV,240,3456,451,17,5,157.1,203.3,691.2,5.941958005143026,0,8,,,,
2023-03-08,マイジャグラーV,241,8036,4334,41,36,104.4,196.0,223.2,5.623961072307556,6,8,,,,
2023-03-08,マイジャグラーV,242,3912,-1209,9,13,177.8,434.7,300.9,5.9060942785662816,0,8,,,,
2023-03-08,マイジャグラーV,243,7596,967,37,15,146.1,205.3,506.4,6.133283938704513,1,8,,,,
2023-03-08,マイジャグラーV,244,2896,-724,8,7,193.1,362.0,413.7,5.757934791030609,0,8,,,,
2023-03-08,マイジャグラーV,245,3447,-1139,8,9,202.8,430.9,383.0,5.730093507932263,0,8,,,,
2023-03-08,マイジャグラーV,246,4288,245,18,9,158.8,238.2,476.4,5.782714008663795,1,8,,,,
2023-03-08,マイジャグラーV,247,5507,1319,26,10,153.0,211.8,550.7,5.451376397122308,1,8,,,,
2023-03-08,マイジャグラーV,248,5551,1098,24,14,146.1,231.3,396.5,5.503210102829986,1,8,,,,
2023-03-08,マイジャグラーV,249,3782,-396,13,11,157.6,290.9,343.8,6.03133945057392,0,8,,,,
2023-03-08,マイジャグラーV,250,6252,357,24,20,142.1,260.5,312.6,5.86294001994328,3,8,,,,
2023-03-08,マイジャグラーV,251,5320,263,20,17,143.8,266.0,312.9,5.813278796327844,3,8,,,,
2023-03-08,マイジャグラーV,252,4478,-207,17,11,159.9,263.4,407.1,5.961016436767348,1,8,,,,
2023-03-08,ファンキージャグラー2,85,1882,-87,8,3,171.1,235.2,627.3,6.089965980162146,0,8,,,,
2023-03-08,ファンキージャグラー2,86,6064,3386,33,24,106.4,183.8,252.7,5.6813691612489965,6,8,,,,
2023-03-08,ファンキージャグラー2,87,2898,-1374,5,11,181.1,579.6,263.5,6.248765892993766,0,8,,,,
2023-03-08,ファンキージャグラー2,88,3455,-944,12,3,230.3,287.9,1151.7,5.9621539122266975,0,8,,,,
2023-03-08,ファンキージャグラー2,89,2474,804,15,3,137.4,164.9,824.7,6.213145939427228,0,8,,,,
2023-03-08,ファンキージャグラー2,90,3807,682,18,9,141.0,211.5,423.0,5.919520986826286,0,8,,,,
2023-03-08,ファンキージャグラー2,91,6649,3158,37,21,114.6,179.7,316.6,5.833206845929284,4,8,,,,
2023-03-08,ファンキージャグラー2,92,434,-353,1,0,434.0,434.0,0.0,6.872446832558138,0,8,,,,
2023-03-08,ファンキージャグラー2,93,4624,-279,16,14,154.1,289.0,330.3,5.916629015972723,3,8,,,,
2023-03-08,ファンキージャグラー2,94,805,-779,1,1,402.5,805.0,805.0,6.984031619010231,0,8,,,,
2023-03-08,ファンキージャグラー2,95,1558,-1333,1,3,389.5,1558.0,519.3,5.987372140253999,0,8,,,,
2023-03-08,ファンキージャグラー2,96,1389,-280,5,2,198.4,277.8,694.5,6.020759592077282,0,8,,,,
2023-03-08,ファンキージャグラー2,97,7548,2714,37,24,123.7,204.0,314.5,5.6632772037636325,4,8,,,,
2023-03-08,ファンキージャグラー2,98,942,48,5,1,157.0,188.4,942.0,6.619030027524836,0,8,,,,
2023-03-08,ファンキージャグラー2,99,4248,1334,23,9,132.8,184.7,472.0,5.945502083514989,1,8,,,,
2023-03-08,ファンキージャグラー2,100,2597,282,12,5,152.8,216.4,519.4,5.932976046865714,0,8,,,,
2023-03-08,ファンキージャグラー2,101,1984,-419,6,7,152.6,330.7,283.4,6.359762194900106,0,8,,,,
2023-03-08,ファンキージャグラー2,102,5363,1348,27,12,137.5,198.6,446.9,5.87189665834144,1,8,,,,
2023-03-08,ファンキージャグラー2,103,5716,1355,28,13,139.4,204.1,439.7,5.809091268486625,1,8,,,,
2023-03-08,ファンキージャグラー2,104,3592,-181,12,11,156.2,299.3,326.5,5.766413227561175,0,8,,,,
2023-03-08,ファンキージャグラー2,105,6619,379,25,22,140.8,264.8,300.9,5.857706602773209,4,8,,,,
2023-03-08,ファンキージャグラー2,148,6895,-298,21,25,149.9,328.3,275.8,5.667965815260998,5,8,,,,
2023-03-08,ファンキージャグラー2,149,2472,274,9,9,137.3,274.7,274.7,5.627059783868094,0,8,,,,
2023-03-08,ファンキージャグラー2,150,3576,128,12,10,162.5,298.0,357.6,5.350158604673848,0,8,,,,
2023-03-08,ファンキージャグラー2,151,2041,311,10,3,157.0,204.1,680.3,5.84431382232835,0,8,,,,
2023-03-08,ファンキージャグラー2,152,2242,-577,5,7,186.8,448.4,320.3,5.5540667777438735,0,8,,,,
2023-03-08,ファンキージャグラー2,153,3110,-267,10,10,155.5,311.0,311.0,5.851010416350658,0,8,,,,
2023-03-08,ファンキージャグラー2,154,5684,-282,22,14,157.9,258.4,406.0,6.067681658291845,1,8,,,,
2023-03-08,ファンキージャグラー2,155,4126,2235,23,17,103.2,179.4,242.7,5.951230273703586,1,8,,,,
2023-03-08,ファンキージャグラー2,156,2377,345,11,6,139.8,216.1,396.2,6.032095659343171,0,8,,,,
2023-03-08,ファンキージャグラー2,157,5474,2351,28,23,107.3,195.5,238.0,5.996149330736245,1,8,,,,
