日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-03-08,アイムジャグラーEX-TP,158,5241,807,20,23,1/121.9,1/262.1,1/227.9,6.1278758968683045
2023-03-08,アイムジャグラーEX-TP,159,1370,-922,2,2,1/342.5,1/685.0,1/685.0,5.928174753937476
2023-03-08,アイムジャグラーEX-TP,160,1050,-663,2,2,1/262.5,1/525.0,1/525.0,6.467827179657759
2023-03-08,アイムジャグラーEX-TP,161,3013,373,15,4,1/158.6,1/200.9,1/753.2,6.275321406112704
2023-03-08,アイムジャグラーEX-TP,162,1051,-366,3,2,1/210.2,1/350.3,1/525.5,6.241952943751927
2023-03-08,アイムジャグラーEX-TP,163,401,-261,1,0,1/401.0,1/401.0,1/0.0,6.395453709594407
2023-03-08,アイムジャグラーEX-TP,164,6639,2415,33,20,1/125.3,1/201.2,1/331.9,5.8985371121535275
2023-03-08,アイムジャグラーEX-TP,165,4414,-193,19,7,1/169.8,1/232.3,1/630.6,6.389572310633502
2023-03-08,アイムジャグラーEX-TP,166,732,-11,3,0,1/244.0,1/244.0,1/0.0,5.392363308562594
2023-03-08,アイムジャグラーEX-TP,167,1939,-1234,3,2,1/387.8,1/646.3,1/969.5,5.694227166655639
2023-03-08,アイムジャグラーEX-TP,168,3560,-1635,7,10,1/209.4,1/508.6,1/356.0,6.118718784973699
2023-03-08,アイムジャグラーEX-TP,169,6230,73,23,23,1/135.4,1/270.9,1/270.9,6.345056818812574
2023-03-08,アイムジャグラーEX-TP,170,3684,386,16,10,1/141.7,1/230.2,1/368.4,6.233725517694491
2023-03-08,アイムジャグラーEX-TP,171,3971,-1129,13,5,1/220.6,1/305.5,1/794.2,6.146513249118105
2023-03-08,アイムジャグラーEX-TP,172,3177,-80,11,10,1/151.3,1/288.8,1/317.7,5.999684662466181
2023-03-08,アイムジャグラーEX-TP,173,5157,874,19,23,1/122.8,1/271.4,1/224.2,5.93778431733638
