日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-08-24,アイムジャグラーEX-TP,616,394,-564,0,0,1/0.0,1/0.0,1/0.0,7.293627368947955
2023-08-24,アイムジャグラーEX-TP,617,1439,-125,5,3,1/179.9,1/287.8,1/479.7,5.839941923624111
2023-08-24,アイムジャグラーEX-TP,618,1768,-78,6,6,1/147.3,1/294.7,1/294.7,6.1148177390032545
2023-08-24,アイムジャグラーEX-TP,620,5765,1213,23,28,1/113.0,1/250.7,1/205.9,6.280798998253416
2023-08-24,アイムジャグラーEX-TP,621,1242,232,6,2,1/155.2,1/207.0,1/621.0,5.934868970326037
2023-08-24,アイムジャグラーEX-TP,622,2777,-722,6,12,1/154.3,1/462.8,1/231.4,6.088836319231132
2023-08-24,アイムジャグラーEX-TP,623,3054,945,17,4,1/145.4,1/179.6,1/763.5,6.0863337473993315
2023-08-24,アイムジャグラーEX-TP,625,653,-396,1,1,1/326.5,1/653.0,1/653.0,5.750182147806627
2023-08-24,アイムジャグラーEX-TP,626,333,20,1,1,1/166.5,1/333.0,1/333.0,5.1684944718838555
2023-08-24,アイムジャグラーEX-TP,627,3829,-650,12,13,1/153.2,1/319.1,1/294.5,6.411470279402631
2023-08-24,アイムジャグラーEX-TP,628,3409,-250,12,10,1/155.0,1/284.1,1/340.9,6.196009159406394
2023-08-24,アイムジャグラーEX-TP,630,463,-304,1,0,1/463.0,1/463.0,1/0.0,6.019219641324712
2023-08-24,アイムジャグラーEX-TP,631,212,-300,0,0,1/0.0,1/0.0,1/0.0,7.186323747952577
2023-08-24,アイムジャグラーEX-TP,632,1071,-195,3,3,1/178.5,1/357.0,1/357.0,5.815394930474266
2023-08-24,アイムジャグラーEX-TP,633,609,-251,2,1,1/203.0,1/304.5,1/609.0,7.050683065312827
2023-08-24,アイムジャグラーEX-TP,635,1838,-114,7,4,1/167.1,1/262.6,1/459.5,6.143812614116389
2023-08-24,アイムジャグラーEX-TP,636,333,-465,0,0,1/0.0,1/0.0,1/0.0,7.0676147882517135
2023-08-24,アイムジャグラーEX-TP,637,716,-445,1,2,1/238.7,1/716.0,1/358.0,6.202308384836604
2023-08-24,アイムジャグラーEX-TP,638,3850,-526,9,20,1/132.8,1/427.8,1/192.5,6.1089511605222135
2023-08-24,アイムジャグラーEX-TP,650,543,-372,1,0,1/543.0,1/543.0,1/0.0,5.79487611291236
2023-08-24,アイムジャグラーEX-TP,653,1225,-922,2,1,1/408.3,1/612.5,1/1225.0,6.212589749734063
2023-08-24,アイムジャグラーEX-TP,655,2493,-53,11,3,1/178.1,1/226.6,1/831.0,6.231328198732229
2023-08-24,アイムジャグラーEX-TP,656,2040,407,9,6,1/136.0,1/226.7,1/340.0,5.973595827970397
2023-08-24,マイジャグラーV,657,1844,-799,6,3,1/204.9,1/307.3,1/614.7,6.874032954688063
2023-08-24,マイジャグラーV,658,1337,-119,5,3,1/167.1,1/267.4,1/445.7,6.001171698476515
2023-08-24,ファンキージャグラー2,660,3888,2141,22,11,1/117.8,1/176.7,1/353.5,5.494109905796788
2023-08-24,ファンキージャグラー2,661,702,-245,2,1,1/234.0,1/351.0,1/702.0,5.872036038575596
2023-08-24,ファンキージャグラー2,662,6054,339,27,11,1/159.3,1/224.2,1/550.4,5.949694565884205
2023-08-24,ハッピージャグラーVIII,651,2701,1026,14,10,1/112.5,1/192.9,1/270.1,6.332032650759474
2023-08-24,ハッピージャグラーVIII,652,4132,1423,20,14,1/121.5,1/206.6,1/295.1,5.969157858294475
2023-08-23,アイムジャグラーEX-TP,616,3772,869,19,10,1/130.1,1/198.5,1/377.2,6.448451545058051
2023-08-23,アイムジャグラーEX-TP,617,2849,196,13,6,1/149.9,1/219.2,1/474.8,6.399669921692884
2023-08-23,アイムジャグラーEX-TP,618,1646,-264,7,2,1/182.9,1/235.1,1/823.0,6.758488215697111
2023-08-23,アイムジャグラーEX-TP,620,764,-95,3,0,1/254.7,1/254.7,1/0.0,5.644174262846092
2023-08-23,アイムジャグラーEX-TP,621,6989,816,25,33,1/120.5,1/279.6,1/211.8,6.16998910589504
2023-08-23,アイムジャグラーEX-TP,622,313,-250,0,1,1/313.0,1/0.0,1/313.0,5.6129130713985855
2023-08-23,アイムジャグラーEX-TP,623,4266,291,18,10,1/152.4,1/237.0,1/426.6,6.092313197338508
2023-08-23,アイムジャグラーEX-TP,625,1430,-355,4,3,1/204.3,1/357.5,1/476.7,5.807850711431252
2023-08-23,アイムジャグラーEX-TP,626,3522,-467,13,6,1/185.4,1/270.9,1/587.0,6.125226659038597
2023-08-23,アイムジャグラーEX-TP,627,1808,-505,6,2,1/226.0,1/301.3,1/904.0,6.107585661929188
2023-08-23,アイムジャグラーEX-TP,628,1914,-798,5,3,1/239.2,1/382.8,1/638.0,6.126749580730586
2023-08-23,アイムジャグラーEX-TP,630,1768,-266,6,3,1/196.4,1/294.7,1/589.3,5.866884051091402
2023-08-23,アイムジャグラーEX-TP,631,1109,-398,4,0,1/277.2,1/277.2,1/0.0,6.333040494454564
2023-08-23,アイムジャグラーEX-TP,632,4130,9,19,5,1/172.1,1/217.4,1/826.0,6.352671398304499
2023-08-23,アイムジャグラーEX-TP,633,390,-527,0,0,1/0.0,1/0.0,1/0.0,6.7967222371324105
2023-08-23,アイムジャグラーEX-TP,635,1017,-768,2,1,1/339.0,1/508.5,1/1017.0,6.748778799517671
2023-08-23,アイムジャグラーEX-TP,636,967,-469,3,1,1/241.8,1/322.3,1/967.0,6.864939172521388
2023-08-23,アイムジャグラーEX-TP,637,2708,23,12,4,1/169.2,1/225.7,1/677.0,6.236594660866969
2023-08-23,アイムジャグラーEX-TP,638,1453,-65,6,2,1/181.6,1/242.2,1/726.5,6.083796784941594
2023-08-23,アイムジャグラーEX-TP,650,2374,-371,8,6,1/169.6,1/296.8,1/395.7,6.227433096671639
2023-08-23,アイムジャグラーEX-TP,653,368,-437,0,0,1/0.0,1/0.0,1/0.0,5.966498113094972
2023-08-23,アイムジャグラーEX-TP,655,4583,639,18,17,1/130.9,1/254.6,1/269.6,6.025763102152776
2023-08-23,アイムジャグラーEX-TP,656,867,-439,1,3,1/216.8,1/867.0,1/289.0,5.703696705960553
2023-08-23,マイジャグラーV,657,1856,-1288,2,5,1/265.1,1/928.0,1/371.2,6.050742583577756
2023-08-23,マイジャグラーV,658,3805,-1139,11,9,1/190.2,1/345.9,1/422.8,6.087188395171272
2023-08-23,ファンキージャグラー2,660,5166,-238,20,15,1/147.6,1/258.3,1/344.4,6.250912990552147
2023-08-23,ファンキージャグラー2,661,3759,6,14,11,1/150.4,1/268.5,1/341.7,5.880175239077166
2023-08-23,ファンキージャグラー2,662,4730,-220,14,20,1/139.1,1/337.9,1/236.5,5.8338784607626195
2023-08-23,ハッピージャグラーVIII,651,6567,1667,26,31,1/115.2,1/252.6,1/211.8,5.999842329406121
2023-08-23,ハッピージャグラーVIII,652,416,-223,1,0,1/416.0,1/416.0,1/0.0,5.847780584525029
2023-08-22,アイムジャグラーEX-TP,616,1495,-784,4,2,1/249.2,1/373.8,1/747.5,6.643195523685991
2023-08-22,アイムジャグラーEX-TP,617,569,-442,1,1,1/284.5,1/569.0,1/569.0,7.001848044884675
2023-08-22,アイムジャグラーEX-TP,618,941,-43,4,2,1/156.8,1/235.2,1/470.5,6.599750850638451
2023-08-22,アイムジャグラーEX-TP,620,2086,-290,7,6,1/160.5,1/298.0,1/347.7,6.288280775896676
2023-08-22,アイムジャグラーEX-TP,621,673,-333,2,0,1/336.5,1/336.5,1/0.0,6.216663947838402
2023-08-22,アイムジャグラーEX-TP,622,1425,-673,4,3,1/203.6,1/356.2,1/475.0,6.955010841275672
2023-08-22,アイムジャグラーEX-TP,623,404,-532,0,1,1/404.0,1/0.0,1/404.0,8.199065184800638
2023-08-22,アイムジャグラーEX-TP,625,487,-115,1,3,1/121.8,1/487.0,1/162.3,6.725452925420112
2023-08-22,アイムジャグラーEX-TP,626,697,60,3,1,1/174.2,1/232.3,1/697.0,5.72932216118252
2023-08-22,アイムジャグラーEX-TP,627,2999,997,14,9,1/130.4,1/214.2,1/333.2,5.706020532807611
2023-08-22,アイムジャグラーEX-TP,628,728,-263,2,0,1/364.0,1/364.0,1/0.0,5.417085039752326
2023-08-22,アイムジャグラーEX-TP,630,3137,606,14,10,1/130.7,1/224.1,1/313.7,6.170126172687846
