日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-08-21,アイムジャグラーEX-TP,263,2440,-1400,5,3,1/305.0,1/488.0,1/813.3,6.048772941954586
2022-08-21,アイムジャグラーEX-TP,264,3750,180,18,6,1/156.2,1/208.3,1/625.0,6.568575932737783
2022-08-21,アイムジャグラーEX-TP,265,4630,1650,22,15,1/125.1,1/210.5,1/308.7,5.787616114048288
2022-08-21,アイムジャグラーEX-TP,266,3430,-930,10,9,1/180.5,1/343.0,1/381.1,6.275747374272125
2022-08-21,アイムジャグラーEX-TP,267,3170,-550,9,10,1/166.8,1/352.2,1/317.0,5.9656208983415855
2022-08-21,アイムジャグラーEX-TP,268,3590,-850,11,7,1/199.4,1/326.4,1/512.9,5.988112845402772
2022-08-21,アイムジャグラーEX-TP,301,4430,-940,14,9,1/192.6,1/316.4,1/492.2,6.021366063105139
2022-08-21,アイムジャグラーEX-TP,302,6280,1900,29,22,1/123.1,1/216.6,1/285.5,5.983730826632881
2022-08-21,アイムジャグラーEX-TP,303,3640,-50,12,11,1/158.3,1/303.3,1/330.9,5.720645329654938
2022-08-21,アイムジャグラーEX-TP,305,4090,580,18,11,1/141.0,1/227.2,1/371.8,6.11522626299794
2022-08-21,アイムジャグラーEX-TP,306,5780,450,24,15,1/148.2,1/240.8,1/385.3,6.0802586781885815
