日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-08-18,アイムジャグラーEX-TP,6,1290,490,8,2,1/129.0,1/161.2,1/645.0,6.653631051516125
2022-08-18,アイムジャグラーEX-TP,7,460,-450,0,1,1/460.0,1/0.0,1/460.0,5.9568401035195215
2022-08-18,アイムジャグラーEX-TP,8,3220,-30,12,9,1/153.3,1/268.3,1/357.8,6.076990372405331
2022-08-18,アイムジャグラーEX-TP,10,1260,750,8,3,1/114.5,1/157.5,1/420.0,6.146591824593831
2022-08-18,アイムジャグラーEX-TP,11,2440,-140,9,5,1/174.3,1/271.1,1/488.0,5.930245247236543
2022-08-18,アイムジャグラーEX-TP,12,2640,-1390,4,7,1/240.0,1/660.0,1/377.1,5.8455337631055375
2022-08-18,アイムジャグラーEX-TP,283,3630,-580,10,11,1/172.9,1/363.0,1/330.0,5.764705219098897
2022-08-18,アイムジャグラーEX-TP,287,4530,350,20,9,1/156.2,1/226.5,1/503.3,6.120546803976788
2022-08-18,アイムジャグラーEX-TP,288,2260,540,11,4,1/150.7,1/205.5,1/565.0,5.814901147323736
2022-08-18,アイムジャグラーEX-TP,300,1630,-230,5,5,1/163.0,1/326.0,1/326.0,6.0407800833627645
2022-08-18,アイムジャグラーEX-TP,301,640,-70,3,0,1/213.3,1/213.3,1/0.0,6.445320269474812
2022-08-18,アイムジャグラーEX-TP,302,7530,470,27,26,1/142.1,1/278.9,1/289.6,5.878220369953957
2022-08-18,アイムジャグラーEX-TP,303,3920,820,19,9,1/140.0,1/206.3,1/435.6,6.149002245954443
2022-08-18,アイムジャグラーEX-TP,305,1070,-780,2,1,1/356.7,1/535.0,1/1070.0,6.447956404583352
2022-08-18,アイムジャグラーEX-TP,306,1000,80,5,2,1/142.9,1/200.0,1/500.0,6.887230214278951
2022-08-18,アイムジャグラーEX-TP,307,6400,880,21,37,1/110.3,1/304.8,1/173.0,6.197985945098434
2022-08-18,アイムジャグラーEX-TP,308,1410,-1070,2,3,1/282.0,1/705.0,1/470.0,6.6093187175202965
2022-08-18,アイムジャグラーEX-TP,310,860,-490,2,2,1/215.0,1/430.0,1/430.0,6.939994867631703
2022-08-18,アイムジャグラーEX-TP,311,2210,-350,7,5,1/184.2,1/315.7,1/442.0,5.888255301960922
2022-08-18,アイムジャグラーEX-TP,312,1090,-830,2,1,1/363.3,1/545.0,1/1090.0,6.565677708951939
2022-08-18,マイジャグラーV,1,4840,-560,17,11,1/172.9,1/284.7,1/440.0,5.890975688588419
2022-08-18,マイジャグラーV,2,3820,100,13,11,1/159.2,1/293.8,1/347.3,5.4487511965054685
2022-08-18,マイジャグラーV,3,6030,10,21,18,1/154.6,1/287.1,1/335.0,5.655104794753985
2022-08-18,マイジャグラーV,5,3700,-960,11,11,1/168.2,1/336.4,1/336.4,6.266591382886404
