日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-06-01,アイムジャグラーEX-TP,413,0,0,0,0,1/0.0,1/0.0,1/0.0,0.0
2023-06-01,アイムジャグラーEX-TP,414,689,255,3,2,1/137.8,1/229.7,1/344.5,5.235748903209394
2023-06-01,アイムジャグラーEX-TP,415,0,0,0,0,1/0.0,1/0.0,1/0.0,0.0
2023-06-01,アイムジャグラーEX-TP,416,873,572,6,1,1/124.7,1/145.5,1/873.0,5.93638601387455
2023-06-01,アイムジャグラーEX-TP,417,0,0,0,0,1/0.0,1/0.0,1/0.0,0.0
2023-06-01,アイムジャグラーEX-TP,418,0,0,0,0,1/0.0,1/0.0,1/0.0,0.0
2023-06-01,アイムジャグラーEX-TP,419,31,-46,0,0,1/0.0,1/0.0,1/0.0,7.659540822881765
2023-06-01,アイムジャグラーEX-TP,420,0,0,0,0,1/0.0,1/0.0,1/0.0,0.0
2023-06-01,アイムジャグラーEX-TP,421,1334,186,5,6,1/121.3,1/266.8,1/222.3,6.1651195559487135
2023-06-01,アイムジャグラーEX-TP,422,0,0,0,0,1/0.0,1/0.0,1/0.0,0.0
2023-06-01,アイムジャグラーEX-TP,423,0,0,0,0,1/0.0,1/0.0,1/0.0,0.0
2023-06-01,アイムジャグラーEX-TP,424,42,-48,0,0,1/0.0,1/0.0,1/0.0,5.774243574091794
2023-06-01,アイムジャグラーEX-TP,449,0,0,0,0,1/0.0,1/0.0,1/0.0,0.0
2023-06-01,アイムジャグラーEX-TP,450,0,0,0,0,1/0.0,1/0.0,1/0.0,0.0
2023-06-01,アイムジャグラーEX-TP,451,113,-143,0,0,1/0.0,1/0.0,1/0.0,6.334961362341851
2023-06-01,アイムジャグラーEX-TP,452,0,0,0,0,1/0.0,1/0.0,1/0.0,0.0
2023-06-01,アイムジャグラーEX-TP,453,156,-36,0,2,1/78.0,1/0.0,1/78.0,7.432202590408455
2023-06-01,アイムジャグラーEX-TP,454,0,0,0,0,1/0.0,1/0.0,1/0.0,0.0
2023-06-01,アイムジャグラーEX-TP,455,427,-93,1,1,1/213.5,1/427.0,1/427.0,5.336727508693116
2023-06-01,アイムジャグラーEX-TP,456,63,-92,0,0,1/0.0,1/0.0,1/0.0,7.490618891578641
2023-06-01,アイムジャグラーEX-TP,457,45,-55,0,0,1/0.0,1/0.0,1/0.0,6.125115696629825
2023-06-01,アイムジャグラーEX-TP,458,0,0,0,0,1/0.0,1/0.0,1/0.0,0.0
2023-06-01,アイムジャグラーEX-TP,459,0,0,0,0,1/0.0,1/0.0,1/0.0,0.0
2023-06-01,アイムジャグラーEX-TP,460,304,-147,1,0,1/304.0,1/304.0,1/0.0,6.566596630169493
2023-06-01,アイムジャグラーEX-TP,461,789,38,4,1,1/157.8,1/197.2,1/789.0,6.76821505527247
2023-06-01,アイムジャグラーEX-TP,462,0,0,0,0,1/0.0,1/0.0,1/0.0,0.0
2023-06-01,アイムジャグラーEX-TP,463,31,-45,0,0,1/0.0,1/0.0,1/0.0,7.4300615496711595
2023-06-01,アイムジャグラーEX-TP,464,682,376,3,5,1/85.2,1/227.3,1/136.4,6.269000033826861
2023-06-01,アイムジャグラーEX-TP,465,86,-106,0,0,1/0.0,1/0.0,1/0.0,6.173973971674382
2023-06-01,アイムジャグラーEX-TP,466,0,0,0,0,1/0.0,1/0.0,1/0.0,0.0
2023-06-01,アイムジャグラーEX-TP,467,188,-222,0,0,1/0.0,1/0.0,1/0.0,5.937057089225125
2023-06-01,アイムジャグラーEX-TP,468,0,0,0,0,1/0.0,1/0.0,1/0.0,0.0
2023-06-01,マイジャグラーV,469,1808,-740,5,4,1/200.9,1/361.6,1/452.0,6.405815573522624
2023-06-01,マイジャグラーV,470,363,58,1,2,1/121.0,1/363.0,1/181.5,5.310585205093648
2023-06-01,マイジャグラーV,471,315,-189,0,1,1/315.0,1/0.0,1/315.0,4.91355506530495
2023-06-01,マイジャグラーV,472,1803,-375,5,4,1/200.3,1/360.6,1/450.8,5.525810967638343
