日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
2022-08-18,アイムジャグラーEX-TP,326,4470,-200,13,20,135.5,343.8,223.5,6.030007990772334,5,8,,,,
2022-08-18,アイムジャグラーEX-TP,327,2940,660,12,11,127.8,245.0,267.3,5.835488643275686,0,8,,,,
2022-08-18,アイムジャグラーEX-TP,328,940,-610,1,3,235.0,940.0,313.3,6.115706565796544,0,8,,,,
2022-08-18,アイムジャグラーEX-TP,330,6980,3160,36,24,116.3,193.9,290.8,5.892362906748207,4,8,,,,
2022-08-18,アイムジャグラーEX-TP,331,1230,-300,3,6,136.7,410.0,205.0,6.628121178221288,0,8,,,,
2022-08-18,アイムジャグラーEX-TP,332,3420,-180,11,12,148.7,310.9,285.0,5.999862634723889,0,8,,,,
2022-08-18,アイムジャグラーEX-TP,333,1590,-850,3,4,227.1,530.0,397.5,6.249758018410057,0,8,,,,
2022-08-18,アイムジャグラーEX-TP,335,2670,-70,10,8,148.3,267.0,333.8,6.271075334404505,0,8,,,,
2022-08-18,アイムジャグラーEX-TP,356,3770,120,16,10,145.0,235.6,377.0,6.445454783254058,0,8,,,,
2022-08-18,アイムジャグラーEX-TP,357,2570,-150,10,7,151.2,257.0,367.1,6.4888085095800205,0,8,,,,
2022-08-18,アイムジャグラーEX-TP,358,660,-450,1,1,330.0,660.0,660.0,6.053718496586528,0,8,,,,
2022-08-18,アイムジャグラーEX-TP,360,2410,330,11,5,150.6,219.1,482.0,6.05670077183981,0,8,,,,
2022-08-18,アイムジャグラーEX-TP,361,6500,1870,28,28,116.1,232.1,232.1,6.045049569406469,5,8,,,,
2022-08-18,アイムジャグラーEX-TP,362,1000,-60,4,1,200.0,250.0,1000.0,5.8476539943131565,0,8,,,,
2022-08-18,アイムジャグラーEX-TP,363,3280,190,15,8,142.6,218.7,410.0,6.639441582478513,0,8,,,,
2022-08-18,マイジャグラーV,336,6620,760,30,16,143.9,220.7,413.8,6.0109354988258135,1,8,,,,
2022-08-18,マイジャグラーV,337,3700,-500,11,14,148.0,336.4,264.3,6.0436395695866905,0,8,,,,
2022-08-18,マイジャグラーV,338,5110,-1490,17,7,212.9,300.6,730.0,6.095116954007646,1,8,,,,
2022-08-18,マイジャグラーV,350,6460,-430,21,21,153.8,307.6,307.6,5.811492762206333,3,8,,,,
2022-08-18,マイジャグラーV,351,5000,1740,25,19,113.6,200.0,263.2,6.059091287784115,1,8,,,,
2022-08-18,マイジャグラーV,352,6520,1410,35,8,151.6,186.3,815.0,5.9453075474767445,1,8,,,,
2022-08-18,マイジャグラーV,353,4800,560,21,11,150.0,228.6,436.4,5.787888361279991,1,8,,,,
2022-08-18,マイジャグラーV,355,6040,-1030,20,17,163.2,302.0,355.3,6.15529545469137,1,8,,,,
2022-08-18,ファンキージャグラー2,365,4520,-560,17,8,180.8,265.9,565.0,5.986285182255564,1,8,,,,
2022-08-18,ファンキージャグラー2,366,2110,-590,7,3,211.0,301.4,703.3,6.0609172451407645,0,8,,,,
2022-08-18,ファンキージャグラー2,367,5120,-1150,17,9,196.9,301.2,568.9,5.960034014100369,1,8,,,,
2022-08-18,ファンキージャグラー2,368,5440,1040,28,9,147.0,194.3,604.4,6.0111510166331525,1,8,,,,
