日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-08-18,アイムジャグラーEX-TP,326,4470,-200,13,20,1/135.5,1/343.8,1/223.5,6.030007990772334
2022-08-18,アイムジャグラーEX-TP,327,2940,660,12,11,1/127.8,1/245.0,1/267.3,5.835488643275686
2022-08-18,アイムジャグラーEX-TP,328,940,-610,1,3,1/235.0,1/940.0,1/313.3,6.115706565796544
2022-08-18,アイムジャグラーEX-TP,330,6980,3160,36,24,1/116.3,1/193.9,1/290.8,5.892362906748207
2022-08-18,アイムジャグラーEX-TP,331,1230,-300,3,6,1/136.7,1/410.0,1/205.0,6.628121178221288
2022-08-18,アイムジャグラーEX-TP,332,3420,-180,11,12,1/148.7,1/310.9,1/285.0,5.999862634723889
2022-08-18,アイムジャグラーEX-TP,333,1590,-850,3,4,1/227.1,1/530.0,1/397.5,6.249758018410057
2022-08-18,アイムジャグラーEX-TP,335,2670,-70,10,8,1/148.3,1/267.0,1/333.8,6.271075334404505
2022-08-18,アイムジャグラーEX-TP,356,3770,120,16,10,1/145.0,1/235.6,1/377.0,6.445454783254058
2022-08-18,アイムジャグラーEX-TP,357,2570,-150,10,7,1/151.2,1/257.0,1/367.1,6.4888085095800205
2022-08-18,アイムジャグラーEX-TP,358,660,-450,1,1,1/330.0,1/660.0,1/660.0,6.053718496586528
2022-08-18,アイムジャグラーEX-TP,360,2410,330,11,5,1/150.6,1/219.1,1/482.0,6.05670077183981
2022-08-18,アイムジャグラーEX-TP,361,6500,1870,28,28,1/116.1,1/232.1,1/232.1,6.045049569406469
2022-08-18,アイムジャグラーEX-TP,362,1000,-60,4,1,1/200.0,1/250.0,1/1000.0,5.8476539943131565
2022-08-18,アイムジャグラーEX-TP,363,3280,190,15,8,1/142.6,1/218.7,1/410.0,6.639441582478513
2022-08-18,マイジャグラーV,336,6620,760,30,16,1/143.9,1/220.7,1/413.8,6.0109354988258135
2022-08-18,マイジャグラーV,337,3700,-500,11,14,1/148.0,1/336.4,1/264.3,6.0436395695866905
2022-08-18,マイジャグラーV,338,5110,-1490,17,7,1/212.9,1/300.6,1/730.0,6.095116954007646
2022-08-18,マイジャグラーV,350,6460,-430,21,21,1/153.8,1/307.6,1/307.6,5.811492762206333
2022-08-18,マイジャグラーV,351,5000,1740,25,19,1/113.6,1/200.0,1/263.2,6.059091287784115
2022-08-18,マイジャグラーV,352,6520,1410,35,8,1/151.6,1/186.3,1/815.0,5.9453075474767445
2022-08-18,マイジャグラーV,353,4800,560,21,11,1/150.0,1/228.6,1/436.4,5.787888361279991
2022-08-18,マイジャグラーV,355,6040,-1030,20,17,1/163.2,1/302.0,1/355.3,6.15529545469137
2022-08-18,ファンキージャグラー2,365,4520,-560,17,8,1/180.8,1/265.9,1/565.0,5.986285182255564
2022-08-18,ファンキージャグラー2,366,2110,-590,7,3,1/211.0,1/301.4,1/703.3,6.0609172451407645
2022-08-18,ファンキージャグラー2,367,5120,-1150,17,9,1/196.9,1/301.2,1/568.9,5.960034014100369
2022-08-18,ファンキージャグラー2,368,5440,1040,28,9,1/147.0,1/194.3,1/604.4,6.0111510166331525
