日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023/9/21,アイムジャグラーEX-TP,441,1086,-622,3,0,1/362.0,1/362.0,1/0.0,6.341580288
2023/9/21,アイムジャグラーEX-TP,442,1640,-52,8,1,1/182.2,1/205.0,1/1640.0,6.59563357
2023/9/21,アイムジャグラーEX-TP,443,777,-172,2,2,1/194.2,1/388.5,1/388.5,5.653454996
2023/9/21,アイムジャグラーEX-TP,444,1550,-912,4,3,1/221.4,1/387.5,1/516.7,7.22549247
2023/9/21,アイムジャグラーEX-TP,445,604,-256,2,0,1/302.0,1/302.0,1/0.0,6.286711952
2023/9/21,アイムジャグラーEX-TP,446,2373,170,10,5,1/158.2,1/237.3,1/474.6,5.968022115
2023/9/21,アイムジャグラーEX-TP,447,5432,1309,24,16,1/135.8,1/226.3,1/339.5,5.802772315
2023/9/21,アイムジャグラーEX-TP,448,1194,-148,5,2,1/170.6,1/238.8,1/597.0,6.707563328
2023/9/21,アイムジャグラーEX-TP,449,2407,840,10,12,1/109.4,1/240.7,1/200.6,5.888385662
2023/9/21,アイムジャグラーEX-TP,450,4807,942,22,11,1/145.7,1/218.5,1/437.0,5.897811936
2023/9/21,アイムジャグラーEX-TP,451,2184,-46,8,5,1/168.0,1/273.0,1/436.8,5.844258381
2023/9/21,アイムジャグラーEX-TP,452,706,-144,2,1,1/235.3,1/353.0,1/706.0,5.413882498
2023/9/21,アイムジャグラーEX-TP,453,1123,-1146,1,2,1/374.3,1/1123.0,1/561.5,7.178279638
2023/9/21,アイムジャグラーEX-TP,454,1141,-562,2,2,1/285.2,1/570.5,1/570.5,5.600642115
2023/9/21,アイムジャグラーEX-TP,455,3635,136,15,6,1/173.1,1/242.3,1/605.8,5.83210454
2023/9/21,マイジャグラーV,941,6170,1977,29,22,1/121.0,1/212.8,1/280.5,5.768632874
2023/9/21,マイジャグラーV,942,1142,-679,2,2,1/285.5,1/571.0,1/571.0,5.925290774
2023/9/21,マイジャグラーV,943,6024,660,27,18,1/133.9,1/223.1,1/334.7,6.23468342
2023/9/21,マイジャグラーV,944,4257,-625,12,12,1/177.4,1/354.8,1/354.8,5.552488403
2023/9/21,マイジャグラーV,945,2888,128,13,5,1/160.4,1/222.2,1/577.6,6.001552382
2023/9/21,マイジャグラーV,946,663,-584,0,1,1/663.0,1/0.0,1/663.0,5.312013757
2023/9/21,マイジャグラーV,947,8107,775,32,25,1/142.2,1/253.3,1/324.3,5.763565469
2023/9/21,マイジャグラーV,948,1814,-293,5,7,1/151.2,1/362.8,1/259.1,5.961267976
2023/9/21,マイジャグラーV,949,4741,349,20,11,1/152.9,1/237.1,1/431.0,5.822989535
2023/9/21,マイジャグラーV,950,6266,-842,20,18,1/164.9,1/313.3,1/348.1,5.887160501
2023/9/21,マイジャグラーV,951,1321,-546,3,3,1/220.2,1/440.3,1/440.3,5.892947329
2023/9/21,マイジャグラーV,952,3533,228,15,11,1/135.9,1/235.5,1/321.2,6.236729394
2023/9/21,マイジャグラーV,953,6856,-987,24,19,1/159.4,1/285.7,1/360.8,6.225254364
2023/9/21,マイジャグラーV,954,399,-367,0,1,1/399.0,1/0.0,1/399.0,5.83086683
2023/9/21,マイジャグラーV,965,1551,189,8,2,1/155.1,1/193.9,1/775.5,6.175125023
2023/9/21,マイジャグラーV,966,3190,393,15,5,1/159.5,1/212.7,1/638.0,5.799485032
2023/9/21,マイジャグラーV,967,3284,-1091,8,10,1/182.4,1/410.5,1/328.4,6.035709954
2023/9/21,マイジャグラーV,968,529,-378,1,0,1/529.0,1/529.0,1/0.0,5.866367937
2023/9/21,マイジャグラーV,969,3930,239,15,13,1/140.4,1/262.0,1/302.3,5.86897524
2023/9/21,マイジャグラーV,970,497,-399,1,0,1/497.0,1/497.0,1/0.0,6.418872674
2023/9/21,マイジャグラーV,971,1870,-176,6,5,1/170.0,1/311.7,1/374.0,5.657363946
2023/9/21,マイジャグラーV,972,6385,-87,23,21,1/145.1,1/277.6,1/304.0,5.962111841
2023/9/21,マイジャグラーV,973,1626,-234,5,5,1/162.6,1/325.2,1/325.2,5.89092608
2023/9/21,マイジャグラーV,974,2172,-273,10,1,1/197.5,1/217.2,1/2172.0,6.351896004
2023/9/21,マイジャグラーV,975,1386,-103,7,0,1/198.0,1/198.0,1/0.0,6.410862091
2023/9/21,マイジャグラーV,976,3972,117,15,11,1/152.8,1/264.8,1/361.1,5.744278559
2023/9/21,マイジャグラーV,977,1888,-1017,3,5,1/236.0,1/629.3,1/377.6,5.884734997
2023/9/21,マイジャグラーV,978,2770,-1032,8,6,1/197.9,1/346.2,1/461.7,6.345809808
2023/9/21,マイジャグラーV,979,3210,-1746,6,9,1/214.0,1/535.0,1/356.7,6.287566096
2023/9/21,マイジャグラーV,980,5127,-249,20,10,1/170.9,1/256.4,1/512.7,5.869887613
2023/9/21,ファンキージャグラー2,471,3574,-1026,9,9,1/198.6,1/397.1,1/397.1,5.71717218
2023/9/21,ファンキージャグラー2,472,2204,-188,8,4,1/183.7,1/275.5,1/551.0,5.70567838
2023/9/21,ファンキージャグラー2,473,377,-255,1,0,1/377.0,1/377.0,1/0.0,6.5698056
2023/9/21,ファンキージャグラー2,474,2571,-1568,4,4,1/321.4,1/642.8,1/642.8,5.72082173
2023/9/21,ファンキージャグラー2,475,1095,-497,3,2,1/219.0,1/365.0,1/547.5,6.423810926
2023/9/21,ファンキージャグラー2,476,2286,-485,8,2,1/228.6,1/285.8,1/1143.0,5.730924448
2023/9/21,ファンキージャグラー2,477,526,-124,2,0,1/263.0,1/263.0,1/0.0,5.783427676
2023/9/21,ファンキージャグラー2,478,6429,3128,39,15,1/119.1,1/164.8,1/428.6,5.962776263
2023/9/21,ファンキージャグラー2,479,392,-230,1,0,1/392.0,1/392.0,1/0.0,6.007658232
2023/9/21,ファンキージャグラー2,480,4074,206,18,9,1/150.9,1/226.3,1/452.7,6.098604054
2023/9/21,ハッピージャグラーVIII,456,3772,499,18,7,1/150.9,1/209.6,1/538.9,6.19606013
2023/9/21,ハッピージャグラーVIII,457,2114,-1066,4,5,1/234.9,1/528.5,1/422.8,6.172140682
2023/9/21,ハッピージャグラーVIII,458,2090,238,8,7,1/139.3,1/261.2,1/298.6,5.899107619
2023/9/21,ハッピージャグラーVIII,459,2691,-437,10,5,1/179.4,1/269.1,1/538.2,6.403355539
2023/9/21,ハッピージャグラーVIII,460,2202,-756,5,5,1/220.2,1/440.4,1/440.4,5.816509338
2023/9/20,アイムジャグラーEX-TP,441,4911,89,19,10,1/169.3,1/258.5,1/491.1,5.795263364
2023/9/20,アイムジャグラーEX-TP,442,2670,-658,8,8,1/166.9,1/333.8,1/333.8,6.432544532
2023/9/20,アイムジャグラーEX-TP,443,1349,-20,6,2,1/168.6,1/224.8,1/674.5,6.375599065
2023/9/20,アイムジャグラーEX-TP,444,3015,-263,11,9,1/150.8,1/274.1,1/335.0,6.451121468
2023/9/20,アイムジャグラーEX-TP,445,3393,424,16,6,1/154.2,1/212.1,1/565.5,6.153581422
2023/9/20,アイムジャグラーEX-TP,446,1105,-980,1,2,1/368.3,1/1105.0,1/552.5,6.442943941
2023/9/20,アイムジャグラーEX-TP,447,1027,-843,2,1,1/342.3,1/513.5,1/1027.0,7.10828324
2023/9/20,アイムジャグラーEX-TP,448,4032,207,16,12,1/144.0,1/252.0,1/336.0,6.157856655
2023/9/20,アイムジャグラーEX-TP,449,2604,48,11,5,1/162.8,1/236.7,1/520.8,6.141970661
2023/9/20,アイムジャグラーEX-TP,450,1455,-1115,2,3,1/291.0,1/727.5,1/485.0,6.556063694
2023/9/20,アイムジャグラーEX-TP,451,1612,-277,6,2,1/201.5,1/268.7,1/806.0,6.139046821
2023/9/20,アイムジャグラーEX-TP,452,1257,-648,3,1,1/314.2,1/419.0,1/1257.0,5.981803895
2023/9/20,アイムジャグラーEX-TP,453,2342,-389,8,5,1/180.2,1/292.8,1/468.4,6.15086539
2023/9/20,アイムジャグラーEX-TP,454,1661,84,8,1,1/184.6,1/207.6,1/1661.0,6.100199206
2023/9/20,アイムジャグラーEX-TP,455,1481,-1216,2,2,1/370.2,1/740.5,1/740.5,6.455121173
2023/9/20,マイジャグラーV,941,3821,-312,15,5,1/191.1,1/254.7,1/764.2,5.776096741
2023/9/20,マイジャグラーV,942,7457,1440,36,22,1/128.6,1/207.1,1/339.0,6.213090889
