日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-09-17,アイムジャグラーEX-TP,861,4029,-353,12,13,1/161.2,1/335.8,1/309.9,5.775980468383704
2023-09-17,アイムジャグラーEX-TP,862,3726,1967,22,8,1/124.2,1/169.4,1/465.8,5.8469755177437195
2023-09-17,アイムジャグラーEX-TP,863,5461,53,21,14,1/156.0,1/260.0,1/390.1,6.025594000154628
2023-09-17,アイムジャグラーEX-TP,864,738,-281,2,1,1/246.0,1/369.0,1/738.0,5.980853004167066
2023-09-17,アイムジャグラーEX-TP,865,3010,-658,7,16,1/130.9,1/430.0,1/188.1,6.56221409539606
2023-09-17,アイムジャグラーEX-TP,866,1564,-708,3,4,1/223.4,1/521.3,1/391.0,5.925526063771163
2023-09-17,マイジャグラーV,837,4630,-758,13,14,1/171.5,1/356.2,1/330.7,5.685687198879428
2023-09-17,マイジャグラーV,838,4549,206,21,9,1/151.6,1/216.6,1/505.4,6.235905116481496
2023-09-17,マイジャグラーV,839,7317,1322,28,29,1/128.4,1/261.3,1/252.3,5.641133471514441
2023-09-17,マイジャグラーV,840,6659,-1961,18,19,1/180.0,1/369.9,1/350.5,6.07188702776841
2023-09-17,マイジャグラーV,841,1774,-1450,3,2,1/354.8,1/591.3,1/887.0,6.660064730460583
2023-09-17,マイジャグラーV,842,3032,-1739,7,4,1/275.6,1/433.1,1/758.0,6.255065736779902
2023-09-17,マイジャグラーV,843,1318,-1306,1,1,1/659.0,1/1318.0,1/1318.0,6.221608673630564
2023-09-17,ファンキージャグラー2,867,844,-1072,0,0,1/0.0,1/0.0,1/0.0,6.356481898147922
2023-09-17,ファンキージャグラー2,868,2328,-792,6,3,1/258.7,1/388.0,1/776.0,5.5205717775707575
2023-09-17,ファンキージャグラー2,869,1499,-631,3,4,1/214.1,1/499.7,1/374.8,5.819180420457136
2023-09-17,ファンキージャグラー2,870,1959,136,7,5,1/163.2,1/279.9,1/391.8,5.33292807798543
2023-09-17,ファンキージャグラー2,871,1743,-553,4,4,1/217.9,1/435.8,1/435.8,5.540976142449818
2023-09-17,ファンキージャグラー2,872,3940,203,17,8,1/157.6,1/231.8,1/492.5,5.906130008312054
2023-09-17,ハッピージャグラーVIII,844,4612,-850,12,19,1/148.8,1/384.3,1/242.7,6.259454242636235
