日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-09-25,アイムジャグラーEX-TP,321,1459,-65,7,1,1/182.4,1/208.4,1/1459.0,6.595025136131444
2023-09-25,アイムジャグラーEX-TP,322,4704,1013,18,23,1/114.7,1/261.3,1/204.5,6.076570131660698
2023-09-25,アイムジャグラーEX-TP,323,898,-282,3,2,1/179.6,1/299.3,1/449.0,6.880030878927009
2023-09-25,アイムジャグラーEX-TP,324,1124,-141,4,2,1/187.3,1/281.0,1/562.0,5.973434372948293
2023-09-25,アイムジャグラーEX-TP,325,2622,1343,16,6,1/119.2,1/163.9,1/437.0,6.204531162955835
2023-09-25,アイムジャグラーEX-TP,326,266,-405,0,0,1/0.0,1/0.0,1/0.0,7.954155358409454
2023-09-25,アイムジャグラーEX-TP,327,924,-694,1,3,1/231.0,1/924.0,1/308.0,6.688577791199974
2023-09-25,アイムジャグラーEX-TP,328,3964,1205,20,10,1/132.1,1/198.2,1/396.4,6.040656544391526
2023-09-25,アイムジャグラーEX-TP,329,782,-404,1,2,1/260.7,1/782.0,1/391.0,5.529450937542447
2023-09-25,アイムジャグラーEX-TP,330,1986,639,10,6,1/124.1,1/198.6,1/331.0,6.167118859943799
2023-09-25,アイムジャグラーEX-TP,331,305,-217,1,0,1/305.0,1/305.0,1/0.0,8.055793634338283
2023-09-25,アイムジャグラーEX-TP,350,1662,-480,5,4,1/184.7,1/332.4,1/415.5,6.377535602822738
2023-09-25,アイムジャグラーEX-TP,351,84,-148,0,0,1/0.0,1/0.0,1/0.0,10.438205821536503
2023-09-25,アイムジャグラーEX-TP,352,5228,2805,27,24,1/102.5,1/193.6,1/217.8,6.0149796694722655
2023-09-25,アイムジャグラーEX-TP,353,179,-157,0,0,1/0.0,1/0.0,1/0.0,4.844887804307674
2023-09-25,アイムジャグラーEX-TP,354,924,87,5,1,1/154.0,1/184.8,1/924.0,6.8976606628651895
2023-09-25,アイムジャグラーEX-TP,355,2815,591,11,9,1/140.8,1/255.9,1/312.8,5.509856477536031
2023-09-25,アイムジャグラーEX-TP,356,5910,3541,35,20,1/107.5,1/168.9,1/295.5,6.073513249430814
2023-09-25,アイムジャグラーEX-TP,357,1077,359,6,2,1/134.6,1/179.5,1/538.5,6.225430647199699
2023-09-25,アイムジャグラーEX-TP,358,1392,-450,4,4,1/174.0,1/348.0,1/348.0,6.615099306327
2023-09-25,アイムジャグラーEX-TP,359,215,13,1,0,1/215.0,1/215.0,1/0.0,5.633086918531153
2023-09-25,アイムジャグラーEX-TP,360,4589,-52,17,14,1/148.0,1/269.9,1/327.8,6.174535427429691
2023-09-25,アイムジャグラーEX-TP,370,536,-576,0,1,1/536.0,1/0.0,1/536.0,6.269651878749142
2023-09-25,アイムジャグラーEX-TP,371,395,-550,0,0,1/0.0,1/0.0,1/0.0,7.0427808821484215
2023-09-25,アイムジャグラーEX-TP,372,1944,-576,5,5,1/194.4,1/388.8,1/388.8,5.966498113094972
2023-09-25,アイムジャグラーEX-TP,373,5269,708,22,15,1/142.4,1/239.5,1/351.3,5.959170172716747
2023-09-25,アイムジャグラーEX-TP,374,343,83,2,0,1/171.5,1/171.5,1/0.0,6.1289159395056325
2023-09-25,アイムジャグラーEX-TP,375,4493,943,18,19,1/121.4,1/249.6,1/236.5,6.020274618049217
2023-09-25,アイムジャグラーEX-TP,376,2543,-658,6,11,1/149.6,1/423.8,1/231.2,6.3253440068061995
2023-09-25,アイムジャグラーEX-TP,385,513,-325,1,1,1/256.5,1/513.0,1/513.0,6.560855709517537
2023-09-25,アイムジャグラーEX-TP,386,1221,-948,2,2,1/305.2,1/610.5,1/610.5,6.754818990766974
2023-09-25,アイムジャグラーEX-TP,387,1109,217,4,7,1/100.8,1/277.2,1/158.4,6.575958757294408
2023-09-25,アイムジャグラーEX-TP,388,663,-204,2,2,1/165.8,1/331.5,1/331.5,6.806316261490663
2023-09-25,アイムジャグラーEX-TP,389,4761,712,18,21,1/122.1,1/264.5,1/226.7,6.117000135252385
2023-09-25,アイムジャグラーEX-TP,390,2484,151,10,9,1/130.7,1/248.4,1/276.0,6.4907304190877015
2023-09-25,アイムジャグラーEX-TP,391,2587,1459,15,7,1/117.6,1/172.5,1/369.6,5.806528621068635
2023-09-25,マイジャグラーV,332,5798,543,25,14,1/148.7,1/231.9,1/414.1,5.871196990818131
2023-09-25,マイジャグラーV,333,1189,-124,4,2,1/198.2,1/297.2,1/594.5,5.475162072884618
2023-09-25,マイジャグラーV,334,1248,-310,3,5,1/156.0,1/416.0,1/249.6,6.035905512542205
2023-09-25,マイジャグラーV,335,6211,1266,24,23,1/132.1,1/258.8,1/270.0,5.490161170538338
2023-09-25,マイジャグラーV,336,1679,-497,4,7,1/152.6,1/419.8,1/239.9,6.312000799131632
2023-09-25,マイジャグラーV,337,587,-449,1,1,1/293.5,1/587.0,1/587.0,6.690210528074871
2023-09-25,マイジャグラーV,338,6759,2155,30,29,1/114.6,1/225.3,1/233.1,5.802275630568866
2023-09-25,マイジャグラーV,339,3415,-442,12,8,1/170.8,1/284.6,1/426.9,5.982359550122619
2023-09-25,マイジャグラーV,340,2112,-843,7,2,1/234.7,1/301.7,1/1056.0,6.409154019891502
2023-09-25,マイジャグラーV,341,3833,-1193,8,13,1/182.5,1/479.1,1/294.8,5.727016281723883
2023-09-25,マイジャグラーV,342,3777,-1211,9,9,1/209.8,1/419.7,1/419.7,5.662337786067265
2023-09-25,マイジャグラーV,343,1404,-1555,1,1,1/702.0,1/1404.0,1/1404.0,6.752580427188725
2023-09-25,マイジャグラーV,344,3416,-1726,5,11,1/213.5,1/683.2,1/310.5,5.846448806921387
2023-09-25,マイジャグラーV,345,2069,-79,9,4,1/159.2,1/229.9,1/517.2,6.311735591268019
2023-09-25,マイジャグラーV,346,5930,1624,28,15,1/137.9,1/211.8,1/395.3,5.579671337834056
2023-09-25,マイジャグラーV,347,951,-125,3,1,1/237.8,1/317.0,1/951.0,5.180676677952094
2023-09-25,マイジャグラーV,348,2817,207,12,7,1/148.3,1/234.8,1/402.4,5.934035188876067
2023-09-25,マイジャグラーV,349,4387,-2092,8,13,1/208.9,1/548.4,1/337.5,5.991956774608409
2023-09-25,ファンキージャグラー2,377,1430,-701,3,4,1/204.3,1/476.7,1/357.5,6.298550177256837
2023-09-25,ファンキージャグラー2,378,1621,-379,5,3,1/202.6,1/324.2,1/540.3,5.794400566178349
2023-09-25,ファンキージャグラー2,379,522,-42,3,0,1/174.0,1/174.0,1/0.0,7.4540627319354105
2023-09-25,ファンキージャグラー2,380,2091,-43,9,2,1/190.1,1/232.3,1/1045.5,5.7667611924137026
2023-09-25,ファンキージャグラー2,381,1754,-571,5,4,1/194.9,1/350.8,1/438.5,6.135307848428165
2023-09-25,ファンキージャグラー2,382,517,-338,1,0,1/517.0,1/517.0,1/0.0,5.665071287991487
2023-09-25,ファンキージャグラー2,383,1056,-130,4,1,1/211.2,1/264.0,1/1056.0,5.677201118344107
2023-09-25,ファンキージャグラー2,384,1308,206,7,0,1/186.9,1/186.9,1/0.0,5.6907000126605025
2023-09-25,ハッピージャグラーVIII,367,521,-200,2,0,1/260.5,1/260.5,1/0.0,6.801163703912447
2023-09-25,ハッピージャグラーVIII,368,1210,500,7,4,1/110.0,1/172.9,1/302.5,6.720061535770095
2023-09-25,ハッピージャグラーVIII,369,550,-523,0,1,1/550.0,1/0.0,1/550.0,5.902356247442872
2023-09-25,ハッピージャグラーVIII,392,3955,-740,12,12,1/164.8,1/329.6,1/329.6,6.271821414047948
2023-09-25,ハッピージャグラーVIII,393,1543,-357,4,5,1/171.4,1/385.8,1/308.6,6.072403773135113
2023-09-25,ハッピージャグラーVIII,394,228,-234,0,0,1/0.0,1/0.0,1/0.0,5.502123023127017
2023-09-25,ゴーゴージャグラー3,365,1320,-444,4,3,1/188.6,1/330.0,1/440.0,6.66626265074844
2023-09-25,ゴーゴージャグラー3,366,5190,974,19,26,1/115.3,1/273.2,1/199.6,6.102062282479924
2023-09-25,ゴーゴージャグラー3,395,2015,773,11,6,1/118.5,1/183.2,1/335.8,6.297109911717408
2023-09-25,ゴーゴージャグラー3,396,4720,1471,27,14,1/115.1,1/174.8,1/337.1,7.036484619988833
2023-09-24,アイムジャグラーEX-TP,321,3159,-1199,5,13,1/175.5,1/631.8,1/243.0,5.886157795313232
2023-09-24,アイムジャグラーEX-TP,322,2159,593,10,7,1/127.0,1/215.9,1/308.4,6.01310500393665
2023-09-24,アイムジャグラーEX-TP,323,2048,183,10,1,1/186.2,1/204.8,1/2048.0,5.9507868186701405
2023-09-24,アイムジャグラーEX-TP,324,1157,-551,2,2,1/289.2,1/578.5,1/578.5,5.505374330242901
2023-09-24,アイムジャグラーEX-TP,325,2300,307,9,7,1/143.8,1/255.6,1/328.6,5.760556219271816
2023-09-24,アイムジャグラーEX-TP,326,1524,68,7,3,1/152.4,1/217.7,1/508.0,6.496649408485188
2023-09-24,アイムジャグラーEX-TP,327,4566,743,18,17,1/130.5,1/253.7,1/268.6,5.943804182295459
