,日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
175,2023-09-07,マイジャグラーV,627,7250,788,28,27,131.8,258.9,268.5,5.880210481120342,4,7,-1488.0,4930.0,448.2,1232.5
176,2023-09-07,マイジャグラーV,628,9093,1362,36,38,122.9,252.6,239.3,5.992285110849725,1,7,-588.0,6162.0,308.1,440.1
177,2023-09-07,マイジャグラーV,629,6718,-88,23,19,160.0,292.1,353.6,5.5985662920094805,2,7,1062.0,6682.0,257.0,290.5
178,2023-09-07,マイジャグラーV,630,5563,-512,17,13,185.4,327.2,427.9,5.387998880689964,1,7,212.0,5953.0,270.6,297.6
179,2023-09-07,マイジャグラーV,631,5766,-662,22,14,160.2,262.1,411.9,6.291294822587601,1,7,-1438.0,9225.0,384.4,297.6
180,2023-09-07,マイジャグラーV,632,6356,-462,19,23,151.3,334.5,276.3,5.722550382786265,4,7,-1438.0,4834.0,371.8,402.8
181,2023-09-07,マイジャグラーV,633,3597,-738,11,9,179.8,327.0,399.7,5.90238613866705,0,7,-562.0,5566.0,265.0,556.6
182,2023-09-07,マイジャグラーV,634,5911,3012,33,19,113.7,179.1,311.1,5.721501835235719,3,7,-888.0,6394.0,319.7,336.5
183,2023-09-07,マイジャグラーV,635,2550,-538,6,7,196.2,425.0,364.3,5.3506772213146325,0,7,588.0,5145.0,257.2,302.6
184,2023-09-07,マイジャグラーV,636,8725,2964,38,36,117.9,229.6,242.4,5.5740228335692805,5,7,-238.0,5661.0,257.3,471.8
185,2023-09-07,マイジャグラーV,637,8343,1088,33,26,141.4,252.8,320.9,5.642660997258884,3,7,-562.0,6522.0,326.1,326.1
186,2023-09-07,マイジャグラーV,638,8005,2268,34,32,121.3,235.4,250.2,5.646075036910312,5,7,1888.0,8130.0,246.4,219.7
187,2023-09-07,マイジャグラーV,639,7629,1412,27,34,125.1,282.6,224.4,5.53871450587269,6,7,1862.0,9035.0,258.1,237.8
188,2023-09-07,マイジャグラーV,640,3522,312,11,17,125.8,320.2,207.2,5.66519532841913,0,7,-112.0,6691.0,318.6,230.7
189,2023-09-07,マイジャグラーV,641,5177,-488,19,12,167.0,272.5,431.4,5.981683065626898,1,7,-688.0,3156.0,315.6,526.0
190,2023-09-07,マイジャグラーV,642,4485,-662,15,10,179.4,299.0,448.5,5.837775206947544,1,7,1188.0,7343.0,244.8,293.7
191,2023-09-07,マイジャグラーV,643,4511,1062,22,14,125.3,205.0,322.2,6.137184477134679,1,7,-612.0,6268.0,261.2,569.8
192,2023-09-07,マイジャグラーV,644,5963,-1488,16,17,180.7,372.7,350.8,5.850164663850457,2,7,162.0,7300.0,280.8,331.8
193,2023-09-07,マイジャグラーV,645,6838,1288,33,16,139.6,207.2,427.4,5.963904679246425,1,7,1020.0,7525.0,228.0,376.2
194,2023-09-07,マイジャグラーV,646,5599,2148,30,16,121.7,186.6,349.9,5.882123152877315,2,7,862.0,8401.0,240.0,323.1
195,2023-09-07,マイジャグラーV,647,7778,712,29,24,146.8,268.2,324.1,5.570529736232391,3,7,-1488.0,4202.0,350.2,600.3
196,2023-09-07,マイジャグラーV,648,6001,1538,28,19,127.7,214.3,315.8,5.843972082967512,3,7,912.0,8776.0,225.0,398.9
197,2023-09-07,マイジャグラーV,649,7828,-112,32,17,159.8,244.6,460.5,6.008978056487166,1,7,-1162.0,5325.0,355.0,332.8
198,2023-09-07,マイジャグラーV,650,3106,-2172,4,6,310.6,776.5,517.7,5.974044574691182,0,7,262.0,5568.0,242.1,397.7
199,2023-09-07,マイジャグラーV,651,7109,1262,34,16,142.2,209.1,444.3,5.928466181781748,1,7,838.0,5792.0,251.8,241.3
200,2023-09-07,マイジャグラーV,652,3737,-1112,10,8,207.6,373.7,467.1,5.760207720149995,0,7,1932.0,7520.0,227.9,327.0
201,2023-09-07,マイジャグラーV,653,6662,1884,34,15,136.0,195.9,444.1,5.806207880766741,1,7,-25.0,7718.0,321.6,257.3
202,2023-09-07,マイジャグラーV,654,4650,-288,14,16,155.0,332.1,290.6,5.631700844051164,3,7,-612.0,6157.0,279.9,513.1
203,2023-09-07,マイジャグラーV,655,7000,1312,33,17,140.0,212.1,411.8,5.887789250789332,1,7,-812.0,5457.0,287.2,454.8
204,2023-09-07,マイジャグラーV,656,5243,1262,25,14,134.4,209.7,374.5,5.8135902260131465,2,7,-2004.0,3764.0,537.7,627.3
205,2023-09-07,マイジャグラーV,657,5471,-1764,15,10,218.8,364.7,547.1,5.805329175726567,1,7,-838.0,5390.0,269.5,598.9
206,2023-09-07,マイジャグラーV,668,4710,-288,15,16,151.9,314.0,294.4,5.780873327027456,3,7,-1712.0,5710.0,380.7,356.9
