“ú•t,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685
2023-09-07,788,1362,-88,-512,-662,-462,-738,3012,-538,2964,1088,2268,1412,312,-488,-662,1062,-1488,1288,2148,712,1538,-112,-2172,1262,-1112,1884,-288,1312,1262,-1764,-288,1112,-1112,2796,-712,-1012,1588,112,1712,-1288,-2868,-338,1288,1312,112,1238,-912,738
2023-08-27,2118,-573,-2049,-2205,-1738,185,-1014,572,-996,3363,-749,537,-168,-943,2412,-2066,-221,-3052,-18,-1771,-626,-538,-3380,1788,-379,-1172,-2464,1242,-1014,-573,-1997,1030,2000,-1207,61,1418,1788,-256,-133,519,-168,643,2429,-1014,308,44,-1049,0,-555
2023-08-17,1038,-262,88,1862,2196,-1812,-388,-1162,-388,362,-1438,1688,-1188,-2100,3540,-438,762,1716,-2196,-212,-962,712,-1738,938,-112,-88,488,-812,2052,212,-562,1262,1512,-2100,762,-438,2100,2052,1662,-1188,1562,-2100,-2148,1212,-162,-1462,-75,-488,-2292
2023-08-07,812,-488,-512,512,1188,-288,1712,-1462,-388,362,-362,2340,-1428,88,-3108,-2004,-762,612,-1238,1212,-1162,-2676,-1356,-1288,1788,-412,4579,-1644,-1012,-1088,-1932,-1412,188,-948,738,-100,1362,362,2724,-688,-1688,-1438,388,388,-238,2988,-1980,-1836,-512
2023-07-27,-2076,112,1412,1538,-388,388,-288,-662,420,-1162,-712,-1062,212,-1812,1188,-1912,-2148,660,-1012,-338,1538,-1662,1188,3396,-1512,812,3252,-288,2076,838,688,112,212,1262,762,588,3108,-1512,2940,-1688,1812,-1088,838,-688,-1512,-538,-50,3684,-138
2023-07-17,-688,-1588,-88,1462,-938,1112,-1912,-838,-412,-1938,-138,-562,888,3180,-2172,3060,462,-2004,-362,-888,-1612,-50,262,612,3396,-912,1438,-2460,-2412,4216,-2028,412,-1956,-462,888,662,-2868,-538,-88,1212,-1476,-512,-2964,-1188,2532,-688,-212,-212,-1762
2023-07-07,1938,79,-825,-1096,-554,-1254,-644,-1277,-1299,3011,2245,-237,-1458,-1164,-68,170,509,-915,-2376,-689,1851,-1480,735,2573,961,1074,-1073,-1232,2201,-1544,418,-305,-1525,57,-554,1955,-1684,780,-1609,-915,-915,-825,2924,2069,-893,215,2573,-712,-169
2023-06-27,688,-738,4329,-262,-25,1888,-438,338,-412,812,262,-562,512,762,-1162,1140,988,362,-1062,-912,1038,-838,1288,-1764,562,1338,1812,-688,-662,-938,1462,-2364,738,962,1112,1838,-588,612,-1562,1162,-738,-238,338,-1188,1062,-288,2052,412,862
2023-06-26,-569,-278,-278,-331,1126,-410,2072,-437,-119,-304,-967,1073,-251,-331,782,1285,-914,-1046,596,2707,-490,-702,-53,-331,994,0,-79,252,835,-755,914,-384,-278,2021,-649,2250,-1126,-914,1259,596,-172,-887,-516,-357,-940,-755,-728,-1470,808
2023-06-25,-1073,119,-1390,-437,-622,729,-1549,252,1470,-1126,-1020,-331,-834,-1311,-596,-357,5081,967,-1443,-1020,-225,-834,-1920,-463,702,-172,1206,-463,570,649,-755,-1073,-53,-1417,-1496,-649,-702,464,-1337,-1285,-675,-53,2148,755,146,1921,-198,-53,-967
