日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-09-11,アイムジャグラーEX-TP,686,6276,-112,25,15,1/156.9,1/251.0,1/418.4,6.240323819113177
2023-09-11,アイムジャグラーEX-TP,687,996,-584,2,1,1/332.0,1/498.0,1/996.0,5.962033697582067
2023-09-11,アイムジャグラーEX-TP,688,3062,261,14,6,1/153.1,1/218.7,1/510.3,6.2590134290383235
2023-09-11,アイムジャグラーEX-TP,689,880,-137,3,1,1/220.0,1/293.3,1/880.0,5.682361176042132
2023-09-11,アイムジャグラーEX-TP,690,2894,-460,7,12,1/152.3,1/413.4,1/241.2,5.8535479124526875
2023-09-11,アイムジャグラーEX-TP,691,1314,-559,4,1,1/262.8,1/328.5,1/1314.0,6.321249051872775
2023-09-11,アイムジャグラーEX-TP,692,813,-907,0,1,1/813.0,1/0.0,1/813.0,6.175030440317648
2023-09-11,アイムジャグラーEX-TP,693,1154,-833,1,4,1/230.8,1/1154.0,1/288.5,6.356238761258294
2023-09-11,アイムジャグラーEX-TP,694,1835,882,9,5,1/131.1,1/203.9,1/367.0,5.2730506307689256
2023-09-11,アイムジャグラーEX-TP,695,3772,1453,20,12,1/117.9,1/188.6,1/314.3,6.258213905751298
2023-09-11,アイムジャグラーEX-TP,696,1042,-609,2,2,1/260.5,1/521.0,1/521.0,6.255865624486683
2023-09-11,アイムジャグラーEX-TP,697,4466,-286,15,11,1/171.8,1/297.7,1/406.0,5.772844091561288
2023-09-11,アイムジャグラーEX-TP,698,660,-659,0,1,1/660.0,1/0.0,1/660.0,5.774018056054342
2023-09-11,アイムジャグラーEX-TP,699,4489,335,15,22,1/121.3,1/299.3,1/204.0,6.170045491612084
2023-09-11,アイムジャグラーEX-TP,700,499,-460,1,0,1/499.0,1/499.0,1/0.0,7.25314839694519
2023-09-11,アイムジャグラーEX-TP,701,3036,211,13,6,1/159.8,1/233.5,1/506.0,5.998178142295081
2023-09-11,アイムジャグラーEX-TP,702,4291,807,18,13,1/138.4,1/238.4,1/330.1,5.822972226593711
2023-09-11,アイムジャグラーEX-TP,703,1585,-435,3,6,1/176.1,1/528.3,1/264.2,5.642735120935206
2023-09-11,アイムジャグラーEX-TP,704,447,-236,1,1,1/223.5,1/447.0,1/447.0,6.5296101019349555
2023-09-11,アイムジャグラーEX-TP,705,3547,733,18,9,1/131.4,1/197.1,1/394.1,6.566692856299044
2023-09-11,アイムジャグラーEX-TP,706,1244,161,6,2,1/155.5,1/207.3,1/622.0,6.1881692947815035
2023-09-11,アイムジャグラーEX-TP,707,5508,1403,26,15,1/134.3,1/211.8,1/367.2,5.980669862604317
2023-09-11,アイムジャグラーEX-TP,708,715,161,3,0,1/238.3,1/238.3,1/0.0,4.707823579743453
2023-09-11,アイムジャグラーEX-TP,709,2200,1155,14,1,1/146.7,1/157.1,1/2200.0,5.669091276879062
2023-09-11,アイムジャグラーEX-TP,710,956,-336,3,0,1/318.7,1/318.7,1/0.0,5.761969542445977
2023-09-11,アイムジャグラーEX-TP,711,6407,1130,28,18,1/139.3,1/228.8,1/355.9,5.974278358552895
2023-09-11,アイムジャグラーEX-TP,712,1072,-236,3,4,1/153.1,1/357.3,1/268.0,6.401867816598193
2023-09-11,アイムジャグラーEX-TP,713,2036,385,8,6,1/145.4,1/254.5,1/339.3,5.519186573825057
2023-09-11,アイムジャグラーEX-TP,714,1539,-75,6,3,1/171.0,1/256.5,1/513.0,6.086508867497651
2023-09-11,アイムジャグラーEX-TP,715,1465,-460,2,6,1/183.1,1/732.5,1/244.2,5.400949534854742
2023-09-11,アイムジャグラーEX-TP,716,1192,-559,2,4,1/198.7,1/596.0,1/298.0,6.069024564173265
2023-09-11,アイムジャグラーEX-TP,717,1965,-634,5,4,1/218.3,1/393.0,1/491.2,5.828917273425312
2023-09-11,アイムジャグラーEX-TP,728,1410,-510,4,1,1/282.0,1/352.5,1/1410.0,5.770762004566269
2023-09-11,アイムジャグラーEX-TP,729,3833,882,18,10,1/136.9,1/212.9,1/383.3,6.014848154036353
2023-09-11,アイムジャグラーEX-TP,730,1790,-808,5,2,1/255.7,1/358.0,1/895.0,6.305751073959239
2023-09-11,アイムジャグラーEX-TP,731,2140,-25,8,7,1/142.7,1/267.5,1/305.7,6.3200139040305885
