日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
2022-08-18,アイムジャグラーEX-TP,604,5240,-1010,13,24,141.6,403.1,218.3,6.269679870026185,5,8,,,,
2022-08-18,アイムジャグラーEX-TP,605,6670,1110,28,19,141.9,238.2,351.1,5.845016538461151,2,8,,,,
2022-08-18,アイムジャグラーEX-TP,606,5830,-3150,11,18,201.0,530.0,323.9,6.558063411748686,3,8,,,,
2022-08-18,アイムジャグラーEX-TP,607,6370,990,28,20,132.7,227.5,318.5,6.248621771807003,3,8,,,,
2022-08-18,アイムジャグラーEX-TP,609,6340,1360,31,13,144.1,204.5,487.7,6.065136504793849,1,8,,,,
2022-08-18,アイムジャグラーEX-TP,610,5100,-580,16,16,159.4,318.8,318.8,6.026203350096419,3,8,,,,
2022-08-18,アイムジャグラーEX-TP,611,6380,-1090,17,24,155.6,375.3,265.8,6.016433255617927,4,8,,,,
2022-08-18,アイムジャグラーEX-TP,612,5950,-20,20,21,145.1,297.5,283.3,5.951298870978592,4,8,,,,
2022-08-18,アイムジャグラーEX-TP,613,4380,440,17,12,151.0,257.6,365.0,5.744458548387129,2,8,,,,
2022-08-18,アイムジャグラーEX-TP,614,5640,-190,23,11,165.9,245.2,512.7,6.229269592737202,1,8,,,,
2022-08-18,アイムジャグラーEX-TP,616,5190,-780,17,11,185.4,305.3,471.8,5.912019580062073,1,8,,,,
2022-08-18,アイムジャグラーEX-TP,617,4660,-1390,10,16,179.2,466.0,291.2,5.865812121058782,4,8,,,,
2022-08-18,アイムジャグラーEX-TP,618,5650,1380,23,28,110.8,245.7,201.8,6.261031258337076,5,8,,,,
2022-08-18,アイムジャグラーEX-TP,619,4910,-410,15,17,153.4,327.3,288.8,5.937076182239944,4,8,,,,
2022-08-18,アイムジャグラーEX-TP,620,5970,1000,25,19,135.7,238.8,314.2,5.967709593058184,4,8,,,,
2022-08-18,アイムジャグラーEX-TP,621,6220,-1070,19,19,163.7,327.4,327.4,6.164022661008582,3,8,,,,
2022-08-18,アイムジャグラーEX-TP,622,6130,-110,20,21,149.5,306.5,291.9,5.863677906355151,4,8,,,,
2022-08-18,アイムジャグラーEX-TP,623,6380,360,27,17,145.0,236.3,375.3,6.310832018906383,2,8,,,,
2022-08-18,アイムジャグラーEX-TP,624,6320,790,25,20,140.4,252.8,316.0,5.890897868375811,3,8,,,,
2022-08-18,アイムジャグラーEX-TP,625,7130,280,26,22,148.5,274.2,324.1,5.893218517236466,3,8,,,,
2022-08-18,アイムジャグラーEX-TP,627,6850,-490,21,26,145.7,326.2,263.5,6.037741170850226,4,8,,,,
2022-08-18,アイムジャグラーEX-TP,628,7640,2080,32,34,115.8,238.8,224.7,6.040800228917864,5,8,,,,
2022-08-18,アイムジャグラーEX-TP,629,6260,1160,29,13,149.0,215.9,481.5,5.917674932284688,1,8,,,,
2022-08-18,アイムジャグラーEX-TP,630,5650,340,20,22,134.5,282.5,256.8,6.023046414235284,4,8,,,,
2022-08-18,アイムジャグラーEX-TP,631,6050,1760,26,27,114.2,232.7,224.1,6.086453290369343,5,8,,,,
2022-08-18,アイムジャグラーEX-TP,632,6510,1820,30,16,141.5,217.0,406.9,5.649899425715062,1,8,,,,
2022-08-18,アイムジャグラーEX-TP,634,5960,-1550,16,21,161.1,372.5,283.8,6.358573509510628,4,8,,,,
2022-08-18,アイムジャグラーEX-TP,635,5780,-800,19,18,156.2,304.2,321.1,6.312249165224159,3,8,,,,
2022-08-18,アイムジャグラーEX-TP,636,6030,1760,31,15,131.1,194.5,402.0,6.193930420693192,1,8,,,,
2022-08-18,アイムジャグラーEX-TP,637,5990,-1780,13,24,161.9,460.8,249.6,6.133848877016688,5,8,,,,
2022-08-18,ファンキージャグラー2,601,9380,-480,34,23,164.6,275.9,407.8,5.810767823585584,1,8,,,,
2022-08-18,ファンキージャグラー2,602,5770,1200,30,10,144.2,192.3,577.0,6.025638465086085,1,8,,,,
2022-08-18,ファンキージャグラー2,603,6100,70,25,12,164.9,244.0,508.3,5.829775338616766,1,8,,,,
2022-08-18,ファンキージャグラー2,638,5840,-780,22,12,171.8,265.5,486.7,6.162687564931142,1,8,,,,
2022-08-18,ファンキージャグラー2,639,6950,730,29,22,136.3,239.7,315.9,5.997379921613382,1,8,,,,
2022-08-18,ファンキージャグラー2,640,5680,-340,19,15,167.1,298.9,378.7,5.645761280713115,2,8,,,,
