日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-08-18,アイムジャグラーEX-TP,604,5240,-1010,13,24,1/141.6,1/403.1,1/218.3,6.269679870026185
2022-08-18,アイムジャグラーEX-TP,605,6670,1110,28,19,1/141.9,1/238.2,1/351.1,5.8450165384611505
2022-08-18,アイムジャグラーEX-TP,606,5830,-3150,11,18,1/201.0,1/530.0,1/323.9,6.558063411748686
2022-08-18,アイムジャグラーEX-TP,607,6370,990,28,20,1/132.7,1/227.5,1/318.5,6.248621771807003
2022-08-18,アイムジャグラーEX-TP,609,6340,1360,31,13,1/144.1,1/204.5,1/487.7,6.065136504793849
2022-08-18,アイムジャグラーEX-TP,610,5100,-580,16,16,1/159.4,1/318.8,1/318.8,6.026203350096419
2022-08-18,アイムジャグラーEX-TP,611,6380,-1090,17,24,1/155.6,1/375.3,1/265.8,6.016433255617927
2022-08-18,アイムジャグラーEX-TP,612,5950,-20,20,21,1/145.1,1/297.5,1/283.3,5.951298870978592
2022-08-18,アイムジャグラーEX-TP,613,4380,440,17,12,1/151.0,1/257.6,1/365.0,5.744458548387129
2022-08-18,アイムジャグラーEX-TP,614,5640,-190,23,11,1/165.9,1/245.2,1/512.7,6.229269592737202
2022-08-18,アイムジャグラーEX-TP,616,5190,-780,17,11,1/185.4,1/305.3,1/471.8,5.912019580062073
2022-08-18,アイムジャグラーEX-TP,617,4660,-1390,10,16,1/179.2,1/466.0,1/291.2,5.865812121058782
2022-08-18,アイムジャグラーEX-TP,618,5650,1380,23,28,1/110.8,1/245.7,1/201.8,6.261031258337076
2022-08-18,アイムジャグラーEX-TP,619,4910,-410,15,17,1/153.4,1/327.3,1/288.8,5.937076182239944
2022-08-18,アイムジャグラーEX-TP,620,5970,1000,25,19,1/135.7,1/238.8,1/314.2,5.967709593058184
2022-08-18,アイムジャグラーEX-TP,621,6220,-1070,19,19,1/163.7,1/327.4,1/327.4,6.164022661008582
2022-08-18,アイムジャグラーEX-TP,622,6130,-110,20,21,1/149.5,1/306.5,1/291.9,5.863677906355151
2022-08-18,アイムジャグラーEX-TP,623,6380,360,27,17,1/145.0,1/236.3,1/375.3,6.310832018906383
2022-08-18,アイムジャグラーEX-TP,624,6320,790,25,20,1/140.4,1/252.8,1/316.0,5.890897868375811
2022-08-18,アイムジャグラーEX-TP,625,7130,280,26,22,1/148.5,1/274.2,1/324.1,5.893218517236466
2022-08-18,アイムジャグラーEX-TP,627,6850,-490,21,26,1/145.7,1/326.2,1/263.5,6.037741170850226
2022-08-18,アイムジャグラーEX-TP,628,7640,2080,32,34,1/115.8,1/238.8,1/224.7,6.040800228917864
2022-08-18,アイムジャグラーEX-TP,629,6260,1160,29,13,1/149.0,1/215.9,1/481.5,5.917674932284688
2022-08-18,アイムジャグラーEX-TP,630,5650,340,20,22,1/134.5,1/282.5,1/256.8,6.023046414235284
2022-08-18,アイムジャグラーEX-TP,631,6050,1760,26,27,1/114.2,1/232.7,1/224.1,6.086453290369343
2022-08-18,アイムジャグラーEX-TP,632,6510,1820,30,16,1/141.5,1/217.0,1/406.9,5.649899425715062
2022-08-18,アイムジャグラーEX-TP,634,5960,-1550,16,21,1/161.1,1/372.5,1/283.8,6.358573509510628
2022-08-18,アイムジャグラーEX-TP,635,5780,-800,19,18,1/156.2,1/304.2,1/321.1,6.312249165224159
2022-08-18,アイムジャグラーEX-TP,636,6030,1760,31,15,1/131.1,1/194.5,1/402.0,6.193930420693192
2022-08-18,アイムジャグラーEX-TP,637,5990,-1780,13,24,1/161.9,1/460.8,1/249.6,6.133848877016688
2022-08-18,ファンキージャグラー2,601,9380,-480,34,23,1/164.6,1/275.9,1/407.8,5.810767823585584
2022-08-18,ファンキージャグラー2,602,5770,1200,30,10,1/144.2,1/192.3,1/577.0,6.025638465086085
2022-08-18,ファンキージャグラー2,603,6100,70,25,12,1/164.9,1/244.0,1/508.3,5.829775338616766
2022-08-18,ファンキージャグラー2,638,5840,-780,22,12,1/171.8,1/265.5,1/486.7,6.162687564931142
2022-08-18,ファンキージャグラー2,639,6950,730,29,22,1/136.3,1/239.7,1/315.9,5.997379921613382
2022-08-18,ファンキージャグラー2,640,5680,-340,19,15,1/167.1,1/298.9,1/378.7,5.645761280713115
