日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-09-12,アイムジャグラーEX-TP,15,995,757,7,2,1/110.6,1/142.1,1/497.5,6.014681262696192
2023-09-12,アイムジャグラーEX-TP,16,2489,-77,9,7,1/155.6,1/276.6,1/355.6,6.055982288599746
2023-09-12,アイムジャグラーEX-TP,17,5485,1281,28,12,1/137.1,1/195.9,1/457.1,6.294798075272242
2023-09-12,アイムジャグラーEX-TP,18,275,-55,1,0,1/275.0,1/275.0,1/0.0,5.654974578318828
2023-09-12,アイムジャグラーEX-TP,19,2258,-596,8,3,1/205.3,1/282.2,1/752.7,6.412048153288956
2023-09-12,マイジャグラーV,25,4101,56,18,6,1/170.9,1/227.8,1/683.5,5.905282710432894
2023-09-12,マイジャグラーV,26,1047,-458,2,2,1/261.8,1/523.5,1/523.5,5.501604631400011
2023-09-12,マイジャグラーV,27,4326,435,16,14,1/144.2,1/270.4,1/309.0,5.563474815577996
2023-09-12,マイジャグラーV,28,5511,-96,21,16,1/148.9,1/262.4,1/344.4,6.038210640044535
2023-09-12,マイジャグラーV,29,1727,-243,6,3,1/191.9,1/287.8,1/575.7,5.742369816754271
2023-09-12,マイジャグラーV,30,667,-708,0,1,1/667.0,1/0.0,1/667.0,6.0320127826218695
2023-09-12,マイジャグラーV,31,3229,-88,13,7,1/161.4,1/248.4,1/461.3,5.998957701999951
2023-09-12,マイジャグラーV,32,524,-502,1,0,1/524.0,1/524.0,1/0.0,7.168903540145482
2023-09-12,マイジャグラーV,33,3513,-224,12,10,1/159.7,1/292.8,1/351.3,5.803911204627564
2023-09-12,ファンキージャグラー2,11,5525,403,24,14,1/145.4,1/230.2,1/394.6,6.055982903494418
2023-09-12,ファンキージャグラー2,12,1231,-617,1,6,1/175.9,1/1231.0,1/205.2,5.844233955224787
2023-09-12,ファンキージャグラー2,13,3106,-229,11,7,1/172.6,1/282.4,1/443.7,5.743021690122654
2023-09-12,ファンキージャグラー2,14,2192,293,12,2,1/156.6,1/182.7,1/1096.0,6.3206222122004725
2023-09-12,ハッピージャグラーVIII,20,4660,352,20,11,1/150.3,1/233.0,1/423.6,6.148266231802172
2023-09-12,ハッピージャグラーVIII,21,781,-505,1,1,1/390.5,1/781.0,1/781.0,5.697016989748378
2023-09-12,ハッピージャグラーVIII,22,1185,-206,5,0,1/237.0,1/237.0,1/0.0,6.17728213270014
2023-09-12,ハッピージャグラーVIII,23,1013,-1106,1,1,1/506.5,1/1013.0,1/1013.0,7.565743500943244
2023-09-12,ハッピージャグラーVIII,24,1267,-88,5,2,1/181.0,1/253.4,1/633.5,6.089003863357612
