日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-09-01,アイムジャグラーEX-TP,284,2220,-280,9,3,1/185.0,1/246.7,1/740.0,6.375027352313302
2022-09-01,アイムジャグラーEX-TP,285,6410,-450,24,13,1/173.2,1/267.1,1/493.1,6.041270169041997
2022-09-01,アイムジャグラーEX-TP,286,1700,-740,3,5,1/212.5,1/566.7,1/340.0,5.8415630648276045
2022-09-01,アイムジャグラーEX-TP,287,3520,-290,11,13,1/146.7,1/320.0,1/270.8,6.111527034478736
2022-09-01,アイムジャグラーEX-TP,288,5450,870,23,18,1/132.9,1/237.0,1/302.8,6.092709234954153
2022-09-01,アイムジャグラーEX-TP,289,950,-780,1,1,1/475.0,1/950.0,1/950.0,5.958896161529994
2022-09-01,アイムジャグラーEX-TP,290,1770,-1030,4,1,1/354.0,1/442.5,1/1770.0,6.0386978179318955
2022-09-01,アイムジャグラーEX-TP,291,5130,-840,18,12,1/171.0,1/285.0,1/427.5,6.3482422979300654
2022-09-01,アイムジャグラーEX-TP,292,1820,-720,4,4,1/227.5,1/455.0,1/455.0,5.834402973878545
2022-09-01,アイムジャグラーEX-TP,293,6330,-690,19,22,1/154.4,1/333.2,1/287.7,5.996436525232706
2022-09-01,アイムジャグラーEX-TP,294,1350,-550,3,4,1/192.9,1/450.0,1/337.5,6.248257141237224
2022-09-01,アイムジャグラーEX-TP,295,3620,-320,12,9,1/172.4,1/301.7,1/402.2,5.838393744983638
2022-09-01,アイムジャグラーEX-TP,296,2980,-160,12,5,1/175.3,1/248.3,1/596.0,6.139355752900819
2022-09-01,アイムジャグラーEX-TP,297,4840,-130,19,13,1/151.2,1/254.7,1/372.3,6.352676445588275
2022-09-01,アイムジャグラーEX-TP,298,1050,-480,4,0,1/262.5,1/262.5,1/0.0,7.181107531955928
2022-09-01,アイムジャグラーEX-TP,299,1360,-170,6,0,1/226.7,1/226.7,1/0.0,6.178254452318186
2022-09-01,アイムジャグラーEX-TP,300,6010,2270,28,24,1/115.6,1/214.6,1/250.4,5.903585509752507
2022-09-01,アイムジャグラーEX-TP,316,7610,2620,28,47,1/101.5,1/271.8,1/161.9,5.882827450757119
2022-09-01,アイムジャグラーEX-TP,317,1200,-300,5,0,1/240.0,1/240.0,1/0.0,6.496433052227262
2022-09-01,アイムジャグラーEX-TP,318,5420,1000,28,9,1/146.5,1/193.6,1/602.2,6.36594393823249
2022-09-01,アイムジャグラーEX-TP,319,1190,-370,4,0,1/297.5,1/297.5,1/0.0,5.827260413901982
2022-09-01,アイムジャグラーEX-TP,320,1440,200,7,3,1/144.0,1/205.7,1/480.0,6.413251202150577
2022-09-01,アイムジャグラーEX-TP,321,6300,920,25,26,1/123.5,1/252.0,1/242.3,6.229400645138483
2022-09-01,アイムジャグラーEX-TP,322,3140,990,15,13,1/112.1,1/209.3,1/241.5,6.405018270620589
2022-09-01,アイムジャグラーEX-TP,323,1900,-690,6,1,1/271.4,1/316.7,1/1900.0,6.053225373527812
2022-09-01,アイムジャグラーEX-TP,324,1490,-370,5,1,1/248.3,1/298.0,1/1490.0,5.826865447509132
2022-09-01,アイムジャグラーEX-TP,325,4520,1340,21,18,1/115.9,1/215.2,1/251.1,6.259026343369492
2022-09-01,アイムジャグラーEX-TP,326,500,-320,1,0,1/500.0,1/500.0,1/0.0,5.772755480509733
2022-09-01,アイムジャグラーEX-TP,327,2960,-1310,8,4,1/246.7,1/370.0,1/740.0,6.2598682805283845
2022-09-01,マイジャグラーV,306,7500,-1190,26,17,1/174.4,1/288.5,1/441.2,6.030620475464169
2022-09-01,マイジャグラーV,307,6100,-1180,20,17,1/164.9,1/305.0,1/358.8,6.214990531691166
2022-09-01,マイジャグラーV,308,4040,-670,14,8,1/183.6,1/288.6,1/505.0,5.93916632480933
2022-09-01,マイジャグラーV,309,6440,2100,34,18,1/123.8,1/189.4,1/357.8,6.0274135942417235
2022-09-01,マイジャグラーV,310,5250,30,19,19,1/138.2,1/276.3,1/276.3,6.034671342100131
2022-09-01,マイジャグラーV,311,5760,1180,27,13,1/144.0,1/213.3,1/443.1,5.718645046481862
2022-09-01,マイジャグラーV,312,5430,-600,19,13,1/169.7,1/285.8,1/417.7,5.90475892985705
2022-09-01,マイジャグラーV,313,2870,-460,12,3,1/191.3,1/239.2,1/956.7,6.297534764737019
2022-09-01,マイジャグラーV,314,7300,1410,27,30,1/128.1,1/270.4,1/243.3,5.527361908469348
2022-09-01,マイジャグラーV,315,8210,90,29,28,1/144.0,1/283.1,1/293.2,5.832829421452324
2022-09-01,ファンキージャグラー2,301,4350,-830,13,11,1/181.2,1/334.6,1/395.5,5.788572393333495
2022-09-01,ファンキージャグラー2,302,1410,-130,6,0,1/235.0,1/235.0,1/0.0,5.640093061535515
2022-09-01,ファンキージャグラー2,303,2400,-370,9,4,1/184.6,1/266.7,1/600.0,6.06705997225584
2022-09-01,ファンキージャグラー2,304,6490,600,26,21,1/138.1,1/249.6,1/309.0,5.906367466836121
2022-09-01,ファンキージャグラー2,305,4110,-830,16,5,1/195.7,1/256.9,1/822.0,6.2524875411389145
