日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
2023-07-10,アイムジャグラーEX-TP,1315,319,-220,0,1,319.0,0.0,319.0,5.194550574486354,0,0,-381.0,1923.0,240.4,961.5
2023-07-10,アイムジャグラーEX-TP,1316,191,-42,1,0,191.0,191.0,0.0,8.056559579101705,0,0,-741.0,1310.0,655.0,655.0
2023-07-10,アイムジャグラーEX-TP,1317,1268,176,6,2,158.5,211.3,634.0,6.024075779452694,0,0,-123.0,2385.0,265.0,795.0
2023-07-10,アイムジャグラーEX-TP,1318,703,-486,1,2,234.3,703.0,351.5,6.619126337466035,0,0,-595.0,1337.0,334.2,1337.0
2023-07-10,アイムジャグラーEX-TP,1319,1667,457,8,3,151.5,208.4,555.7,5.612890428802943,0,0,-782.0,1196.0,398.7,1196.0
2023-07-10,アイムジャグラーEX-TP,1320,2893,-105,10,9,152.3,289.3,321.4,6.027586008891533,0,0,-939.0,2754.0,459.0,306.0
2023-07-10,アイムジャグラーEX-TP,1356,4012,2270,22,16,105.6,182.4,250.8,5.985692404815779,5,0,1749.0,6459.0,215.3,461.4
2023-07-10,アイムジャグラーEX-TP,1357,1074,275,5,3,134.2,214.8,358.0,5.931998747762797,0,0,-83.0,943.0,314.3,471.5
2023-07-10,アイムジャグラーEX-TP,1358,1073,639,7,2,119.2,153.3,536.5,6.11989972946393,0,0,535.0,3257.0,217.1,361.9
2023-07-10,アイムジャグラーEX-TP,1359,1003,-350,2,2,250.8,501.5,501.5,5.374756072884908,0,0,-553.0,1515.0,378.8,757.5
2023-07-10,アイムジャグラーEX-TP,1360,1423,395,7,2,158.1,203.3,711.5,5.570699794596593,0,0,426.0,4992.0,249.6,332.8
2023-07-10,アイムジャグラーEX-TP,1361,1366,-68,5,1,227.7,273.2,1366.0,5.372175763432976,0,0,749.0,5514.0,239.7,459.5
2023-07-10,アイムジャグラーEX-TP,1362,2187,-215,6,6,182.2,364.5,364.5,5.40761766427116,0,0,-293.0,2021.0,336.8,336.8
2023-07-10,アイムジャグラーEX-TP,1363,488,-512,0,1,488.0,0.0,488.0,6.230746769044986,0,0,-1567.0,1884.0,942.0,471.0
2023-07-10,アイムジャグラーEX-TP,1364,2207,400,10,7,129.8,220.7,315.3,6.304020665533772,0,0,-506.0,1794.0,299.0,598.0
2023-07-10,アイムジャグラーEX-TP,1365,6615,1294,26,23,135.0,254.4,287.6,5.693024134850744,4,0,1155.0,5234.0,209.4,373.9
2023-07-10,アイムジャグラーEX-TP,1366,280,-381,0,0,0.0,0.0,0.0,6.851627995751992,0,0,-970.0,1926.0,481.5,321.0
2023-07-10,アイムジャグラーEX-TP,1367,2724,988,14,7,129.7,194.6,389.1,5.904261105673464,0,0,-423.0,473.0,473.0,0.0
2023-07-10,アイムジャグラーEX-TP,1368,546,-371,1,1,273.0,546.0,546.0,6.588605766550494,0,0,-678.0,2670.0,296.7,445.0
2023-07-10,アイムジャグラーEX-TP,1369,578,-335,1,0,578.0,578.0,0.0,5.283853066102007,0,0,-319.0,3106.0,282.4,443.7
2023-07-10,アイムジャグラーEX-TP,1370,4399,389,18,14,137.5,244.4,314.2,6.223077656087066,4,0,-574.0,926.0,926.0,463.0
2023-07-10,アイムジャグラーEX-TP,1371,1808,-83,6,5,164.4,301.3,361.6,5.77531402711018,0,0,-631.0,1845.0,307.5,1845.0
2023-07-10,アイムジャグラーEX-TP,1372,1470,-611,4,3,210.0,367.5,490.0,6.47976582919734,0,0,290.0,4887.0,232.7,444.3
2023-07-10,アイムジャグラーEX-TP,1373,748,-236,2,1,249.3,374.0,748.0,5.658985451338513,0,0,-314.0,652.0,652.0,652.0
2023-07-10,アイムジャグラーEX-TP,1374,4719,1915,22,16,124.2,214.5,294.9,5.5561425540166205,4,0,98.0,3122.0,260.2,446.0
2023-07-10,アイムジャグラーEX-TP,1375,768,-387,2,1,256.0,384.0,768.0,6.420064305972239,0,0,-454.0,2036.0,339.3,290.9
2023-07-10,アイムジャグラーEX-TP,1376,5438,197,20,16,151.1,271.9,339.9,5.881299923454416,2,0,-256.0,1206.0,241.2,0.0
2023-07-10,アイムジャグラーEX-TP,1377,439,-314,1,0,439.0,439.0,0.0,6.447793217068409,0,0,-2158.0,3375.0,675.0,482.1
2023-07-10,アイムジャグラーEX-TP,1378,2338,473,11,5,146.1,212.5,467.6,5.948707990493873,0,0,-319.0,894.0,447.0,447.0
2023-07-10,アイムジャグラーEX-TP,1379,4236,-1043,10,15,169.4,423.6,282.4,5.918563665756019,4,0,540.0,7953.0,248.5,397.6
2023-07-10,アイムジャグラーEX-TP,1380,3307,520,14,8,150.3,236.2,413.4,5.749236822278068,0,0,-387.0,1560.0,260.0,1560.0
2023-07-10,アイムジャグラーEX-TP,1391,530,-434,0,2,265.0,0.0,265.0,5.925846417714031,0,0,-184.0,929.0,232.2,0.0
2023-07-10,アイムジャグラーEX-TP,1392,2942,-251,10,9,154.8,294.2,326.9,6.165182506900258,0,0,-512.0,4685.0,275.6,425.9
2023-07-10,アイムジャグラーEX-TP,1393,1416,-538,3,2,283.2,472.0,708.0,5.3998112125325655,0,0,-324.0,2065.0,295.0,516.2
2023-07-10,アイムジャグラーEX-TP,1394,1039,-559,2,2,259.8,519.5,519.5,6.045422945702444,0,0,-496.0,1517.0,379.2,379.2
2023-07-10,アイムジャグラーEX-TP,1395,868,535,5,1,144.7,173.6,868.0,5.038888258705347,0,0,-730.0,1312.0,437.3,656.0
2023-07-10,アイムジャグラーEX-TP,1396,5150,1040,22,16,135.5,234.1,321.9,5.877864817098538,3,0,-668.0,2213.0,316.1,442.6
2023-07-10,アイムジャグラーEX-TP,1397,262,-184,0,1,262.0,0.0,262.0,5.470159133610307,0,0,-251.0,4723.0,277.8,363.3
2023-07-10,アイムジャグラーEX-TP,1398,2701,-956,8,5,207.8,337.6,540.2,6.380172436620451,0,0,-262.0,2008.0,286.9,401.6
2023-07-10,アイムジャグラーEX-TP,1399,367,-532,0,0,0.0,0.0,0.0,7.416137029196542,0,0,-1359.0,2022.0,505.5,2022.0
2023-07-10,アイムジャグラーEX-TP,1400,3219,619,16,6,146.3,201.2,536.5,6.181228551722596,0,0,-1210.0,3854.0,385.4,428.2
2023-07-10,アイムジャグラーEX-TP,1441,815,-26,3,3,135.8,271.7,271.7,6.552231738367376,0,0,-684.0,590.0,0.0,0.0
2023-07-10,アイムジャグラーEX-TP,1442,2973,191,13,9,135.1,228.7,330.3,6.635799003991792,0,0,1540.0,5819.0,223.8,323.3
2023-07-10,アイムジャグラーEX-TP,1443,2349,-1053,6,3,261.0,391.5,783.0,6.076099302552264,0,0,-314.0,298.0,0.0,0.0
2023-07-10,アイムジャグラーEX-TP,1444,342,-408,0,0,0.0,0.0,0.0,5.99099458918594,0,0,-880.0,1928.0,482.0,321.3
2023-07-10,アイムジャグラーEX-TP,1461,2638,-277,9,7,164.9,293.1,376.9,6.0911335170001735,0,0,280.0,1779.0,254.1,355.8
2023-07-10,アイムジャグラーEX-TP,1462,820,-642,0,3,273.3,0.0,273.3,5.726894860146783,0,0,-163.0,2219.0,246.6,369.8
2023-07-10,アイムジャグラーEX-TP,1463,321,-105,1,0,321.0,321.0,0.0,5.639732813704867,0,0,384.0,2082.0,208.2,520.5
2023-07-10,アイムジャグラーEX-TP,1464,606,-538,0,3,202.0,0.0,202.0,6.84347603863018,0,0,-866.0,1594.0,797.0,318.8
2023-07-10,アイムジャグラーEX-TP,1465,1351,-277,3,5,168.9,450.3,270.2,5.662313851956016,0,0,-512.0,1023.0,511.5,511.5
2023-07-10,マイジャグラーV,1321,4098,-236,13,13,157.6,315.2,315.2,5.666470606737582,3,0,-272.0,5476.0,228.2,608.4
