日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-07-10,アイムジャグラーEX-TP,1315,319,-220,0,1,1/319.0,1/0.0,1/319.0,5.194550574486354
2023-07-10,アイムジャグラーEX-TP,1316,191,-42,1,0,1/191.0,1/191.0,1/0.0,8.056559579101705
2023-07-10,アイムジャグラーEX-TP,1317,1268,176,6,2,1/158.5,1/211.3,1/634.0,6.024075779452694
2023-07-10,アイムジャグラーEX-TP,1318,703,-486,1,2,1/234.3,1/703.0,1/351.5,6.619126337466035
2023-07-10,アイムジャグラーEX-TP,1319,1667,457,8,3,1/151.5,1/208.4,1/555.7,5.612890428802943
2023-07-10,アイムジャグラーEX-TP,1320,2893,-105,10,9,1/152.3,1/289.3,1/321.4,6.027586008891533
2023-07-10,アイムジャグラーEX-TP,1356,4012,2270,22,16,1/105.6,1/182.4,1/250.8,5.985692404815779
2023-07-10,アイムジャグラーEX-TP,1357,1074,275,5,3,1/134.2,1/214.8,1/358.0,5.931998747762797
2023-07-10,アイムジャグラーEX-TP,1358,1073,639,7,2,1/119.2,1/153.3,1/536.5,6.11989972946393
2023-07-10,アイムジャグラーEX-TP,1359,1003,-350,2,2,1/250.8,1/501.5,1/501.5,5.3747560728849075
2023-07-10,アイムジャグラーEX-TP,1360,1423,395,7,2,1/158.1,1/203.3,1/711.5,5.570699794596593
2023-07-10,アイムジャグラーEX-TP,1361,1366,-68,5,1,1/227.7,1/273.2,1/1366.0,5.372175763432976
2023-07-10,アイムジャグラーEX-TP,1362,2187,-215,6,6,1/182.2,1/364.5,1/364.5,5.40761766427116
2023-07-10,アイムジャグラーEX-TP,1363,488,-512,0,1,1/488.0,1/0.0,1/488.0,6.230746769044986
2023-07-10,アイムジャグラーEX-TP,1364,2207,400,10,7,1/129.8,1/220.7,1/315.3,6.304020665533772
2023-07-10,アイムジャグラーEX-TP,1365,6615,1294,26,23,1/135.0,1/254.4,1/287.6,5.693024134850744
2023-07-10,アイムジャグラーEX-TP,1366,280,-381,0,0,1/0.0,1/0.0,1/0.0,6.851627995751992
2023-07-10,アイムジャグラーEX-TP,1367,2724,988,14,7,1/129.7,1/194.6,1/389.1,5.904261105673464
2023-07-10,アイムジャグラーEX-TP,1368,546,-371,1,1,1/273.0,1/546.0,1/546.0,6.588605766550494
2023-07-10,アイムジャグラーEX-TP,1369,578,-335,1,0,1/578.0,1/578.0,1/0.0,5.283853066102007
2023-07-10,アイムジャグラーEX-TP,1370,4399,389,18,14,1/137.5,1/244.4,1/314.2,6.223077656087066
2023-07-10,アイムジャグラーEX-TP,1371,1808,-83,6,5,1/164.4,1/301.3,1/361.6,5.77531402711018
2023-07-10,アイムジャグラーEX-TP,1372,1470,-611,4,3,1/210.0,1/367.5,1/490.0,6.47976582919734
2023-07-10,アイムジャグラーEX-TP,1373,748,-236,2,1,1/249.3,1/374.0,1/748.0,5.658985451338513
2023-07-10,アイムジャグラーEX-TP,1374,4719,1915,22,16,1/124.2,1/214.5,1/294.9,5.5561425540166205
2023-07-10,アイムジャグラーEX-TP,1375,768,-387,2,1,1/256.0,1/384.0,1/768.0,6.420064305972239
2023-07-10,アイムジャグラーEX-TP,1376,5438,197,20,16,1/151.1,1/271.9,1/339.9,5.881299923454416
2023-07-10,アイムジャグラーEX-TP,1377,439,-314,1,0,1/439.0,1/439.0,1/0.0,6.447793217068409
2023-07-10,アイムジャグラーEX-TP,1378,2338,473,11,5,1/146.1,1/212.5,1/467.6,5.948707990493873
2023-07-10,アイムジャグラーEX-TP,1379,4236,-1043,10,15,1/169.4,1/423.6,1/282.4,5.918563665756019
2023-07-10,アイムジャグラーEX-TP,1380,3307,520,14,8,1/150.3,1/236.2,1/413.4,5.749236822278068
2023-07-10,アイムジャグラーEX-TP,1391,530,-434,0,2,1/265.0,1/0.0,1/265.0,5.925846417714031
2023-07-10,アイムジャグラーEX-TP,1392,2942,-251,10,9,1/154.8,1/294.2,1/326.9,6.165182506900258
2023-07-10,アイムジャグラーEX-TP,1393,1416,-538,3,2,1/283.2,1/472.0,1/708.0,5.3998112125325655
2023-07-10,アイムジャグラーEX-TP,1394,1039,-559,2,2,1/259.8,1/519.5,1/519.5,6.045422945702444
2023-07-10,アイムジャグラーEX-TP,1395,868,535,5,1,1/144.7,1/173.6,1/868.0,5.038888258705347
2023-07-10,アイムジャグラーEX-TP,1396,5150,1040,22,16,1/135.5,1/234.1,1/321.9,5.877864817098538
2023-07-10,アイムジャグラーEX-TP,1397,262,-184,0,1,1/262.0,1/0.0,1/262.0,5.470159133610307
2023-07-10,アイムジャグラーEX-TP,1398,2701,-956,8,5,1/207.8,1/337.6,1/540.2,6.380172436620451
2023-07-10,アイムジャグラーEX-TP,1399,367,-532,0,0,1/0.0,1/0.0,1/0.0,7.416137029196542
2023-07-10,アイムジャグラーEX-TP,1400,3219,619,16,6,1/146.3,1/201.2,1/536.5,6.181228551722596
2023-07-10,アイムジャグラーEX-TP,1441,815,-26,3,3,1/135.8,1/271.7,1/271.7,6.552231738367376
2023-07-10,アイムジャグラーEX-TP,1442,2973,191,13,9,1/135.1,1/228.7,1/330.3,6.635799003991792
2023-07-10,アイムジャグラーEX-TP,1443,2349,-1053,6,3,1/261.0,1/391.5,1/783.0,6.076099302552264
2023-07-10,アイムジャグラーEX-TP,1444,342,-408,0,0,1/0.0,1/0.0,1/0.0,5.99099458918594
2023-07-10,アイムジャグラーEX-TP,1461,2638,-277,9,7,1/164.9,1/293.1,1/376.9,6.0911335170001735
2023-07-10,アイムジャグラーEX-TP,1462,820,-642,0,3,1/273.3,1/0.0,1/273.3,5.726894860146783
2023-07-10,アイムジャグラーEX-TP,1463,321,-105,1,0,1/321.0,1/321.0,1/0.0,5.639732813704867
2023-07-10,アイムジャグラーEX-TP,1464,606,-538,0,3,1/202.0,1/0.0,1/202.0,6.84347603863018
2023-07-10,アイムジャグラーEX-TP,1465,1351,-277,3,5,1/168.9,1/450.3,1/270.2,5.662313851956016
2023-07-10,マイジャグラーV,1321,4098,-236,13,13,1/157.6,1/315.2,1/315.2,5.666470606737582
2023-07-10,マイジャグラーV,1322,2498,-621,7,9,1/156.1,1/356.9,1/277.6,6.307555297933921
2023-07-10,マイジャグラーV,1323,5571,87,22,16,1/146.6,1/253.2,1/348.2,6.0250780245779145
2023-07-10,マイジャグラーV,1324,1674,377,9,2,1/152.2,1/186.0,1/837.0,5.901230481466466
2023-07-10,マイジャグラーV,1325,4585,1711,23,16,1/117.6,1/199.3,1/286.6,5.834511694994761
2023-07-10,マイジャグラーV,1326,1998,-355,7,2,1/222.0,1/285.4,1/999.0,5.636606179953293
2023-07-10,マイジャグラーV,1327,1111,-1168,0,1,1/1111.0,1/0.0,1/1111.0,5.740975937359493
2023-07-10,マイジャグラーV,1328,3707,582,13,13,1/142.6,1/285.2,1/285.2,5.282343626958485
2023-07-10,マイジャグラーV,1329,7806,994,34,19,1/147.3,1/229.6,1/410.8,5.780580548051354
2023-07-10,マイジャグラーV,1330,337,-230,1,0,1/337.0,1/337.0,1/0.0,7.029279268650423
2023-07-10,マイジャグラーV,1331,3142,770,15,8,1/136.6,1/209.5,1/392.8,5.7517144060716685
2023-07-10,マイジャグラーV,1332,1460,-42,6,2,1/182.5,1/243.3,1/730.0,5.763421988382559
2023-07-10,マイジャグラーV,1333,2639,1794,16,8,1/110.0,1/164.9,1/329.9,5.4383375964341205
2023-07-10,マイジャグラーV,1334,730,-663,1,1,1/365.0,1/730.0,1/730.0,6.872311164128324
2023-07-10,マイジャグラーV,1335,1286,-611,3,2,1/257.2,1/428.7,1/643.0,5.929643420593192
2023-07-10,マイジャグラーV,1336,1586,-567,3,5,1/198.2,1/528.7,1/317.2,5.633050999738246
2023-07-10,マイジャグラーV,1337,2112,-522,5,4,1/234.7,1/422.4,1/528.0,5.206411666385269
2023-07-10,マイジャグラーV,1338,758,61,4,1,1/151.6,1/189.5,1/758.0,6.542295867260615
