日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-10-01,アイムジャグラーEX-TP,1068,1684,-928,3,6,1/187.1,1/561.3,1/280.7,6.721076253443803
2023-10-01,アイムジャグラーEX-TP,1070,4929,0,19,12,1/159.0,1/259.4,1/410.8,6.024439423711585
2023-10-01,アイムジャグラーEX-TP,1071,1284,-720,3,1,1/321.0,1/428.0,1/1284.0,6.123898485222231
2023-10-01,アイムジャグラーEX-TP,1072,4549,-845,15,12,1/168.5,1/303.3,1/379.1,6.335017476863503
2023-10-01,アイムジャグラーEX-TP,1073,596,-470,1,0,1/596.0,1/596.0,1/0.0,6.069024564173265
2023-10-01,アイムジャグラーEX-TP,1075,3085,363,13,5,1/171.4,1/237.3,1/617.0,5.583246568294145
2023-10-01,アイムジャグラーEX-TP,1076,3374,-1262,8,10,1/187.4,1/421.8,1/337.4,6.268387378016791
2023-10-01,アイムジャグラーEX-TP,1077,4149,-1012,14,5,1/218.4,1/296.4,1/829.8,6.052240860047786
2023-10-01,アイムジャグラーEX-TP,1080,3047,-262,10,9,1/160.4,1/304.7,1/338.6,5.986187211904917
2023-10-01,アイムジャグラーEX-TP,1081,2847,-1137,8,6,1/203.4,1/355.9,1/474.5,6.545529086358636
2023-10-01,アイムジャグラーEX-TP,1082,1402,-637,4,2,1/233.7,1/350.5,1/701.0,6.550618855933015
2023-10-01,アイムジャグラーEX-TP,1083,5572,738,22,18,1/139.3,1/253.3,1/309.6,5.877792879912598
2023-10-01,アイムジャグラーEX-TP,1085,868,-637,2,0,1/434.0,1/434.0,1/0.0,6.581480472186345
2023-10-01,アイムジャグラーEX-TP,1086,1064,-595,1,4,1/212.8,1/1064.0,1/266.0,5.818649219177195
2023-10-01,アイムジャグラーEX-TP,1087,5823,655,24,16,1/145.6,1/242.6,1/363.9,5.954438757487889
2023-10-01,アイムジャグラーEX-TP,1100,2672,197,12,6,1/148.4,1/222.7,1/445.3,6.350241786881988
