日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-09-30,アイムジャグラーEX-TP,1,4160,-362,14,10,1/173.3,1/297.1,1/416.0,5.853166563110642
2023-09-30,アイムジャグラーEX-TP,2,3391,-511,10,8,1/188.4,1/339.1,1/423.9,5.665792052833586
2023-09-30,アイムジャグラーEX-TP,3,2475,834,11,7,1/137.5,1/225.0,1/353.6,5.408222464772806
2023-09-30,アイムジャグラーEX-TP,4,5022,-1370,12,15,1/186.0,1/418.5,1/334.8,5.836588560242258
2023-09-30,アイムジャグラーEX-TP,5,3666,-370,11,7,1/203.7,1/333.3,1/523.7,5.36325489239008
2023-09-30,アイムジャグラーEX-TP,6,3565,-317,11,8,1/187.6,1/324.1,1/445.6,5.515682679449023
2023-09-30,アイムジャグラーEX-TP,7,1646,480,8,3,1/149.6,1/205.8,1/548.7,5.613281911669655
2023-09-30,アイムジャグラーEX-TP,8,6594,3392,36,21,1/115.7,1/183.2,1/314.0,5.849314889014129
2023-09-30,アイムジャグラーEX-TP,9,1181,-149,4,2,1/196.8,1/295.2,1/590.5,5.755900870617778
2023-09-30,アイムジャグラーEX-TP,10,7315,1353,31,17,1/152.4,1/236.0,1/430.3,5.605546111229974
2023-09-30,アイムジャグラーEX-TP,11,1863,-303,7,2,1/207.0,1/266.1,1/931.5,6.0634411698282005
2023-09-30,アイムジャグラーEX-TP,12,4632,435,18,10,1/165.4,1/257.3,1/463.2,5.554640974485491
2023-09-30,アイムジャグラーEX-TP,13,4109,137,15,12,1/152.2,1/273.9,1/342.4,5.855239693549096
2023-09-30,アイムジャグラーEX-TP,14,3227,-1205,8,6,1/230.5,1/403.4,1/537.8,5.904324186516046
2023-09-30,アイムジャグラーEX-TP,15,1820,-398,5,4,1/202.2,1/364.0,1/455.0,5.673554580140595
2023-09-30,アイムジャグラーEX-TP,16,2260,-532,7,4,1/205.5,1/322.9,1/565.0,5.942963590275786
2023-09-30,アイムジャグラーEX-TP,17,4932,783,18,16,1/145.1,1/274.0,1/308.2,5.475304743672143
2023-09-30,アイムジャグラーEX-TP,18,2560,-1217,6,4,1/256.0,1/426.7,1/640.0,6.082567527785572
2023-09-30,アイムジャグラーEX-TP,19,2754,-584,8,7,1/183.6,1/344.2,1/393.4,5.9509865596946945
2023-09-30,アイムジャグラーEX-TP,20,2247,138,10,3,1/172.8,1/224.7,1/749.0,5.950574007940401
2023-09-30,アイムジャグラーEX-TP,21,3597,-208,12,7,1/189.3,1/299.8,1/513.9,5.528937053166932
2023-09-30,アイムジャグラーEX-TP,22,5271,-898,15,15,1/175.7,1/351.4,1/351.4,5.831337023246158
2023-09-30,アイムジャグラーEX-TP,23,3592,-1804,8,7,1/239.5,1/449.0,1/513.1,6.245632121870226
2023-09-30,アイムジャグラーEX-TP,24,7583,401,29,16,1/168.5,1/261.5,1/473.9,5.636346450213322
2023-09-30,アイムジャグラーEX-TP,25,1947,-392,6,3,1/216.3,1/324.5,1/649.0,5.690093652161331
2023-09-30,アイムジャグラーEX-TP,26,2752,-159,9,6,1/183.5,1/305.8,1/458.7,5.550923846589328
2023-09-30,アイムジャグラーEX-TP,27,5447,-81,17,18,1/155.6,1/320.4,1/302.6,5.655541709786236
