日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-09-08,アイムジャグラーEX-TP,106,5295,1188,2,23,1/211.8,1/2647.5,1/230.2,3.5649950610174654
2023-09-08,アイムジャグラーEX-TP,107,1343,-112,5,2,1/191.9,1/268.6,1/671.5,5.849354852745431
2023-09-08,アイムジャグラーEX-TP,108,3987,-938,10,14,1/166.1,1/398.7,1/284.8,6.022190298555031
2023-09-08,アイムジャグラーEX-TP,109,5390,-188,15,22,1/145.7,1/359.3,1/245.0,5.692112574779601
2023-09-08,アイムジャグラーEX-TP,110,4170,1288,15,23,1/109.7,1/278.0,1/181.3,5.681591357877172
2023-09-08,アイムジャグラーEX-TP,111,1709,-1038,3,3,1/284.8,1/569.7,1/569.7,6.094324162272916
2023-09-08,アイムジャグラーEX-TP,112,5471,-562,17,17,1/160.9,1/321.8,1/321.8,5.930672551709209
2023-09-08,アイムジャグラーEX-TP,113,1700,-538,4,6,1/170.0,1/425.0,1/283.3,6.228121433713554
2023-09-08,アイムジャグラーEX-TP,114,2788,-25,10,9,1/146.7,1/278.8,1/309.8,6.103651251028486
2023-09-08,アイムジャグラーEX-TP,115,2532,-762,7,6,1/194.8,1/361.7,1/422.0,6.120642948885162
2023-09-08,アイムジャグラーEX-TP,116,4459,262,16,13,1/153.8,1/278.7,1/343.0,5.682490782901822
2023-09-08,アイムジャグラーEX-TP,117,3604,-388,13,10,1/156.7,1/277.2,1/360.4,6.399552130788946
2023-09-08,アイムジャグラーEX-TP,118,2253,-912,5,4,1/250.3,1/450.6,1/563.2,5.727259367596173
2023-09-08,アイムジャグラーEX-TP,119,5695,1112,23,22,1/126.6,1/247.6,1/258.9,5.966058626294835
2023-09-08,アイムジャグラーEX-TP,120,2605,-888,7,5,1/217.1,1/372.1,1/521.0,6.017428135045408
2023-09-08,アイムジャグラーEX-TP,121,4392,-962,14,10,1/183.0,1/313.7,1/439.2,6.19422377913993
2023-09-08,アイムジャグラーEX-TP,122,5386,-788,17,15,1/168.3,1/316.8,1/359.1,6.043594853200116
2023-09-08,アイムジャグラーEX-TP,123,3834,-138,14,8,1/174.3,1/273.9,1/479.2,5.8134081573852425
2023-09-08,アイムジャグラーEX-TP,124,1361,-538,4,2,1/226.8,1/340.2,1/680.5,6.376411419370441
2023-09-08,アイムジャグラーEX-TP,125,3067,-1762,6,6,1/255.6,1/511.2,1/511.2,6.269808055151742
