日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-09-14,アイムジャグラーEX-TP,288,2139,-1571,5,0,1/427.8,1/427.8,1/0.0,6.6304341390669554
2023-09-14,アイムジャグラーEX-TP,289,1125,-285,3,3,1/187.5,1/375.0,1/375.0,5.921598041924915
2023-09-14,アイムジャグラーEX-TP,290,2948,-95,11,8,1/155.2,1/268.0,1/368.5,6.153304488361812
2023-09-14,アイムジャグラーEX-TP,291,774,-48,3,2,1/154.8,1/258.0,1/387.0,6.418777461731771
2023-09-14,アイムジャグラーEX-TP,292,577,-190,2,0,1/288.5,1/288.5,1/0.0,6.023431042362571
2023-09-14,アイムジャグラーEX-TP,293,619,-95,3,0,1/206.3,1/206.3,1/0.0,6.913496742782516
2023-09-14,アイムジャグラーEX-TP,294,1630,191,7,2,1/181.1,1/232.9,1/815.0,5.5186152541635485
2023-09-14,アイムジャグラーEX-TP,295,1401,191,6,4,1/140.1,1/233.5,1/350.2,6.075862674921743
2023-09-14,アイムジャグラーEX-TP,296,563,-142,2,0,1/281.5,1/281.5,1/0.0,5.782185978517382
2023-09-14,アイムジャグラーEX-TP,297,313,96,2,0,1/156.5,1/156.5,1/0.0,6.50619169111512
2023-09-14,アイムジャグラーEX-TP,298,1147,-904,1,2,1/382.3,1/1147.0,1/573.5,5.903876551228122
2023-09-14,アイムジャグラーEX-TP,299,1241,-142,5,1,1/206.8,1/248.2,1/1241.0,6.038396416004932
2023-09-14,アイムジャグラーEX-TP,300,756,-666,0,3,1/252.0,1/0.0,1/252.0,6.302232565886465
2023-09-14,アイムジャグラーEX-TP,301,322,-190,1,0,1/322.0,1/322.0,1/0.0,6.908591820870941
2023-09-14,アイムジャグラーEX-TP,302,366,-476,0,0,1/0.0,1/0.0,1/0.0,6.515859530886598
2023-09-14,アイムジャグラーEX-TP,303,316,96,2,0,1/158.0,1/158.0,1/0.0,6.441599359427791
2023-09-14,アイムジャグラーEX-TP,304,2608,96,10,7,1/153.4,1/260.8,1/372.6,5.9431291308649925
2023-09-14,アイムジャグラーEX-TP,305,1317,143,5,3,1/164.6,1/263.4,1/439.0,5.456812704288648
2023-09-14,アイムジャグラーEX-TP,306,1575,143,7,2,1/175.0,1/225.0,1/787.5,5.790829715596726
2023-09-14,アイムジャグラーEX-TP,307,979,-142,4,1,1/195.8,1/244.8,1/979.0,6.3521143749126905
