日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,合成回数,機種台数,前日のG数,前日の差枚,前日のBB回数,前日のRB回数,前日の合成回数,前日の合成確率,前日のBB確率,前日のRB確率,前日のG数ランキング,前日の差枚ランキング,前日の合成回数ランキング,前日の合成確率ランキング,2日前のG数,2日前の差枚,2日前のBB回数,2日前のRB回数,2日前の合成回数,2日前の合成確率,2日前のBB確率,2日前のRB確率,3日前のG数,3日前の差枚,3日前のBB回数,3日前のRB回数,3日前の合成回数,3日前の合成確率,3日前のBB確率,3日前のRB確率,G数過去2日間合計,差枚過去2日間合計,合成回数過去2日間合計,合成確率過去2日間平均,G数過去3日間合計,差枚過去3日間合計,合成回数過去3日間合計,合成確率過去3日間平均,過去2日間合計G数ランキング,過去2日間合計差枚ランキング,過去2日間合計合成回数ランキング,過去2日間平均合成確率ランキング,過去3日間合計G数ランキング,過去3日間合計差枚ランキング,過去3日間合計合成回数ランキング,過去3日間平均合成確率ランキング
2023-09-18,アイムジャグラーEX-TP,15,1927,-456,5,6,175.2,385.4,321.2,5.955980820072724,0,8,11,4,992.0,-150.0,4.0,2.0,6.0,165.3,248.0,496.0,4.0,1.0,4.0,3.0,948.0,131.0,5.0,1.0,6.0,158.0,189.6,948.0,5585.0,2722.0,31.0,16.0,47.0,118.8,180.2,349.1,1940.0,-19.0,12.0,161.65,7525.0,2703.0,59.0,147.36666666666667,4.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0
2023-09-18,アイムジャグラーEX-TP,16,751,-42,3,1,187.8,250.3,751.0,5.961687702189329,0,8,4,4,2461.0,-327.0,6.0,10.0,16.0,153.8,410.2,246.1,1.0,3.0,1.0,4.0,1205.0,-539.0,3.0,2.0,5.0,241.0,401.7,602.5,808.0,-506.0,1.0,1.0,2.0,404.0,808.0,808.0,3666.0,-866.0,21.0,197.4,4474.0,-1372.0,23.0,266.26666666666665,2.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0
2023-09-18,アイムジャグラーEX-TP,17,3929,-808,10,15,157.2,392.9,261.9,6.062664309351358,0,8,25,4,1356.0,-233.0,5.0,2.0,7.0,193.7,271.2,678.0,3.0,2.0,2.5,2.0,1475.0,-562.0,3.0,3.0,6.0,245.8,491.7,491.7,463.0,-281.0,1.0,1.0,2.0,231.5,463.0,463.0,2831.0,-795.0,13.0,219.75,3294.0,-1076.0,15.0,223.66666666666666,3.0,2.0,3.0,1.0,4.0,2.0,4.0,3.0
2023-09-18,アイムジャグラーEX-TP,18,514,-668,0,0,0.0,0.0,0.0,6.510898281021517,0,8,0,4,1408.0,-750.0,3.0,4.0,7.0,201.1,469.3,352.0,2.0,4.0,2.5,1.0,2885.0,-1591.0,5.0,8.0,13.0,221.9,577.0,360.6,710.0,-825.0,0.0,2.0,2.0,355.0,0.0,355.0,4293.0,-2341.0,20.0,211.5,5003.0,-3166.0,22.0,259.3333333333333,1.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0
2023-09-18,マイジャグラーV,1,1504,-1161,2,2,376.0,752.0,752.0,6.089324232384808,0,8,4,14,7285.0,543.0,29.0,22.0,51.0,142.8,251.2,331.1,2.0,4.0,2.0,11.0,5089.0,-404.0,17.0,15.0,32.0,159.0,299.4,339.3,3602.0,310.0,14.0,15.0,29.0,124.2,257.3,240.1,12374.0,139.0,83.0,150.9,15976.0,449.0,112.0,142.0,3.0,6.0,3.0,9.0,1.0,6.0,1.0,13.0
2023-09-18,マイジャグラーV,2,5365,-1699,11,17,191.6,487.7,315.6,5.627897783031152,3,8,28,14,3762.0,-1620.0,9.0,10.0,19.0,198.0,418.0,376.2,9.0,14.0,10.0,2.0,2042.0,-1119.0,3.0,5.0,8.0,255.2,680.7,408.4,746.0,-475.0,1.0,1.0,2.0,373.0,746.0,746.0,5804.0,-2739.0,27.0,226.6,6550.0,-3214.0,29.0,275.40000000000003,10.0,14.0,12.0,4.0,14.0,14.0,14.0,2.0
2023-09-18,マイジャグラーV,3,2682,-595,8,5,206.3,335.2,536.4,5.6438926881144855,0,8,13,14,705.0,-347.0,2.0,0.0,2.0,352.5,352.5,0.0,14.0,9.0,14.0,1.0,2469.0,-505.0,6.0,9.0,15.0,164.6,411.5,274.3,9503.0,3075.0,40.0,42.0,82.0,115.9,237.6,226.3,3174.0,-852.0,17.0,258.55,12677.0,2223.0,99.0,211.0,13.0,12.0,13.0,2.0,4.0,3.0,4.0,6.0
2023-09-18,マイジャグラーV,5,5520,-590,19,12,178.1,290.5,460.0,5.7426903328622485,1,8,31,14,6875.0,1046.0,30.0,19.0,49.0,140.3,229.2,361.8,3.0,3.0,3.0,12.0,457.0,-615.0,0.0,0.0,0.0,0.0,0.0,0.0,1571.0,-505.0,4.0,4.0,8.0,196.4,392.8,392.8,7332.0,431.0,49.0,70.15,8903.0,-74.0,57.0,112.23333333333335,9.0,4.0,8.0,14.0,11.0,8.0,10.5,14.0
2023-09-18,マイジャグラーV,6,4437,1138,23,9,138.7,192.9,493.0,5.910127687279706,1,8,32,14,6851.0,462.0,30.0,15.0,45.0,152.2,228.4,456.7,4.0,5.0,5.0,9.0,6521.0,3364.0,34.0,27.0,61.0,106.9,191.8,241.5,1562.0,-771.0,3.0,2.0,5.0,312.4,520.7,781.0,13372.0,3826.0,106.0,129.55,14934.0,3055.0,111.0,190.5,1.0,1.0,2.0,12.0,2.0,1.0,2.0,8.0
2023-09-18,マイジャグラーV,7,1561,-455,5,3,195.1,312.2,520.3,6.203191282620718,0,8,8,14,4286.0,-135.0,16.0,11.0,27.0,158.7,267.9,389.6,7.0,7.0,6.0,8.0,5427.0,222.0,20.0,18.0,38.0,142.8,271.4,301.5,1624.0,-1490.0,1.0,3.0,4.0,406.0,1624.0,541.3,9713.0,87.0,65.0,150.75,11337.0,-1403.0,69.0,235.83333333333334,5.0,7.0,5.0,10.0,7.0,12.0,7.0,5.0
