日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,合成回数,機種台数,前日の差枚,前日のG数,前日のBB確率,前日のRB確率,翌日,前日のG数ランキング,前日の差枚ランキング,前日の合成回数ランキング,前日の合成確率ランキング
2023-09-12,アイムジャグラーEX-TP,402,2655,342,12,8,132.8,221.2,331.9,6.480174327672762,0,2,20,15,-568.0,1062.0,1062.0,265.5,2023-09-12,12.0,10.0,10.0,7.0
2023-09-12,アイムジャグラーEX-TP,403,1276,-653,3,2,255.2,425.3,638.0,6.266858450870899,0,2,5,15,-418.0,1212.0,404.0,1212.0,2023-09-12,10.0,8.0,11.5,4.0
2023-09-12,アイムジャグラーEX-TP,404,1806,-2053,0,3,602.0,0.0,602.0,6.486498368013533,0,2,3,15,-888.0,2919.0,364.9,324.3,2023-09-12,4.0,14.0,5.5,10.0
2023-09-12,アイムジャグラーEX-TP,405,2841,-38,10,8,157.8,284.1,355.1,5.872174602466594,0,2,18,15,-543.0,543.0,0.0,543.0,2023-09-12,15.0,9.0,15.0,1.0
2023-09-12,アイムジャグラーEX-TP,406,2141,-635,6,4,214.1,356.8,535.2,5.927396070266526,0,2,10,15,1626.0,4732.0,189.3,394.3,2023-09-12,2.0,1.0,2.0,14.0
2023-09-12,アイムジャグラーEX-TP,427,1015,-396,3,0,338.3,338.3,0.0,5.732460154460151,0,2,3,15,1156.0,7365.0,245.5,294.6,2023-09-12,1.0,2.0,1.0,12.0
2023-09-12,アイムジャグラーEX-TP,428,4225,-260,15,12,156.5,281.7,352.1,6.13385375513438,2,2,27,15,40.0,2822.0,235.2,564.4,2023-09-12,5.0,5.0,5.5,11.0
2023-09-12,アイムジャグラーEX-TP,429,864,-67,3,1,216.0,288.0,864.0,5.44909085955372,0,2,4,15,-570.0,629.0,0.0,209.7,2023-09-12,14.0,11.0,13.0,8.0
2023-09-12,アイムジャグラーEX-TP,430,2241,-961,6,3,249.0,373.5,747.0,6.157195763025059,0,2,9,15,-1330.0,4003.0,400.3,500.4,2023-09-12,3.0,15.0,4.0,5.0
2023-09-12,アイムジャグラーEX-TP,431,1472,-192,4,4,184.0,368.0,368.0,5.493339176972399,0,2,8,15,-49.0,1564.0,260.7,782.0,2023-09-12,7.0,6.0,8.0,9.0
2023-09-12,アイムジャグラーEX-TP,432,2071,-719,6,3,230.1,345.2,690.3,6.082453695302081,0,2,9,15,-751.0,773.0,773.0,773.0,2023-09-12,13.0,12.0,14.0,2.0
2023-09-12,アイムジャグラーEX-TP,433,1449,-423,5,1,241.5,289.8,1449.0,6.136464293781894,0,2,6,15,-787.0,1359.0,339.8,0.0,2023-09-12,9.0,13.0,11.5,3.0
2023-09-12,アイムジャグラーEX-TP,434,1602,181,6,5,145.6,267.0,320.4,5.702034932402945,0,2,11,15,-305.0,1507.0,251.2,1507.0,2023-09-12,8.0,7.0,9.0,6.0
2023-09-12,アイムジャグラーEX-TP,435,3747,-1179,8,13,178.4,468.4,288.2,5.940117245263731,0,2,21,15,673.0,1186.0,169.4,296.5,2023-09-12,11.0,3.0,7.0,15.0
2023-09-12,アイムジャグラーEX-TP,436,681,-635,0,2,340.5,0.0,340.5,6.078417476423148,0,2,2,15,108.0,2630.0,263.0,263.0,2023-09-12,6.0,4.0,3.0,13.0
2023-09-12,マイジャグラーV,442,2252,-765,6,4,225.2,375.3,563.0,5.779446443233832,0,2,10,10,-565.0,3511.0,270.1,351.1,2023-09-12,6.0,9.0,6.0,5.0
2023-09-12,マイジャグラーV,443,5820,-1057,17,18,166.3,342.4,323.3,5.901937632997998,1,2,35,10,-248.0,2924.0,292.4,365.5,2023-09-12,8.0,7.0,8.0,4.0
2023-09-12,マイジャグラーV,444,4802,-1067,15,9,200.1,320.1,533.6,5.786757858434795,1,2,24,10,380.0,3381.0,241.5,281.8,2023-09-12,7.0,2.0,4.5,10.0
2023-09-12,マイジャグラーV,445,2104,-933,5,3,263.0,420.8,701.3,5.785713187733,0,2,8,10,-707.0,1958.0,391.6,652.7,2023-09-12,10.0,10.0,10.0,1.0
2023-09-12,マイジャグラーV,446,5212,-689,16,16,162.9,325.8,325.8,5.8331402150200455,3,2,32,10,-141.0,5154.0,286.3,322.1,2023-09-12,3.0,5.0,2.5,7.0
2023-09-12,マイジャグラーV,491,1740,-1338,1,5,290.0,1740.0,348.0,5.924356690194705,0,2,6,10,1364.0,3683.0,175.4,736.6,2023-09-12,5.0,1.0,4.5,8.0
2023-09-12,マイジャグラーV,492,6960,-624,25,18,161.9,278.4,386.7,5.991774997485132,1,2,43,10,-558.0,2007.0,334.5,669.0,2023-09-12,9.0,8.0,9.0,2.0
2023-09-12,マイジャグラーV,493,1131,-444,3,2,226.2,377.0,565.5,5.9929283842474925,0,2,5,10,323.0,5185.0,235.7,432.1,2023-09-12,2.0,3.0,2.5,6.0
2023-09-12,マイジャグラーV,494,5311,1559,25,19,120.7,212.4,279.5,5.894852063624784,4,2,44,10,-140.0,6225.0,270.7,283.0,2023-09-12,1.0,4.0,1.0,9.0
2023-09-12,マイジャグラーV,495,2896,-473,10,6,181.0,289.6,482.7,5.953618597459852,0,2,16,10,-196.0,3814.0,272.4,476.8,2023-09-12,4.0,6.0,7.0,3.0
2023-09-12,ファンキージャグラー2,397,5552,734,24,17,135.4,231.3,326.6,5.992369981788137,1,2,41,18,-797.0,1060.0,530.0,1060.0,2023-09-12,15.0,17.0,16.5,2.0
2023-09-12,ファンキージャグラー2,398,1137,638,7,1,142.1,162.4,1137.0,5.218193758028293,0,2,8,18,-1420.0,2378.0,792.7,475.6,2023-09-12,6.0,18.0,12.0,3.0
2023-09-12,ファンキージャグラー2,399,1950,581,9,8,114.7,216.7,243.8,6.007590359357881,0,2,17,18,216.0,1220.0,244.0,244.0,2023-09-12,14.0,4.0,11.0,17.0
2023-09-12,ファンキージャグラー2,400,2279,-949,5,8,175.3,455.8,284.9,6.384519599042924,0,2,13,18,187.0,3424.0,311.3,190.2,2023-09-12,2.0,5.0,2.0,18.0
2023-09-12,ファンキージャグラー2,401,2624,-75,8,9,154.4,328.0,291.6,5.540162110970671,0,2,17,18,597.0,4381.0,230.6,337.0,2023-09-12,1.0,3.0,1.0,16.0
2023-09-12,ファンキージャグラー2,447,3134,-197,10,11,149.2,313.4,284.9,5.847429754694817,0,2,21,18,644.0,1751.0,175.1,875.5,2023-09-12,12.0,2.0,8.0,12.0
2023-09-12,ファンキージャグラー2,448,2485,368,10,9,130.8,248.5,276.1,5.843502021343186,0,2,19,18,-62.0,1761.0,251.6,440.2,2023-09-12,11.0,9.0,9.5,10.0
2023-09-12,ファンキージャグラー2,449,5888,1759,32,12,133.8,184.0,490.7,6.001285057778676,1,2,44,18,-762.0,2957.0,295.7,492.8,2023-09-12,5.0,16.0,5.5,8.0
2023-09-12,ファンキージャグラー2,450,984,-358,3,3,164.0,328.0,328.0,6.986522543605415,0,2,6,18,-216.0,2023.0,289.0,505.8,2023-09-12,9.0,11.0,9.5,9.0
2023-09-12,ファンキージャグラー2,451,853,-413,2,1,284.3,426.5,853.0,5.831326820830518,0,2,3,18,-611.0,1311.0,327.8,655.5,2023-09-12,13.0,14.0,14.0,5.0
2023-09-12,ファンキージャグラー2,452,4072,1787,24,10,119.8,169.7,407.2,6.044495323235029,1,2,34,18,-12.0,594.0,198.0,0.0,2023-09-12,17.0,8.0,16.5,7.0
2023-09-12,ファンキージャグラー2,453,2622,587,12,9,124.9,218.5,291.3,6.012035420794041,0,2,21,18,-123.0,2176.0,272.0,310.9,2023-09-12,8.0,10.0,7.0,13.0
2023-09-12,ファンキージャグラー2,454,2944,-785,8,8,184.0,368.0,368.0,5.912399289387444,0,2,16,18,-660.0,1844.0,307.3,1844.0,2023-09-12,10.0,15.0,13.0,4.0
2023-09-12,ファンキージャグラー2,455,1843,-725,5,4,204.8,368.6,460.8,6.252374483815472,0,2,9,18,-457.0,809.0,809.0,269.7,2023-09-12,16.0,12.0,15.0,6.0
2023-09-12,ファンキージャグラー2,456,2347,426,11,6,138.1,213.4,391.2,5.946271560103596,0,2,17,18,766.0,3358.0,209.9,419.8,2023-09-12,4.0,1.0,3.0,14.0
