日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,前日のG数ランキング,前日の差枚ランキング,前日の合成回数ランキング,前日の合成確率ランキング,過去2日間合計G数ランキング,過去2日間合計差枚ランキング,過去2日間合計合成回数ランキング,過去2日間平均合成確率ランキング,過去3日間合計G数ランキング,過去3日間合計差枚ランキング,過去3日間合計合成回数ランキング,過去3日間平均合成確率ランキング,過去6日間合計G数ランキング,過去6日間合計差枚ランキング,過去6日間合計合成回数ランキング,過去6日間平均合成確率ランキング,day_end,合成回数,機種台数,前日のG数
2023/10/3,アイムジャグラーEX-TP,512,1776,,4,4,222,444,444,,0,5,,4,9,11,,12,5,13,,13,3,5,,4,7,3,8,14,3232
2023/10/3,アイムジャグラーEX-TP,513,3151,,17,10,116.7,185.4,315.1,,0,7,,7,10,6,,5,11,3,,3,12,6,,3,13,3,27,14,1626
2023/10/3,アイムジャグラーEX-TP,514,1008,,2,1,336,504,1008,,0,1,,1,13,4,,4,10,9,,9,9,13,,13,2,3,3,14,7003
2023/10/3,アイムジャグラーEX-TP,515,4023,,16,11,149,251.4,365.7,,2,14,,13.5,5,9,,9.5,7,8,,7.5,8,7,,9,5,3,27,14,241
2023/10/3,アイムジャグラーEX-TP,516,3560,,10,14,148.3,356,254.3,,0,11,,12,1,8,,7,1,7,,6,2,10,,10,9,3,24,14,796
2023/10/3,アイムジャグラーEX-TP,517,1577,,7,2,175.2,225.3,788.5,,0,8,,9.5,3,13,,11,4,12,,11,7,8,,8,8,3,9,14,1349
2023/10/3,アイムジャグラーEX-TP,518,2293,,9,7,143.3,254.8,327.6,,0,2,,3,12,1,,1,12,1,,2,11,2,,2,10,3,16,14,4795
2023/10/3,アイムジャグラーEX-TP,559,2199,,6,4,219.9,366.5,549.8,,0,6,,5.5,11,2,,2,13,2,,1,14,1,,1,12,3,10,14,2912
2023/10/3,アイムジャグラーEX-TP,560,4389,,11,19,146.3,399,231,,5,3,,2,14,3,,3,14,4,,4,13,9,,7,14,3,30,14,4538
2023/10/3,アイムジャグラーEX-TP,561,1544,,5,3,193,308.8,514.7,,0,13,,13.5,2,10,,9.5,3,10,,7.5,6,11,,11,3,3,8,14,337
2023/10/3,アイムジャグラーEX-TP,562,6585,,33,13,143.2,199.5,506.5,,1,12,,11,4,7,,6,9,5,,5,10,12,,12,1,3,46,14,768
2023/10/3,アイムジャグラーEX-TP,563,526,,0,0,0,0,0,,0,4,,5.5,7,5,,8,8,6,,10,5,3,,6,6,3,0,14,3440
2023/10/3,アイムジャグラーEX-TP,564,4803,,15,15,160.1,320.2,320.2,,3,9,,8,8,14,,14,6,14,,14,4,14,,14,11,3,30,14,1247
2023/10/3,アイムジャグラーEX-TP,565,1817,,7,2,201.9,259.6,908.5,,0,10,,9.5,6,12,,13,2,11,,12,1,4,,5,4,3,9,14,1203
2023/10/3,マイジャグラーV,499,2566,,12,7,135.1,213.8,366.6,,0,1,,1,17,3,,2,10,8,,8,9,4,,3,12,3,19,17,7819
2023/10/3,マイジャグラーV,500,552,,0,1,552,0,552,,0,11,,12.5,2,13,,13,3,9,,11,2,8,,8,6,3,1,17,1283
2023/10/3,マイジャグラーV,501,6094,,29,19,127,210.1,320.7,,3,5,,5.5,8,6,,10.5,9,11,,12,10,12,,12,9,3,48,17,4442
2023/10/3,マイジャグラーV,502,1353,,3,4,193.3,451,338.2,,0,10,,10,12,5,,6.5,12,3,,5,12,6,,9,13,3,7,17,1423
2023/10/3,マイジャグラーV,503,1410,,3,2,282,470,705,,0,12,,11,6,16,,16,6,16,,16,6,16,,17,7,3,5,17,1192
2023/10/3,マイジャグラーV,504,5980,,20,14,175.9,299,427.1,,1,6,,5.5,9,9,,12,7,13,,14,7,13,,13.5,4,3,34,17,4239
2023/10/3,マイジャグラーV,505,2156,,9,3,179.7,239.6,718.7,,0,16,,12.5,7,8,,6.5,11,4,,3,13,2,,2,15,3,12,17,549
2023/10/3,マイジャグラーV,506,655,,1,0,655,655,0,,0,15,,15,5,17,,17,2,17,,17,1,17,,13.5,3,3,1,17,652
2023/10/3,マイジャグラーV,507,3488,,11,9,174.4,317.1,387.6,,0,13,,15,1,10,,8,1,6,,4,3,3,,4,5,3,20,17,931
2023/10/3,マイジャグラーV,571,1048,,3,0,349.3,349.3,0,,0,17,,17,4,11,,9,5,5,,6,5,5,,5,8,3,3,17,338
2023/10/3,マイジャグラーV,572,2840,,14,3,167.1,202.9,946.7,,0,2,,2,14,4,,4,14,12,,9,14,9,,6,16,3,17,17,6021
2023/10/3,マイジャグラーV,573,1190,,1,1,595,1190,1190,,0,14,,15,3,15,,15,4,14,,13,4,15,,16,1,3,2,17,745
