日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,合成回数,機種台数,前日のG数,前日の差枚,前日のBB回数,前日のRB回数,前日の合成回数,前日の合成確率,前日のBB確率,前日のRB確率,前日のG数ランキング,前日の差枚ランキング,前日の合成回数ランキング,前日の合成確率ランキング,2日前のG数,2日前の差枚,2日前のBB回数,2日前のRB回数,2日前の合成回数,2日前の合成確率,2日前のBB確率,2日前のRB確率,3日前のG数,3日前の差枚,3日前のBB回数,3日前のRB回数,3日前の合成回数,3日前の合成確率,3日前のBB確率,3日前のRB確率,G数過去2日間合計,差枚過去2日間合計,合成回数過去2日間合計,合成確率過去2日間平均,G数過去3日間合計,差枚過去3日間合計,合成回数過去3日間合計,合成確率過去3日間平均,過去2日間合計G数ランキング,過去2日間合計差枚ランキング,過去2日間合計合成回数ランキング,過去2日間平均合成確率ランキング,過去3日間合計G数ランキング,過去3日間合計差枚ランキング,過去3日間合計合成回数ランキング,過去3日間平均合成確率ランキング
2023-09-11,アイムジャグラーEX-TP,485,6311,-2459,15,17,197.2,420.7,371.2,6.225993767652976,2,1,32,12,,,,,,,,,,,,,7497.0,1970.0,33.0,30.0,63.0,119.0,227.2,249.9,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,アイムジャグラーEX-TP,486,8388,1636,36,27,133.1,233.0,310.7,5.977127142009652,4,1,63,12,,,,,,,,,,,,,7971.0,182.0,28.0,25.0,53.0,150.4,284.7,318.8,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,アイムジャグラーEX-TP,487,8389,909,33,26,142.2,254.2,322.7,5.912260573092071,3,1,59,12,,,,,,,,,,,,,7334.0,-713.0,25.0,20.0,45.0,163.0,293.4,366.7,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,アイムジャグラーEX-TP,488,6167,2563,34,12,134.1,181.4,513.9,5.825034477460025,1,1,46,12,,,,,,,,,,,,,5095.0,98.0,21.0,9.0,30.0,169.8,242.6,566.1,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,アイムジャグラーEX-TP,489,7405,-2150,20,19,189.9,370.2,389.7,6.083722288306079,2,1,39,12,,,,,,,,,,,,,7033.0,490.0,28.0,24.0,52.0,135.2,251.2,293.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,アイムジャグラーEX-TP,490,8527,350,31,31,137.5,275.1,275.1,6.108448070361527,4,1,62,12,,,,,,,,,,,,,8443.0,4311.0,40.0,43.0,83.0,101.7,211.1,196.3,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,アイムジャグラーEX-TP,551,8580,1301,32,36,126.2,268.1,238.3,5.955755814566918,5,1,68,12,,,,,,,,,,,,,6265.0,-573.0,22.0,14.0,36.0,174.0,284.8,447.5,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,アイムジャグラーEX-TP,552,8019,210,25,34,135.9,320.8,235.9,5.850696656437395,6,1,59,12,,,,,,,,,,,,,6620.0,-1468.0,19.0,20.0,39.0,169.7,348.4,331.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,アイムジャグラーEX-TP,553,8732,1888,32,44,114.9,272.9,198.5,5.9531508571241885,5,1,76,12,,,,,,,,,,,,,6883.0,-965.0,20.0,21.0,41.0,167.9,344.1,327.8,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,アイムジャグラーEX-TP,554,7622,-350,27,25,146.6,282.3,304.9,6.2501953698565815,4,1,52,12,,,,,,,,,,,,,7944.0,1357.0,34.0,20.0,54.0,147.1,233.6,397.2,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,アイムジャグラーEX-TP,555,7496,1525,31,33,117.1,241.8,227.2,6.28247236139597,5,1,64,12,,,,,,,,,,,,,7455.0,1608.0,33.0,25.0,58.0,128.5,225.9,298.2,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,アイムジャグラーEX-TP,556,7847,1049,31,26,137.7,253.1,301.8,5.909176417818097,4,1,57,12,,,,,,,,,,,,,6701.0,-1357.0,22.0,12.0,34.0,197.1,304.6,558.4,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,マイジャグラーV,491,7606,-98,27,22,155.2,281.7,345.7,5.743649515619614,2,1,49,20,,,,,,,,,,,,,7850.0,2537.0,39.0,22.0,61.0,128.7,201.3,356.8,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,マイジャグラーV,492,4894,-434,17,11,174.8,287.9,444.9,5.727817076040614,1,1,28,20,,,,,,,,,,,,,8089.0,2125.0,32.0,40.0,72.0,112.3,252.8,202.2,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,マイジャグラーV,493,2753,-881,6,7,211.8,458.8,393.3,5.529085188528988,0,1,13,20,,,,,,,,,,,,,8711.0,1692.0,36.0,35.0,71.0,122.7,242.0,248.9,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,マイジャグラーV,494,6370,-1357,19,14,193.0,335.3,455.0,5.736654614701297,1,1,33,20,,,,,,,,,,,,,7643.0,434.0,28.0,26.0,54.0,141.5,273.0,294.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,マイジャグラーV,495,3594,-322,14,5,189.2,256.7,718.8,5.812036860135059,0,1,19,20,,,,,,,,,,,,,7703.0,1525.0,32.0,25.0,57.0,135.1,240.7,308.1,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,マイジャグラーV,496,5146,70,21,13,151.4,245.0,395.8,6.027872132233756,1,1,34,20,,,,,,,,,,,,,8767.0,-52.0,35.0,25.0,60.0,146.1,250.5,350.7,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,マイジャグラーV,497,3759,-294,12,9,179.0,313.2,417.7,5.477583386166093,0,1,21,20,,,,,,,,,,,,,7717.0,-545.0,26.0,24.0,50.0,154.3,296.8,321.5,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,マイジャグラーV,498,8701,1469,36,31,129.9,241.7,280.7,5.838915685709385,4,1,67,20,,,,,,,,,,,,,4478.0,-1189.0,14.0,12.0,26.0,172.2,319.9,373.2,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,マイジャグラーV,499,2554,-238,9,5,182.4,283.8,510.8,5.682700572838579,0,1,14,20,,,,,,,,,,,,,6150.0,-1217.0,20.0,14.0,34.0,180.9,307.5,439.3,,,,,,,,,,,,,,,,,,,,,,,,
