日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
2023-09-21,アイムジャグラーEX-TP,441,1086,-622,3,0,362.0,362.0,0.0,6.341580288,0,1,89.0,4911.0,258.5,491.1
2023-09-21,アイムジャグラーEX-TP,442,1640,-52,8,1,182.2,205.0,1640.0,6.59563357,0,1,-658.0,2670.0,333.8,333.8
2023-09-21,アイムジャグラーEX-TP,443,777,-172,2,2,194.2,388.5,388.5,5.653454996,0,1,-20.0,1349.0,224.8,674.5
2023-09-21,アイムジャグラーEX-TP,444,1550,-912,4,3,221.4,387.5,516.7,7.22549247,0,1,-263.0,3015.0,274.1,335.0
2023-09-21,アイムジャグラーEX-TP,445,604,-256,2,0,302.0,302.0,0.0,6.286711952,0,1,424.0,3393.0,212.1,565.5
2023-09-21,アイムジャグラーEX-TP,446,2373,170,10,5,158.2,237.3,474.6,5.968022115,0,1,-980.0,1105.0,1105.0,552.5
2023-09-21,アイムジャグラーEX-TP,447,5432,1309,24,16,135.8,226.3,339.5,5.802772315,2,1,-843.0,1027.0,513.5,1027.0
2023-09-21,アイムジャグラーEX-TP,448,1194,-148,5,2,170.6,238.8,597.0,6.707563328,0,1,207.0,4032.0,252.0,336.0
2023-09-21,アイムジャグラーEX-TP,449,2407,840,10,12,109.4,240.7,200.6,5.888385662,0,1,48.0,2604.0,236.7,520.8
2023-09-21,アイムジャグラーEX-TP,450,4807,942,22,11,145.7,218.5,437.0,5.897811936,1,1,-1115.0,1455.0,727.5,485.0
2023-09-21,アイムジャグラーEX-TP,451,2184,-46,8,5,168.0,273.0,436.8,5.844258381,0,1,-277.0,1612.0,268.7,806.0
2023-09-21,アイムジャグラーEX-TP,452,706,-144,2,1,235.3,353.0,706.0,5.413882498,0,1,-648.0,1257.0,419.0,1257.0
2023-09-21,アイムジャグラーEX-TP,453,1123,-1146,1,2,374.3,1123.0,561.5,7.178279638,0,1,-389.0,2342.0,292.8,468.4
2023-09-21,アイムジャグラーEX-TP,454,1141,-562,2,2,285.2,570.5,570.5,5.600642115,0,1,84.0,1661.0,207.6,1661.0
2023-09-21,アイムジャグラーEX-TP,455,3635,136,15,6,173.1,242.3,605.8,5.83210454,0,1,-1216.0,1481.0,740.5,740.5
2023-09-21,マイジャグラーV,941,6170,1977,29,22,121.0,212.8,280.5,5.768632874,4,1,-312.0,3821.0,254.7,764.2
2023-09-21,マイジャグラーV,942,1142,-679,2,2,285.5,571.0,571.0,5.925290774,0,1,1440.0,7457.0,207.1,339.0
2023-09-21,マイジャグラーV,943,6024,660,27,18,133.9,223.1,334.7,6.23468342,3,1,-848.0,2196.0,439.2,366.0
2023-09-21,マイジャグラーV,944,4257,-625,12,12,177.4,354.8,354.8,5.552488403,2,1,422.0,4222.0,234.6,351.8
2023-09-21,マイジャグラーV,945,2888,128,13,5,160.4,222.2,577.6,6.001552382,0,1,-1115.0,2527.0,421.2,421.2
2023-09-21,マイジャグラーV,946,663,-584,0,1,663.0,0.0,663.0,5.312013757,0,1,146.0,3118.0,239.8,389.8
2023-09-21,マイジャグラーV,947,8107,775,32,25,142.2,253.3,324.3,5.763565469,3,1,-1310.0,5599.0,373.3,311.1
2023-09-21,マイジャグラーV,948,1814,-293,5,7,151.2,362.8,259.1,5.961267976,0,1,-568.0,4569.0,240.5,913.8
2023-09-21,マイジャグラーV,949,4741,349,20,11,152.9,237.1,431.0,5.822989535,1,1,-637.0,978.0,489.0,489.0
2023-09-21,マイジャグラーV,950,6266,-842,20,18,164.9,313.3,348.1,5.887160501,2,1,-284.0,8653.0,279.1,346.1
2023-09-21,マイジャグラーV,951,1321,-546,3,3,220.2,440.3,440.3,5.892947329,0,1,-29.0,1690.0,281.7,422.5
2023-09-21,マイジャグラーV,952,3533,228,15,11,135.9,235.5,321.2,6.236729394,0,1,-615.0,756.0,756.0,756.0
2023-09-21,マイジャグラーV,953,6856,-987,24,19,159.4,285.7,360.8,6.225254364,1,1,780.0,7785.0,268.4,243.3
2023-09-21,マイジャグラーV,954,399,-367,0,1,399.0,0.0,399.0,5.83086683,0,1,-96.0,1411.0,235.2,0.0
2023-09-21,マイジャグラーV,965,1551,189,8,2,155.1,193.9,775.5,6.175125023,0,1,-217.0,4157.0,244.5,831.4
2023-09-21,マイジャグラーV,966,3190,393,15,5,159.5,212.7,638.0,5.799485032,0,1,-1461.0,3212.0,458.9,458.9
2023-09-21,マイジャグラーV,967,3284,-1091,8,10,182.4,410.5,328.4,6.035709954,0,1,534.0,5026.0,218.5,456.9
2023-09-21,マイジャグラーV,968,529,-378,1,0,529.0,529.0,0.0,5.866367937,0,1,-342.0,3970.0,283.6,441.1
2023-09-21,マイジャグラーV,969,3930,239,15,13,140.4,262.0,302.3,5.86897524,0,1,227.0,4380.0,273.8,243.3
2023-09-21,マイジャグラーV,970,497,-399,1,0,497.0,497.0,0.0,6.418872674,0,1,52.0,9365.0,283.8,283.8
2023-09-21,マイジャグラーV,971,1870,-176,6,5,170.0,311.7,374.0,5.657363946,0,1,-196.0,1551.0,221.6,0.0
2023-09-21,マイジャグラーV,972,6385,-87,23,21,145.1,277.6,304.0,5.962111841,1,1,-1485.0,4316.0,392.4,539.5
2023-09-21,マイジャグラーV,973,1626,-234,5,5,162.6,325.2,325.2,5.89092608,0,1,-233.0,2032.0,254.0,508.0
2023-09-21,マイジャグラーV,974,2172,-273,10,1,197.5,217.2,2172.0,6.351896004,0,1,-1397.0,5783.0,361.4,321.3
2023-09-21,マイジャグラーV,975,1386,-103,7,0,198.0,198.0,0.0,6.410862091,0,1,-858.0,1812.0,453.0,453.0
2023-09-21,マイジャグラーV,976,3972,117,15,11,152.8,264.8,361.1,5.744278559,0,1,-787.0,2652.0,442.0,442.0
2023-09-21,マイジャグラーV,977,1888,-1017,3,5,236.0,629.3,377.6,5.884734997,0,1,-1104.0,4165.0,378.6,297.5
2023-09-21,マイジャグラーV,978,2770,-1032,8,6,197.9,346.2,461.7,6.345809808,0,1,-2154.0,2395.0,1197.5,1197.5
2023-09-21,マイジャグラーV,979,3210,-1746,6,9,214.0,535.0,356.7,6.287566096,0,1,-913.0,1539.0,513.0,307.8
2023-09-21,マイジャグラーV,980,5127,-249,20,10,170.9,256.4,512.7,5.869887613,1,1,725.0,8368.0,246.1,334.7
2023-09-21,ファンキージャグラー2,471,3574,-1026,9,9,198.6,397.1,397.1,5.71717218,0,1,-1819.0,6051.0,355.9,432.2
2023-09-21,ファンキージャグラー2,472,2204,-188,8,4,183.7,275.5,551.0,5.70567838,0,1,-1009.0,1911.0,382.2,477.8
2023-09-21,ファンキージャグラー2,473,377,-255,1,0,377.0,377.0,0.0,6.5698056,0,1,828.0,6989.0,211.8,436.8
