日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
2023-09-17,アイムジャグラーEX-TP,861,4029,-353,12,13,161.2,335.8,309.9,5.775980468383704,4,7,-631.0,2634.0,329.2,439.0
2023-09-17,アイムジャグラーEX-TP,862,3726,1967,22,8,124.2,169.4,465.8,5.84697551774372,0,7,-242.0,2081.0,260.1,693.7
2023-09-17,アイムジャグラーEX-TP,863,5461,53,21,14,156.0,260.0,390.1,6.025594000154628,2,7,-331.0,1430.0,357.5,357.5
2023-09-17,アイムジャグラーEX-TP,864,738,-281,2,1,246.0,369.0,738.0,5.980853004167066,0,7,1561.0,3744.0,197.1,288.0
2023-09-17,アイムジャグラーEX-TP,865,3010,-658,7,16,130.9,430.0,188.1,6.56221409539606,0,7,114.0,2855.0,317.2,317.2
2023-09-17,アイムジャグラーEX-TP,866,1564,-708,3,4,223.4,521.3,391.0,5.925526063771163,0,7,153.0,4826.0,268.1,321.7
2023-09-17,マイジャグラーV,837,4630,-758,13,14,171.5,356.2,330.7,5.685687198879428,3,7,-1061.0,4619.0,329.9,355.3
2023-09-17,マイジャグラーV,838,4549,206,21,9,151.6,216.6,505.4,6.235905116481496,1,7,-506.0,4474.0,298.3,344.2
2023-09-17,マイジャグラーV,839,7317,1322,28,29,128.4,261.3,252.3,5.641133471514441,5,7,-542.0,3041.0,304.1,608.2
2023-09-17,マイジャグラーV,840,6659,-1961,18,19,180.0,369.9,350.5,6.07188702776841,1,7,-792.0,2341.0,390.2,585.2
2023-09-17,マイジャグラーV,841,1774,-1450,3,2,354.8,591.3,887.0,6.660064730460583,0,7,817.0,4577.0,218.0,508.6
2023-09-17,マイジャグラーV,842,3032,-1739,7,4,275.6,433.1,758.0,6.255065736779902,0,7,603.0,2530.0,194.6,421.7
2023-09-17,マイジャグラーV,843,1318,-1306,1,1,659.0,1318.0,1318.0,6.221608673630564,0,7,-869.0,2624.0,374.9,437.3
