日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-09-15,アイムジャグラーEX-TP,447,2780,220,12,4,1/173.8,1/231.7,1/695.0,5.772530727305649
2022-09-15,アイムジャグラーEX-TP,448,2140,-400,8,2,1/214.0,1/267.5,1/1070.0,6.092299475806027
2022-09-15,アイムジャグラーEX-TP,449,460,-360,1,0,1/460.0,1/460.0,1/0.0,6.669358574439103
2022-09-15,アイムジャグラーEX-TP,450,780,-580,1,2,1/260.0,1/780.0,1/390.0,6.566073854020184
2022-09-15,アイムジャグラーEX-TP,451,3140,340,13,9,1/142.7,1/241.5,1/348.9,6.045109996937017
2022-09-15,アイムジャグラーEX-TP,452,1820,-880,4,6,1/182.0,1/455.0,1/303.3,6.787744615211336
2022-09-15,アイムジャグラーEX-TP,461,6630,660,26,22,1/138.1,1/255.0,1/301.4,6.030862735381025
2022-09-15,アイムジャグラーEX-TP,462,4840,-600,19,8,1/179.3,1/254.7,1/605.0,6.346168962683937
2022-09-15,アイムジャグラーEX-TP,463,640,-380,1,1,1/320.0,1/640.0,1/640.0,5.742325695741078
2022-09-15,アイムジャグラーEX-TP,464,2300,430,12,4,1/143.8,1/191.7,1/575.0,6.458098174323726
2022-09-15,アイムジャグラーEX-TP,465,2110,50,7,6,1/162.3,1/301.4,1/351.7,5.526263304446167
2022-09-15,アイムジャグラーEX-TP,466,4270,420,17,12,1/147.2,1/251.2,1/355.8,5.887953350862519
2022-09-15,アイムジャグラーEX-TP,467,1190,-390,4,0,1/297.5,1/297.5,1/0.0,5.899482729388248
2022-09-15,アイムジャグラーEX-TP,468,380,-390,0,1,1/380.0,1/0.0,1/380.0,6.393114279441342
2022-09-15,アイムジャグラーEX-TP,469,1170,-610,3,1,1/292.5,1/390.0,1/1170.0,6.243602975156864
2022-09-15,アイムジャグラーEX-TP,470,2920,880,13,14,1/108.1,1/224.6,1/208.6,6.377383178406967
2022-09-15,アイムジャグラーEX-TP,471,3580,900,17,9,1/137.7,1/210.6,1/397.8,5.938353586491871
2022-09-15,アイムジャグラーEX-TP,472,490,-370,1,0,1/490.0,1/490.0,1/0.0,6.3468748441615555
2022-09-15,アイムジャグラーEX-TP,473,3860,-250,15,9,1/160.8,1/257.3,1/428.9,6.32357296944502
2022-09-15,アイムジャグラーEX-TP,474,650,-470,1,1,1/325.0,1/650.0,1/650.0,6.288486748223503
2022-09-15,アイムジャグラーEX-TP,481,570,-490,1,0,1/570.0,1/570.0,1/0.0,6.515287207004961
2022-09-15,アイムジャグラーEX-TP,482,5310,1840,28,12,1/132.8,1/189.6,1/442.5,5.993752951725795
2022-09-15,アイムジャグラーEX-TP,483,3430,-160,14,5,1/180.5,1/245.0,1/686.0,6.072962841877487
