日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-08-21,アイムジャグラーEX-TP,225,2720,-1260,6,5,1/247.3,1/453.3,1/544.0,5.989078079412754
2022-08-21,アイムジャグラーEX-TP,226,2900,-1640,3,9,1/241.7,1/966.7,1/322.2,5.684702856661197
2022-08-21,アイムジャグラーEX-TP,227,5230,2060,26,20,1/113.7,1/201.2,1/261.5,6.111942981999451
2022-08-21,アイムジャグラーEX-TP,228,3790,-350,12,13,1/151.6,1/315.8,1/291.5,6.089474953097787
2022-08-21,アイムジャグラーEX-TP,230,1290,-1040,1,2,1/430.0,1/1290.0,1/645.0,5.798460351454121
2022-08-21,アイムジャグラーEX-TP,231,3290,150,12,13,1/131.6,1/274.2,1/253.1,6.24447973281978
2022-08-21,アイムジャグラーEX-TP,232,5130,100,18,19,1/138.6,1/285.0,1/270.0,6.090799574166438
2022-08-21,アイムジャグラーEX-TP,233,2620,400,12,5,1/154.1,1/218.3,1/524.0,5.93272180256015
2022-08-21,マイジャグラーV,17,1910,-900,5,3,1/238.8,1/382.0,1/636.7,6.23339588350289
2022-08-21,マイジャグラーV,18,4480,260,18,13,1/144.5,1/248.9,1/344.6,5.9219853773226685
2022-08-21,マイジャグラーV,20,1370,-400,4,2,1/228.3,1/342.5,1/685.0,5.710337602349074
2022-08-21,マイジャグラーV,21,3100,320,13,8,1/147.6,1/238.5,1/387.5,5.777662949315219
2022-08-21,マイジャグラーV,22,380,-240,0,1,1/380.0,1/0.0,1/380.0,4.8535055561462785
2022-08-21,マイジャグラーV,23,3980,900,16,18,1/117.1,1/248.8,1/221.1,5.86478999281158
2022-08-21,マイジャグラーV,25,430,510,4,0,1/107.5,1/107.5,1/0.0,5.365544066948265
2022-08-21,マイジャグラーV,26,4760,-460,17,12,1/164.1,1/280.0,1/396.7,5.973265120988109
2022-08-21,マイジャグラーV,27,250,-210,0,0,1/0.0,1/0.0,1/0.0,4.732243734213531
2022-08-21,マイジャグラーV,28,2760,-210,9,6,1/184.0,1/306.7,1/460.0,5.45250776834191
2022-08-21,マイジャグラーV,30,430,-540,0,0,1/0.0,1/0.0,1/0.0,6.275907502610249
2022-08-21,マイジャグラーV,31,1390,-650,3,3,1/231.7,1/463.3,1/463.3,5.965867832314262
2022-08-21,マイジャグラーV,32,2560,-240,9,5,1/182.9,1/284.4,1/512.0,5.6752418240493245
2022-08-21,マイジャグラーV,33,490,210,3,0,1/163.3,1/163.3,1/0.0,5.353657565585378
2022-08-21,マイジャグラーV,35,3520,-480,10,15,1/140.8,1/352.0,1/234.7,6.113478491975061
2022-08-21,マイジャグラーV,36,1530,150,7,3,1/153.0,1/218.6,1/510.0,5.938256973121964
2022-08-21,マイジャグラーV,37,980,-650,1,1,1/490.0,1/980.0,1/980.0,5.242676402352411
2022-08-21,マイジャグラーV,38,1080,-1090,0,2,1/540.0,1/0.0,1/540.0,5.9484779194427375
2022-08-21,マイジャグラーV,50,3130,-590,10,8,1/173.9,1/313.0,1/391.2,5.996084011171394
2022-08-21,マイジャグラーV,51,3650,2580,23,10,1/110.6,1/158.7,1/365.0,5.446557565776741
2022-08-21,マイジャグラーV,207,1120,-460,2,3,1/224.0,1/560.0,1/373.3,5.565412353575616
2022-08-21,マイジャグラーV,208,5180,-80,18,16,1/152.4,1/287.8,1/323.8,5.757438397840493
2022-08-21,マイジャグラーV,210,610,-30,2,2,1/152.5,1/305.0,1/305.0,5.777723631351397
2022-08-21,マイジャグラーV,211,2790,210,11,7,1/155.0,1/253.6,1/398.6,5.619789939201275
2022-08-21,マイジャグラーV,212,340,-100,1,0,1/340.0,1/340.0,1/0.0,5.219425011254384
2022-08-21,マイジャグラーV,213,2740,260,11,7,1/152.2,1/249.1,1/391.4,5.627507957198693
2022-08-21,ファンキージャグラー2,215,3610,-480,14,7,1/171.9,1/257.9,1/515.7,6.234407235884453
2022-08-21,ファンキージャグラー2,216,2780,340,14,4,1/154.4,1/198.6,1/695.0,6.11108882346702
2022-08-21,ファンキージャグラー2,217,1270,-590,3,1,1/317.5,1/423.3,1/1270.0,5.618073830116303
2022-08-21,ファンキージャグラー2,218,1880,-30,9,1,1/188.0,1/208.9,1/1880.0,6.075648284598878
2022-08-21,ファンキージャグラー2,220,5020,570,23,14,1/135.7,1/218.3,1/358.6,6.247837526354175
2022-08-21,ファンキージャグラー2,221,4550,760,22,7,1/156.9,1/206.8,1/650.0,5.745552524057528
2022-08-21,ファンキージャグラー2,222,710,-350,2,1,1/236.7,1/355.0,1/710.0,6.516548936643771
2022-08-21,ファンキージャグラー2,223,5800,-30,22,17,1/148.7,1/263.6,1/341.2,5.984232064392399
