日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-08-01,アイムジャグラーEX-TP,168,153,-112,0,0,1/0.0,1/0.0,1/0.0,4.45361429720802
2023-08-01,アイムジャグラーEX-TP,169,7075,1404,31,24,1/128.6,1/228.2,1/294.8,6.140750781643799
2023-08-01,アイムジャグラーEX-TP,170,134,-162,0,0,1/0.0,1/0.0,1/0.0,6.063524011555084
2023-08-01,アイムジャグラーEX-TP,171,2603,212,12,4,1/162.7,1/216.9,1/650.8,6.129723313285235
2023-08-01,アイムジャグラーEX-TP,172,1737,-438,4,6,1/173.7,1/434.2,1/289.5,5.845552624814664
2023-08-01,アイムジャグラーEX-TP,173,402,-212,1,0,1/402.0,1/402.0,1/0.0,5.814135957928797
2023-08-01,アイムジャグラーEX-TP,174,339,-338,0,0,1/0.0,1/0.0,1/0.0,5.224422061794279
2023-08-01,アイムジャグラーEX-TP,175,599,-162,2,0,1/299.5,1/299.5,1/0.0,5.63788796245976
2023-08-01,アイムジャグラーEX-TP,210,511,-162,1,2,1/170.3,1/511.0,1/255.5,5.939947940017917
2023-08-01,アイムジャグラーEX-TP,211,1242,-188,4,2,1/207.0,1/310.5,1/621.0,5.656145174028475
2023-08-01,アイムジャグラーEX-TP,212,399,-538,0,0,1/0.0,1/0.0,1/0.0,6.779953631234414
2023-08-01,アイムジャグラーEX-TP,213,2245,-138,7,7,1/160.4,1/320.7,1/320.7,5.770135781961347
2023-08-01,アイムジャグラーEX-TP,214,1439,-638,3,4,1/205.6,1/479.7,1/359.8,6.170991528244979
2023-08-01,アイムジャグラーEX-TP,215,1326,562,8,2,1/132.6,1/165.8,1/663.0,6.188842590289192
2023-08-01,アイムジャグラーEX-TP,216,474,-412,1,0,1/474.0,1/474.0,1/0.0,7.085550246043488
2023-08-01,アイムジャグラーEX-TP,217,1347,-75,5,2,1/192.4,1/269.4,1/673.5,5.72005782226825
2023-08-01,アイムジャグラーEX-TP,218,1611,-688,3,4,1/230.1,1/537.0,1/402.8,5.727049258915915
2023-08-01,マイジャグラーV,176,3897,-612,13,9,1/177.1,1/299.8,1/433.0,5.902337209101091
2023-08-01,マイジャグラーV,177,8294,1738,38,23,1/136.0,1/218.3,1/360.6,5.797990053766168
2023-08-01,マイジャグラーV,178,6160,-662,26,8,1/181.2,1/236.9,1/770.0,6.203763831573451
2023-08-01,マイジャグラーV,179,6343,-162,20,24,1/144.2,1/317.1,1/264.3,5.754493822338706
2023-08-01,マイジャグラーV,180,6709,1838,29,27,1/119.8,1/231.3,1/248.5,5.7678797418394945
2023-08-01,ファンキージャグラー2,206,3524,162,15,5,1/176.2,1/234.9,1/704.8,5.6292369532569655
2023-08-01,ファンキージャグラー2,207,4487,0,18,11,1/154.7,1/249.3,1/407.9,5.990627311769912
2023-08-01,ファンキージャグラー2,208,2494,-50,10,5,1/166.3,1/249.4,1/498.8,5.8893194040145715
2023-08-01,ファンキージャグラー2,209,6241,1788,29,22,1/122.4,1/215.2,1/283.7,5.849200995605988
2023-08-01,ハッピージャグラーVIII,181,8885,638,32,33,1/136.7,1/277.7,1/269.2,5.999848653226855
2023-08-01,ハッピージャグラーVIII,182,2703,662,12,5,1/159.0,1/225.2,1/540.6,5.390702668270681
2023-08-01,ハッピージャグラーVIII,203,2443,-788,6,8,1/174.5,1/407.2,1/305.4,6.371160731013107
2023-08-01,ハッピージャグラーVIII,204,8282,212,30,29,1/140.4,1/276.1,1/285.6,6.141898129440873
2023-08-01,ハッピージャグラーVIII,205,5434,-538,19,16,1/155.3,1/286.0,1/339.6,6.34215709963142
