日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-08-15,アイムジャグラーEX-TP,386,8354,2475,34,42,1/109.9,1/245.7,1/198.9,6.0461830534680585
2023-08-15,アイムジャグラーEX-TP,387,5518,-1425,15,16,1/178.0,1/367.9,1/344.9,6.102699856314485
2023-08-15,アイムジャグラーEX-TP,388,6592,1625,27,29,1/117.7,1/244.1,1/227.3,6.0299447495335485
2023-08-15,アイムジャグラーEX-TP,389,7314,775,26,33,1/124.0,1/281.3,1/221.6,6.100476143247287
2023-08-15,アイムジャグラーEX-TP,390,6864,1075,29,22,1/134.6,1/236.7,1/312.0,6.069208017250485
2023-08-15,アイムジャグラーEX-TP,391,8382,2225,35,40,1/111.8,1/239.5,1/209.6,6.201063927087622
2023-08-15,アイムジャグラーEX-TP,392,8035,3740,39,32,1/113.2,1/206.0,1/251.1,5.735035029215668
2023-08-15,アイムジャグラーEX-TP,393,8530,4540,44,36,1/106.6,1/193.9,1/236.9,5.871335027324767
2023-08-15,アイムジャグラーEX-TP,394,8399,-775,26,30,1/150.0,1/323.0,1/280.0,6.069540822724199
2023-08-15,アイムジャグラーEX-TP,395,8633,1825,35,34,1/125.1,1/246.7,1/253.9,5.943680361717254
2023-08-15,アイムジャグラーEX-TP,396,8647,1475,33,36,1/125.3,1/262.0,1/240.2,5.954653335019395
2023-08-15,アイムジャグラーEX-TP,397,8625,2225,35,44,1/109.2,1/246.4,1/196.0,6.246033994718934
2023-08-15,アイムジャグラーEX-TP,398,7683,-525,25,26,1/150.6,1/307.3,1/295.5,6.060144413170375
2023-08-15,アイムジャグラーEX-TP,399,7922,1325,30,37,1/118.2,1/264.1,1/214.1,6.1574328737413095
2023-08-15,アイムジャグラーEX-TP,400,8071,2175,35,27,1/130.2,1/230.6,1/298.9,5.756996376908406
2023-08-15,アイムジャグラーEX-TP,408,8020,-475,27,29,1/143.2,1/297.0,1/276.6,6.255773134777278
2023-08-15,アイムジャグラーEX-TP,409,6467,-975,21,21,1/154.0,1/308.0,1/308.0,6.3878344182445
2023-08-15,アイムジャグラーEX-TP,410,8184,425,31,26,1/143.6,1/264.0,1/314.8,6.033439987261952
2023-08-15,アイムジャグラーEX-TP,411,8260,475,30,27,1/144.9,1/275.3,1/305.9,5.873948409452463
2023-08-15,アイムジャグラーEX-TP,412,8803,2875,39,34,1/120.6,1/225.7,1/258.9,5.8227874877630015
2023-08-15,アイムジャグラーEX-TP,413,7685,675,27,31,1/132.5,1/284.6,1/247.9,5.929418394652984
2023-08-15,アイムジャグラーEX-TP,414,7045,-1225,23,17,1/176.1,1/306.3,1/414.4,6.133410782335915
2023-08-15,マイジャグラーV,415,7933,1125,34,22,1/141.7,1/233.3,1/360.6,5.785393572979989
2023-08-15,マイジャグラーV,416,8336,1075,31,33,1/130.2,1/268.9,1/252.6,5.744262115421272
2023-08-15,マイジャグラーV,417,9011,2325,43,29,1/125.2,1/209.6,1/310.7,5.9687326291886444
2023-08-15,マイジャグラーV,418,7282,2375,34,23,1/127.8,1/214.2,1/316.6,5.560333471340754
2023-08-15,マイジャグラーV,419,8794,275,33,27,1/146.6,1/266.5,1/325.7,5.83278297664283
2023-08-15,マイジャグラーV,420,7651,-100,29,24,1/144.4,1/263.8,1/318.8,6.098336758255954
2023-08-15,マイジャグラーV,421,8758,975,31,32,1/139.0,1/282.5,1/273.7,5.528764777315308
2023-08-15,マイジャグラーV,422,8789,6742,48,52,1/87.9,1/183.1,1/169.0,5.604412801391014
2023-08-15,マイジャグラーV,423,8794,1525,34,40,1/118.8,1/258.6,1/219.8,5.944914147663795
2023-08-15,マイジャグラーV,424,7174,-1075,24,21,1/159.4,1/298.9,1/341.6,6.146878026762015
2023-08-15,マイジャグラーV,425,7071,-1375,21,19,1/176.8,1/336.7,1/372.2,5.841160078760788
2023-08-15,マイジャグラーV,426,8939,1825,38,33,1/125.9,1/235.2,1/270.9,5.856523205600603
2023-08-15,ファンキージャグラー2,401,5330,-1025,16,12,1/190.4,1/333.1,1/444.2,5.6990330489118435
2023-08-15,ファンキージャグラー2,402,7758,275,25,34,1/131.5,1/310.3,1/228.2,5.815099293588739
2023-08-15,ファンキージャグラー2,403,6765,625,29,16,1/150.3,1/233.3,1/422.8,5.838562138639852
2023-08-15,ファンキージャグラー2,404,7152,1775,35,19,1/132.4,1/204.3,1/376.4,5.912721387062268
2023-08-15,ファンキージャグラー2,405,6953,1025,28,22,1/139.1,1/248.3,1/316.0,5.668658377738283
2023-08-15,ハッピージャグラーVIII,406,7823,-1575,26,20,1/170.1,1/300.9,1/391.1,6.463828951700983
2023-08-15,ハッピージャグラーVIII,407,8101,2325,39,26,1/124.6,1/207.7,1/311.6,6.124703433908049
