日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-08-21,アイムジャグラーEX-TP,48,5530,-1590,15,12,1/204.8,1/368.7,1/460.8,5.914549519084556
2022-08-21,アイムジャグラーEX-TP,49,5530,-2130,12,21,1/167.6,1/460.8,1/263.3,6.4712804165538635
2022-08-21,アイムジャグラーEX-TP,50,7660,1250,30,32,1/123.5,1/255.3,1/239.4,6.10879931071052
2022-08-21,アイムジャグラーEX-TP,51,5080,260,21,12,1/153.9,1/241.9,1/423.3,6.079631564752952
2022-08-21,アイムジャグラーEX-TP,52,5660,-700,19,11,1/188.7,1/297.9,1/514.5,5.813482328297619
2022-08-21,アイムジャグラーEX-TP,53,4920,2060,24,16,1/123.0,1/205.0,1/307.5,5.6671137389727395
2022-08-21,アイムジャグラーEX-TP,54,7180,100,26,22,1/149.6,1/276.2,1/326.4,5.967582892884712
2022-08-21,アイムジャグラーEX-TP,55,3580,-210,14,6,1/179.0,1/255.7,1/596.7,6.026447012212141
2022-08-21,アイムジャグラーEX-TP,56,7750,2690,31,37,1/114.0,1/250.0,1/209.5,5.651015177533022
2022-08-21,アイムジャグラーEX-TP,57,3750,-1010,10,9,1/197.4,1/375.0,1/416.7,5.8806809828578155
2022-08-21,アイムジャグラーEX-TP,58,5730,510,24,16,1/143.2,1/238.8,1/358.1,6.158580547139903
2022-08-21,アイムジャグラーEX-TP,59,4710,-1010,12,11,1/204.8,1/392.5,1/428.2,5.512287866886791
2022-08-21,アイムジャグラーEX-TP,60,5710,-30,21,18,1/146.4,1/271.9,1/317.2,6.159690349884975
2022-08-21,アイムジャグラーEX-TP,61,6310,2160,28,25,1/119.1,1/225.4,1/252.4,5.804000556852921
2022-08-21,アイムジャグラーEX-TP,62,4380,-700,15,10,1/175.2,1/292.0,1/438.0,6.198707201588681
2022-08-21,アイムジャグラーEX-TP,63,5380,-790,17,14,1/173.5,1/316.5,1/384.3,5.971464944087719
2022-08-21,アイムジャグラーEX-TP,64,5400,840,22,17,1/138.5,1/245.5,1/317.6,5.880608937055432
2022-08-21,アイムジャグラーEX-TP,65,6910,2160,33,23,1/123.4,1/209.4,1/300.4,6.042394348166435
2022-08-21,アイムジャグラーEX-TP,66,3830,0,15,8,1/166.5,1/255.3,1/478.8,5.946379031670213
2022-08-21,アイムジャグラーEX-TP,67,4870,-1150,13,13,1/187.3,1/374.6,1/374.6,5.851239387419691
2022-08-21,アイムジャグラーEX-TP,68,3740,-1390,9,8,1/220.0,1/415.6,1/467.5,5.933368431164239
2022-08-21,アイムジャグラーEX-TP,69,6700,1010,26,28,1/124.1,1/257.7,1/239.3,6.125543470559222
2022-08-21,アイムジャグラーEX-TP,70,8400,1350,35,29,1/131.2,1/240.0,1/289.7,6.091432400328937
2022-08-21,アイムジャグラーEX-TP,71,4290,460,18,12,1/143.0,1/238.3,1/357.5,6.084035420148028
2022-08-21,マイジャグラーV,34,8390,2110,37,30,1/125.2,1/226.8,1/279.7,5.7705881530117535
2022-08-21,マイジャグラーV,35,3990,-2130,8,9,1/234.7,1/498.8,1/443.3,6.143701761619867
2022-08-21,マイジャグラーV,36,7770,-1590,21,25,1/168.9,1/370.0,1/310.8,5.827471900658929
2022-08-21,マイジャグラーV,37,4310,-790,14,12,1/165.8,1/307.9,1/359.2,6.130775813584444
2022-08-21,マイジャグラーV,38,8000,460,33,24,1/140.4,1/242.4,1/333.3,6.081921583124188
2022-08-21,マイジャグラーV,39,8940,3140,37,40,1/116.1,1/241.6,1/223.5,5.459255186303877
2022-08-21,マイジャグラーV,40,7660,760,25,34,1/129.8,1/306.4,1/225.3,5.609610405051036
2022-08-21,マイジャグラーV,41,8420,3740,44,30,1/113.8,1/191.4,1/280.7,5.7757460611615485
2022-08-21,マイジャグラーV,42,6440,-100,27,13,1/161.0,1/238.5,1/495.4,6.062165530724472
2022-08-21,マイジャグラーV,43,4390,-790,14,13,1/162.6,1/313.6,1/337.7,6.12777952249278
2022-08-21,マイジャグラーV,44,3070,-840,9,5,1/219.3,1/341.1,1/614.0,5.712654723450175
2022-08-21,マイジャグラーV,45,3920,-790,12,8,1/196.0,1/326.7,1/490.0,5.705264576550752
2022-08-21,マイジャグラーV,46,6980,1200,30,19,1/142.4,1/232.7,1/367.4,5.654197197458275
2022-08-21,マイジャグラーV,47,6220,-950,19,18,1/168.1,1/327.4,1/345.6,5.833770416701672
2022-08-21,ファンキージャグラー2,25,4980,1200,25,13,1/131.1,1/199.2,1/383.1,6.06076648615197
2022-08-21,ファンキージャグラー2,26,4910,-590,17,13,1/163.7,1/288.8,1/377.7,6.024154590112872
2022-08-21,ファンキージャグラー2,27,6180,950,28,21,1/126.1,1/220.7,1/294.3,6.275612087966209
2022-08-21,ファンキージャグラー2,28,6330,1390,29,19,1/131.9,1/218.3,1/333.2,5.855234867877388
2022-08-21,ファンキージャグラー2,29,3720,1390,19,13,1/116.2,1/195.8,1/286.2,5.936844423555547
2022-08-21,ファンキージャグラー2,30,4840,-1150,15,12,1/179.3,1/322.7,1/403.3,6.090772008498137
2022-08-21,ファンキージャグラー2,31,3040,-1010,7,9,1/190.0,1/434.3,1/337.8,5.8669589853248825
2022-08-21,ファンキージャグラー2,32,5100,-700,18,13,1/164.5,1/283.3,1/392.3,6.133844086102333
2022-08-21,ファンキージャグラー2,33,4350,-400,16,10,1/167.3,1/271.9,1/435.0,5.980054456300495
