日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-02-11,アイムジャグラーEX-TP,329,5657,-770,20,12,1/176.8,1/282.9,1/471.4,6.14498372714456
2023-02-11,アイムジャグラーEX-TP,330,5331,2182,28,17,1/118.5,1/190.4,1/313.6,6.087159144065724
2023-02-11,アイムジャグラーEX-TP,391,4608,-225,17,8,1/184.3,1/271.1,1/576.0,5.7669847556741445
2023-02-11,アイムジャグラーEX-TP,392,3870,-858,12,6,1/215.0,1/322.5,1/645.0,5.797645975961791
2023-02-11,アイムジャグラーEX-TP,393,5639,-1170,18,12,1/188.0,1/313.3,1/469.9,6.078394626022216
2023-02-11,アイムジャグラーEX-TP,394,8843,-89,34,27,1/145.0,1/260.1,1/327.5,6.342089253456344
2023-02-11,アイムジャグラーEX-TP,395,6083,-910,20,14,1/178.9,1/304.1,1/434.5,5.99955329316496
2023-02-11,アイムジャグラーEX-TP,396,3386,-792,11,6,1/199.2,1/307.8,1/564.3,6.10965047079404
2023-02-11,アイムジャグラーEX-TP,397,6861,1114,26,26,1/131.9,1/263.9,1/263.9,5.8071456821819325
2023-02-11,アイムジャグラーEX-TP,398,4101,-1167,11,11,1/186.4,1/372.8,1/372.8,6.086669001596604
2023-02-11,アイムジャグラーEX-TP,399,5813,236,23,13,1/161.5,1/252.7,1/447.2,5.8745920427806935
2023-02-11,アイムジャグラーEX-TP,400,6546,1276,28,21,1/133.6,1/233.8,1/311.7,5.9569115457512956
2023-02-11,アイムジャグラーEX-TP,401,7154,-620,25,16,1/174.5,1/286.2,1/447.1,5.923195953190391
2023-02-11,アイムジャグラーEX-TP,402,4116,330,15,16,1/132.8,1/274.4,1/257.2,6.048699170371531
2023-02-11,アイムジャグラーEX-TP,403,6570,1224,30,19,1/134.1,1/219.0,1/345.8,6.192408305348502
2023-02-11,アイムジャグラーEX-TP,404,5682,520,24,14,1/149.5,1/236.8,1/405.9,6.042740874105332
2023-02-11,アイムジャグラーEX-TP,405,6031,2835,33,18,1/118.3,1/182.8,1/335.1,5.973099816658221
2023-02-11,アイムジャグラーEX-TP,406,7607,-121,29,21,1/152.1,1/262.3,1/362.2,6.193723685732462
2023-02-11,アイムジャグラーEX-TP,407,6121,-1683,17,17,1/180.0,1/360.1,1/360.1,6.19664028105312
2023-02-11,アイムジャグラーEX-TP,408,3896,-1334,10,12,1/177.1,1/389.6,1/324.7,6.412067431908072
2023-02-11,アイムジャグラーEX-TP,409,5791,-247,20,17,1/156.5,1/289.6,1/340.6,5.977612761533331
2023-02-11,アイムジャグラーEX-TP,410,5810,-1918,16,12,1/207.5,1/363.1,1/484.2,6.108925613473872
2023-02-11,マイジャグラーV,461,6431,-88,27,13,1/160.8,1/238.2,1/494.7,6.061378338465851
2023-02-11,マイジャグラーV,462,6838,-1613,22,11,1/207.2,1/310.8,1/621.6,5.832285039873077
2023-02-11,マイジャグラーV,463,4130,-1360,12,4,1/258.1,1/344.2,1/1032.5,5.658417017764536
2023-02-11,マイジャグラーV,464,7216,1309,32,19,1/141.5,1/225.5,1/379.8,5.71363277292884
2023-02-11,マイジャグラーV,465,5872,808,27,12,1/150.6,1/217.5,1/489.3,5.825019643817309
2023-02-11,マイジャグラーV,466,6813,-47,28,15,1/158.4,1/243.3,1/454.2,6.01207783683101
