日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-02-11,アイムジャグラーEX-TP,821,6763,-386,26,12,1/178.0,1/260.1,1/563.6,5.986592687972327
2023-02-11,アイムジャグラーEX-TP,822,4541,-1028,14,11,1/181.6,1/324.4,1/412.8,6.169992966805859
2023-02-11,アイムジャグラーEX-TP,823,6553,288,27,14,1/159.8,1/242.7,1/468.1,5.998971743469906
2023-02-11,アイムジャグラーEX-TP,824,6236,-68,24,16,1/155.9,1/259.8,1/389.8,6.1252828179412715
2023-02-11,アイムジャグラーEX-TP,825,7221,-1196,23,20,1/167.9,1/314.0,1/361.1,6.1604423349453405
2023-02-11,アイムジャグラーEX-TP,826,6483,-552,24,15,1/166.2,1/270.1,1/432.2,6.188764062577368
2023-02-11,アイムジャグラーEX-TP,827,5298,237,23,9,1/165.6,1/230.3,1/588.7,6.058284955103511
2023-02-11,アイムジャグラーEX-TP,828,6141,-1261,16,21,1/166.0,1/383.8,1/292.4,5.95840243364403
2023-02-11,アイムジャグラーEX-TP,829,6759,101,24,19,1/157.2,1/281.6,1/355.7,5.782999625563822
2023-02-11,アイムジャグラーEX-TP,830,5003,-951,18,11,1/172.5,1/277.9,1/454.8,6.53140091421597
2023-02-11,アイムジャグラーEX-TP,831,7071,936,35,9,1/160.7,1/202.0,1/785.7,6.173691910719143
2023-02-11,アイムジャグラーEX-TP,832,7676,-1832,24,13,1/207.5,1/319.8,1/590.5,5.957815052515974
2023-02-11,アイムジャグラーEX-TP,833,6565,-962,21,20,1/160.1,1/312.6,1/328.2,6.2115835673006154
2023-02-11,アイムジャグラーEX-TP,834,5571,-1600,16,13,1/192.1,1/348.2,1/428.5,6.166856541128056
2023-02-11,アイムジャグラーEX-TP,835,5643,-932,19,9,1/201.5,1/297.0,1/627.0,5.859577484070423
2023-02-11,アイムジャグラーEX-TP,836,6962,620,29,16,1/154.7,1/240.1,1/435.1,5.917606232570441
2023-02-11,アイムジャグラーEX-TP,837,6857,-2579,18,19,1/185.3,1/380.9,1/360.9,6.510757709676662
2023-02-11,アイムジャグラーEX-TP,838,4770,-1014,15,12,1/176.7,1/318.0,1/397.5,6.220721771958902
2023-02-11,アイムジャグラーEX-TP,839,7103,-1417,21,20,1/173.2,1/338.2,1/355.1,6.070676226239632
2023-02-11,アイムジャグラーEX-TP,840,6606,-1849,16,21,1/178.5,1/412.9,1/314.6,5.983132077984791
2023-02-11,アイムジャグラーEX-TP,841,5538,-745,19,14,1/167.8,1/291.5,1/395.6,6.196722300917066
2023-02-11,アイムジャグラーEX-TP,842,5460,-1661,13,11,1/227.5,1/420.0,1/496.4,5.578809678192596
2023-02-11,アイムジャグラーEX-TP,843,5287,-1606,13,14,1/195.8,1/406.7,1/377.6,5.906043549245975
2023-02-11,アイムジャグラーEX-TP,844,6065,820,24,22,1/131.8,1/252.7,1/275.7,6.043273826267187
2023-02-11,アイムジャグラーEX-TP,845,7278,-405,23,27,1/145.6,1/316.4,1/269.6,6.036319334131773
2023-02-11,アイムジャグラーEX-TP,846,5098,-277,21,9,1/169.9,1/242.8,1/566.4,6.294919678775854
2023-02-11,アイムジャグラーEX-TP,847,5797,-1891,16,12,1/207.0,1/362.3,1/483.1,6.099961415665828
2023-02-11,アイムジャグラーEX-TP,848,7257,-76,26,22,1/151.2,1/279.1,1/329.9,6.019897365934472
2023-02-11,アイムジャグラーEX-TP,849,6478,-1204,21,15,1/179.9,1/308.5,1/431.9,6.118928314383924
2023-02-11,アイムジャグラーEX-TP,850,6585,-282,23,21,1/149.7,1/286.3,1/313.6,6.134149804042558
2023-02-11,アイムジャグラーEX-TP,851,7952,517,32,18,1/159.0,1/248.5,1/441.8,5.853676146162231
