日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-04-23,アイムジャグラーEX-TP,521,4051,-680,14,10,1/168.8,1/289.4,1/405.1,6.364212957531298
2023-04-23,アイムジャグラーEX-TP,522,7091,3343,37,27,1/110.8,1/191.6,1/262.6,6.032764744192739
2023-04-23,アイムジャグラーEX-TP,523,3875,622,18,6,1/161.5,1/215.3,1/645.8,5.821333874154029
2023-04-23,アイムジャグラーEX-TP,524,4037,-266,15,8,1/175.5,1/269.1,1/504.6,5.969599875479795
2023-04-23,アイムジャグラーEX-TP,525,7582,1746,37,20,1/133.0,1/204.9,1/379.1,6.243880110156143
2023-04-23,アイムジャグラーEX-TP,526,3467,-207,12,10,1/157.6,1/288.9,1/346.7,6.041141304891401
2023-04-23,アイムジャグラーEX-TP,527,4991,0,19,11,1/166.4,1/262.7,1/453.7,5.874058076368498
2023-04-23,アイムジャグラーEX-TP,528,3567,-621,10,10,1/178.3,1/356.7,1/356.7,5.785281116005542
2023-04-23,アイムジャグラーEX-TP,529,6790,1095,29,23,1/130.6,1/234.1,1/295.2,6.183060853703135
2023-04-23,アイムジャグラーEX-TP,530,6292,385,26,12,1/165.6,1/242.0,1/524.3,5.841008816859846
2023-04-23,アイムジャグラーEX-TP,531,5166,0,21,11,1/161.4,1/246.0,1/469.6,6.134207045802932
2023-04-23,アイムジャグラーEX-TP,532,3098,-1982,5,4,1/344.2,1/619.6,1/774.5,5.882066242660447
2023-04-23,アイムジャグラーEX-TP,533,3873,681,16,11,1/143.4,1/242.1,1/352.1,5.732010356335241
2023-04-23,アイムジャグラーEX-TP,534,6230,1568,31,13,1/141.6,1/201.0,1/479.2,6.01029835198198
2023-04-23,アイムジャグラーEX-TP,535,5359,-148,19,11,1/178.6,1/282.1,1/487.2,5.656110626980127
2023-04-23,アイムジャグラーEX-TP,566,5335,444,22,14,1/148.2,1/242.5,1/381.1,6.0354201670595256
2023-04-23,アイムジャグラーEX-TP,567,3126,267,12,7,1/164.5,1/260.5,1/446.6,5.571226337592897
2023-04-23,アイムジャグラーEX-TP,568,4471,-2041,7,16,1/194.4,1/638.7,1/279.4,5.980902127385885
2023-04-23,アイムジャグラーEX-TP,569,5302,-1509,16,7,1/230.5,1/331.4,1/757.4,5.883427811988595
2023-04-23,アイムジャグラーEX-TP,570,2340,-621,7,3,1/234.0,1/334.3,1/780.0,5.758637772086406
2023-04-23,アイムジャグラーEX-TP,571,3952,-1035,11,8,1/208.0,1/359.3,1/494.0,5.821212791060455
2023-04-23,アイムジャグラーEX-TP,572,5336,740,23,15,1/140.4,1/232.0,1/355.7,6.077781433001901
2023-04-23,アイムジャグラーEX-TP,573,3616,1213,18,11,1/124.7,1/200.9,1/328.7,6.045363060247041
2023-04-23,アイムジャグラーEX-TP,574,4085,-1390,11,6,1/240.3,1/371.4,1/680.8,5.832655058136293
2023-04-23,アイムジャグラーEX-TP,575,4883,1332,23,13,1/135.6,1/212.3,1/375.6,5.864772823466662
2023-04-23,アイムジャグラーEX-TP,576,2086,-1509,2,7,1/231.8,1/1043.0,1/298.0,6.428783395272267
2023-04-23,アイムジャグラーEX-TP,577,5198,-207,19,11,1/173.3,1/273.6,1/472.5,5.845615780292654
2023-04-23,アイムジャグラーEX-TP,578,1924,-917,4,4,1/240.5,1/481.0,1/481.0,6.009008015217158
2023-04-23,アイムジャグラーEX-TP,579,3842,-1035,12,5,1/226.0,1/320.2,1/768.4,5.924948726909413
2023-04-23,アイムジャグラーEX-TP,580,5913,207,23,19,1/140.8,1/257.1,1/311.2,6.250151814316647
2023-04-23,マイジャグラーV,511,6224,-1449,15,24,1/159.6,1/414.9,1/259.3,5.909139816751536
2023-04-23,マイジャグラーV,512,5747,-148,20,17,1/155.3,1/287.4,1/338.1,5.753684407589466
2023-04-23,マイジャグラーV,513,3635,-1035,9,9,1/201.9,1/403.9,1/403.9,5.643340255449057
2023-04-23,マイジャグラーV,514,5602,0,18,22,1/140.1,1/311.2,1/254.6,5.764835666822167
2023-04-23,マイジャグラーV,515,2646,444,13,3,1/165.4,1/203.5,1/882.0,5.654174802756563
2023-04-23,マイジャグラーV,516,6480,740,27,20,1/137.9,1/240.0,1/324.0,5.908982250301842
2023-04-23,マイジャグラーV,517,6195,2219,31,20,1/121.5,1/199.8,1/309.8,5.780344562303848
2023-04-23,マイジャグラーV,518,3937,-1982,6,14,1/196.8,1/656.2,1/281.2,6.043329525277183
2023-04-23,マイジャグラーV,519,4146,-384,15,8,1/180.3,1/276.4,1/518.2,5.761506783272698
2023-04-23,マイジャグラーV,520,6767,444,26,21,1/144.0,1/260.3,1/322.2,5.791590152572614
2023-04-23,ファンキージャグラー2,506,4375,0,19,8,1/162.0,1/230.3,1/546.9,6.081337894336754
2023-04-23,ファンキージャグラー2,507,5032,0,21,15,1/139.8,1/239.6,1/335.5,6.418962574718344
2023-04-23,ファンキージャグラー2,508,3442,-2100,7,4,1/312.9,1/491.7,1/860.5,6.054482337582508
2023-04-23,ファンキージャグラー2,509,5108,-29,23,7,1/170.3,1/222.1,1/729.7,6.08267254626591
2023-04-23,ファンキージャグラー2,510,3217,-858,8,9,1/189.2,1/402.1,1/357.4,5.71203085846102
