日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-08-21,アイムジャグラーEX-TP,359,3730,-1040,11,8,1/196.3,1/339.1,1/466.2,6.133754156008995
2022-08-21,アイムジャグラーEX-TP,360,5530,510,23,13,1/153.6,1/240.4,1/425.4,5.91870376748506
2022-08-21,アイムジャグラーEX-TP,361,1750,-1500,1,4,1/350.0,1/1750.0,1/437.5,6.107376401970066
2022-08-21,アイムジャグラーEX-TP,362,4830,-350,20,8,1/172.5,1/241.5,1/603.8,6.360718310782853
2022-08-21,アイムジャグラーEX-TP,363,5710,1600,22,25,1/121.5,1/259.5,1/228.4,5.620108334231878
2022-08-21,アイムジャグラーEX-TP,364,7760,-1590,25,22,1/165.1,1/310.4,1/352.7,6.431152502723192
2022-08-21,アイムジャグラーEX-TP,365,4470,100,17,12,1/154.1,1/262.9,1/372.5,5.972601791606838
2022-08-21,アイムジャグラーEX-TP,366,2190,-480,8,2,1/219.0,1/273.8,1/1095.0,6.133335349772353
2022-08-21,アイムジャグラーEX-TP,379,5710,1120,25,19,1/129.8,1/228.4,1/300.5,6.118643388532568
2022-08-21,アイムジャグラーEX-TP,380,4070,320,17,12,1/140.3,1/239.4,1/339.2,6.266343783167262
2022-08-21,アイムジャグラーEX-TP,381,2900,-540,10,6,1/181.2,1/290.0,1/483.3,6.25652620405768
2022-08-21,アイムジャグラーEX-TP,382,4800,810,17,22,1/123.1,1/282.4,1/218.2,5.836588295269353
2022-08-21,アイムジャグラーEX-TP,383,4560,760,20,13,1/138.2,1/228.0,1/350.8,6.053878322223383
2022-08-21,マイジャグラーV,384,3330,320,15,7,1/151.4,1/222.0,1/475.7,5.9316459299902355
2022-08-21,マイジャグラーV,385,3280,-1500,8,6,1/234.3,1/410.0,1/546.7,6.081622042764928
2022-08-21,マイジャグラーV,386,4810,100,19,11,1/160.3,1/253.2,1/437.3,5.761902870219742
2022-08-21,マイジャグラーV,387,4540,-900,15,10,1/181.6,1/302.7,1/454.0,6.005930327041096
2022-08-21,マイジャグラーV,388,3160,-790,11,4,1/210.7,1/287.3,1/790.0,6.028054105982347
2022-08-21,マイジャグラーV,389,3460,-1150,9,8,1/203.5,1/384.4,1/432.5,5.901436040266043
2022-08-21,マイジャグラーV,390,5370,-290,18,19,1/145.1,1/298.3,1/282.6,5.981041018845277
2022-08-21,マイジャグラーV,391,7290,510,32,20,1/140.2,1/227.8,1/364.5,6.206524199905122
2022-08-21,マイジャグラーV,392,5660,100,20,17,1/153.0,1/283.0,1/332.9,5.646906377010965
2022-08-21,マイジャグラーV,393,2460,-760,7,4,1/223.6,1/351.4,1/615.0,5.772354866778567
2022-08-21,ファンキージャグラー2,354,3980,-240,16,5,1/189.5,1/248.8,1/796.0,5.768141020902989
2022-08-21,ファンキージャグラー2,355,5600,810,25,18,1/130.2,1/224.0,1/311.1,6.158100995605481
2022-08-21,ファンキージャグラー2,356,5870,150,22,20,1/139.8,1/266.8,1/293.5,6.001301730396631
2022-08-21,ファンキージャグラー2,357,5290,150,22,12,1/155.6,1/240.5,1/440.8,5.943550594544657
2022-08-21,ファンキージャグラー2,358,3440,-790,13,4,1/202.4,1/264.6,1/860.0,6.229798993905573
