日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-08-21,アイムジャグラーEX-TP,360,3170,-1010,9,11,1/158.5,1/352.2,1/288.2,6.861890704151206
2022-08-21,アイムジャグラーEX-TP,361,5640,-840,17,15,1/176.2,1/331.8,1/376.0,5.844767937841515
2022-08-21,アイムジャグラーEX-TP,362,2190,-840,7,2,1/243.3,1/312.9,1/1095.0,6.376077655385231
2022-08-21,アイムジャグラーEX-TP,363,2260,-900,5,4,1/251.1,1/452.0,1/565.0,5.691345490735635
2022-08-21,アイムジャグラーEX-TP,364,4860,700,21,16,1/131.4,1/231.4,1/303.8,6.283752949468864
2022-08-21,アイムジャグラーEX-TP,365,3030,-1340,6,8,1/216.4,1/505.0,1/378.8,5.983250453137424
2022-08-21,アイムジャグラーEX-TP,376,4920,1050,24,9,1/149.1,1/205.0,1/546.7,5.961753533474972
2022-08-21,アイムジャグラーEX-TP,377,4050,-590,14,10,1/168.8,1/289.3,1/405.0,6.255193354976817
2022-08-21,アイムジャグラーEX-TP,378,4600,-1640,12,11,1/200.0,1/383.3,1/418.2,6.208327864493797
2022-08-21,アイムジャグラーEX-TP,379,1420,-1200,2,1,1/473.3,1/710.0,1/1420.0,6.337643302706598
2022-08-21,アイムジャグラーEX-TP,380,4880,-150,17,16,1/147.9,1/287.1,1/305.0,6.10672541303144
2022-08-21,アイムジャグラーEX-TP,381,2280,-760,7,4,1/207.3,1/325.7,1/570.0,6.366893049740374
2022-08-21,アイムジャグラーEX-TP,382,5590,1500,26,17,1/130.0,1/215.0,1/328.8,5.977363968589005
2022-08-21,マイジャグラーV,366,5780,-400,22,13,1/165.1,1/262.7,1/444.6,5.985982599691012
2022-08-21,マイジャグラーV,367,5060,340,24,10,1/148.8,1/210.8,1/506.0,6.275986701233793
2022-08-21,マイジャグラーV,368,3050,-790,9,6,1/203.3,1/338.9,1/508.3,5.8048709290517495
2022-08-21,マイジャグラーV,369,6080,320,22,19,1/148.3,1/276.4,1/320.0,5.634603993683127
2022-08-21,マイジャグラーV,370,7000,1450,25,36,1/114.8,1/280.0,1/194.4,5.7415522286450145
2022-08-21,マイジャグラーV,371,5720,840,27,11,1/150.5,1/211.9,1/520.0,5.86130762801539
2022-08-21,マイジャグラーV,372,2680,-1010,7,4,1/243.6,1/382.9,1/670.0,5.769535474893048
2022-08-21,マイジャグラーV,373,1590,-1280,1,4,1/318.0,1/1590.0,1/397.5,5.990695489133458
2022-08-21,マイジャグラーV,374,6230,1560,32,15,1/132.6,1/194.7,1/415.3,6.048211991869037
2022-08-21,マイジャグラーV,375,3080,-290,11,6,1/181.2,1/280.0,1/513.3,5.729190112013107
2022-08-21,ファンキージャグラー2,355,7730,2940,41,23,1/120.8,1/188.5,1/336.1,5.8969084237012614
2022-08-21,ファンキージャグラー2,356,4330,210,16,16,1/135.3,1/270.6,1/270.6,5.964936025888925
2022-08-21,ファンキージャグラー2,357,9140,1550,35,41,1/120.3,1/261.1,1/222.9,5.904717943930698
2022-08-21,ファンキージャグラー2,358,5650,340,16,25,1/137.8,1/353.1,1/226.0,5.36950702104621
2022-08-21,ファンキージャグラー2,359,7550,810,29,27,1/134.8,1/260.3,1/279.6,5.812339384806217
