日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-09-13,アイムジャグラーEX-TP,781,1300,-320,4,3,1/185.7,1/325.0,1/433.3,6.205006246770711
2022-09-13,アイムジャグラーEX-TP,782,760,10,4,0,1/190.0,1/190.0,1/0.0,6.562167034781211
2022-09-13,マイジャグラーV,773,1720,-460,5,3,1/215.0,1/344.0,1/573.3,5.708331791475304
2022-09-13,マイジャグラーV,775,620,-60,3,0,1/206.7,1/206.7,1/0.0,6.269128108368957
2022-09-13,マイジャグラーV,776,2130,120,6,10,1/133.1,1/355.0,1/213.0,5.457989194142309
2022-09-13,マイジャグラーV,777,570,-180,2,0,1/285.0,1/285.0,1/0.0,5.817052920256241
2022-09-13,マイジャグラーV,778,990,-160,3,3,1/165.0,1/330.0,1/330.0,5.90285026429043
2022-09-13,マイジャグラーV,780,1000,-150,4,2,1/166.7,1/250.0,1/500.0,6.4880822040015245
2022-09-13,ファンキージャグラー2,783,350,-480,0,0,1/0.0,1/0.0,1/0.0,6.912812156673948
2022-09-13,ファンキージャグラー2,785,450,710,5,1,1/75.0,1/90.0,1/450.0,6.46999092404051
