日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-09-08,アイムジャグラーEX-TP,17,610,-300,1,2,1/203.3,1/610.0,1/305.0,6.095997977327884
2022-09-08,アイムジャグラーEX-TP,18,130,-220,0,0,1/0.0,1/0.0,1/0.0,9.569237110973706
2022-09-08,アイムジャグラーEX-TP,20,1020,360,5,2,1/145.7,1/204.0,1/510.0,5.468668950104026
2022-09-08,アイムジャグラーEX-TP,21,540,-640,0,1,1/540.0,1/0.0,1/540.0,6.856677038448817
2022-09-08,アイムジャグラーEX-TP,22,1560,1070,11,1,1/130.0,1/141.8,1/1560.0,5.7907017662382785
2022-09-08,マイジャグラーV,10,1390,-300,4,5,1/154.4,1/347.5,1/278.0,6.2325316066978855
2022-09-08,マイジャグラーV,11,380,-100,1,1,1/190.0,1/380.0,1/380.0,5.767391245783069
2022-09-08,マイジャグラーV,12,520,-350,0,2,1/260.0,1/0.0,1/260.0,5.36514174549728
2022-09-08,マイジャグラーV,13,120,-260,0,0,1/0.0,1/0.0,1/0.0,21.986276898835655
2022-09-08,マイジャグラーV,15,90,-140,0,0,1/0.0,1/0.0,1/0.0,8.205343273954758
2022-09-08,マイジャグラーV,16,740,-220,2,3,1/148.0,1/370.0,1/246.7,6.664098587233613
2022-09-08,ファンキージャグラー2,23,140,-220,0,0,1/0.0,1/0.0,1/0.0,8.357086361533524
2022-09-08,ファンキージャグラー2,25,170,-300,0,0,1/0.0,1/0.0,1/0.0,10.47128481124739
