日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,合成回数,機種台数,前日のG数,前日の差枚,前日のBB回数,前日のRB回数,前日の合成回数,前日の合成確率,前日のBB確率,前日のRB確率,前日のG数ランキング,前日の差枚ランキング,前日の合成回数ランキング,前日の合成確率ランキング,2日前のG数,2日前の差枚,2日前のBB回数,2日前のRB回数,2日前の合成回数,2日前の合成確率,2日前のBB確率,2日前のRB確率,3日前のG数,3日前の差枚,3日前のBB回数,3日前のRB回数,3日前の合成回数,3日前の合成確率,3日前のBB確率,3日前のRB確率,4日前のG数,4日前の差枚,4日前のBB回数,4日前のRB回数,4日前の合成回数,4日前の合成確率,4日前のBB確率,4日前のRB確率,5日前のG数,5日前の差枚,5日前のBB回数,5日前のRB回数,5日前の合成回数,5日前の合成確率,5日前のBB確率,5日前のRB確率,6日前のG数,6日前の差枚,6日前のBB回数,6日前のRB回数,6日前の合成回数,6日前の合成確率,6日前のBB確率,6日前のRB確率,G数過去2日間合計,差枚過去2日間合計,合成回数過去2日間合計,合成確率過去2日間平均,G数過去3日間合計,差枚過去3日間合計,合成回数過去3日間合計,合成確率過去3日間平均,G数過去4日間合計,差枚過去4日間合計,合成回数過去4日間合計,合成確率過去4日間平均,G数過去5日間合計,差枚過去5日間合計,合成回数過去5日間合計,合成確率過去5日間平均,G数過去6日間合計,差枚過去6日間合計,合成回数過去6日間合計,合成確率過去6日間平均,過去2日間合計G数ランキング,過去2日間合計差枚ランキング,過去2日間合計合成回数ランキング,過去2日間平均合成確率ランキング,過去3日間合計G数ランキング,過去3日間合計差枚ランキング,過去3日間合計合成回数ランキング,過去3日間平均合成確率ランキング,過去6日間合計G数ランキング,過去6日間合計差枚ランキング,過去6日間合計合成回数ランキング,過去6日間平均合成確率ランキング
2023-10-01,アイムジャグラーEX-TP,1068,1684,-928,3,6,187.1,561.3,280.7,6.721076253443803,0,1,9,18,3018.0,-1053.0,8.0,8.0,16.0,188.6,377.2,377.2,8.0,18.0,8.0,9.0,3103.0,697.0,15.0,4.0,19.0,163.3,206.9,775.8,1079.0,-470.0,3.0,1.0,4.0,269.8,359.7,1079.0,77.0,-137.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,-428.0,1.0,1.0,2.0,289.0,578.0,578.0,7317.0,1863.0,35.0,20.0,55.0,133.0,209.1,365.9,6121.0,-356.0,35.0,175.95,9224.0,341.0,54.0,171.73333333333335,10303.0,-129.0,58.0,196.25000000000003,10380.0,-266.0,58.0,157.00000000000003,10958.0,-694.0,60.0,179.0,8.0,10.0,8.0,10.0,8.0,6.0,8.0,11.0,14.0,8.0,13.0,11.0
2023-10-01,アイムジャグラーEX-TP,1070,4929,0,19,12,159.0,259.4,410.8,6.024439423711585,1,1,31,18,584.0,-470.0,1.0,0.0,1.0,584.0,584.0,0.0,18.0,10.5,17.5,2.0,2016.0,-1262.0,3.0,6.0,9.0,224.0,672.0,336.0,2152.0,-428.0,7.0,5.0,12.0,179.3,307.4,430.4,4907.0,947.0,21.0,15.0,36.0,136.3,233.7,327.1,1250.0,-345.0,4.0,3.0,7.0,178.6,312.5,416.7,293.0,-95.0,1.0,0.0,1.0,293.0,293.0,0.0,2600.0,-1732.0,10.0,404.0,4616.0,-2994.0,19.0,344.0,6768.0,-3422.0,31.0,302.825,11675.0,-2475.0,67.0,269.52,12925.0,-2820.0,74.0,254.36666666666665,14.0,17.0,15.0,1.0,12.0,17.0,13.0,4.0,12.0,17.0,12.0,5.0
2023-10-01,アイムジャグラーEX-TP,1071,1284,-720,3,1,321.0,428.0,1284.0,6.123898485222231,0,1,4,18,1182.0,-262.0,4.0,3.0,7.0,168.9,295.5,394.0,10.0,8.0,10.0,11.0,1449.0,-1012.0,3.0,1.0,4.0,362.2,483.0,1449.0,8081.0,3738.0,35.0,38.0,73.0,110.7,230.9,212.7,499.0,0.0,2.0,1.0,3.0,166.3,249.5,499.0,400.0,-262.0,1.0,0.0,1.0,400.0,400.0,0.0,2399.0,-970.0,5.0,7.0,12.0,199.9,479.8,342.7,2631.0,-1274.0,11.0,265.55,4080.0,-2286.0,15.0,297.76666666666665,12161.0,1452.0,88.0,251.0,12660.0,1452.0,91.0,234.06000000000003,13060.0,1190.0,92.0,261.7166666666667,13.0,13.5,14.0,6.0,13.0,15.0,15.0,5.0,11.0,5.0,9.0,4.0
2023-10-01,アイムジャグラーEX-TP,1072,4549,-845,15,12,168.5,303.3,379.1,6.335017476863503,2,1,27,18,5167.0,1863.0,24.0,19.0,43.0,120.2,215.3,271.9,3.0,1.0,3.0,18.0,4596.0,238.0,18.0,8.0,26.0,176.8,255.3,574.5,4073.0,572.0,18.0,8.0,26.0,156.7,226.3,509.1,3839.0,-137.0,13.0,14.0,27.0,142.2,295.3,274.2,1997.0,-220.0,8.0,5.0,13.0,153.6,249.6,399.4,1221.0,-553.0,2.0,4.0,6.0,203.5,610.5,305.2,9763.0,2101.0,69.0,148.5,14359.0,2339.0,95.0,157.93333333333334,18432.0,2911.0,121.0,157.625,22271.0,2774.0,148.0,154.54000000000002,24268.0,2554.0,161.0,154.38333333333335,2.0,1.0,2.0,14.0,4.0,2.5,3.5,13.0,4.0,4.0,4.0,15.0
2023-10-01,アイムジャグラーEX-TP,1073,596,-470,1,0,596.0,596.0,0.0,6.069024564173265,0,1,1,18,1016.0,-512.0,3.0,1.0,4.0,254.0,338.7,1016.0,12.0,12.0,13.0,4.0,1212.0,-1178.0,1.0,2.0,3.0,404.0,1212.0,606.0,1306.0,-762.0,2.0,3.0,5.0,261.2,653.0,435.3,2576.0,-762.0,8.0,4.0,12.0,214.7,322.0,644.0,712.0,-95.0,3.0,1.0,4.0,178.0,237.3,712.0,2437.0,-83.0,10.0,4.0,14.0,174.1,243.7,609.2,2228.0,-1690.0,7.0,329.0,3440.0,-2868.0,10.0,354.0,4746.0,-3630.0,15.0,330.8,7322.0,-4392.0,27.0,307.58000000000004,8034.0,-4487.0,31.0,285.98333333333335,16.0,16.0,16.0,4.0,16.0,16.0,16.0,3.0,17.0,18.0,17.0,2.0
2023-10-01,アイムジャグラーEX-TP,1075,3085,363,13,5,171.4,237.3,617.0,5.583246568294145,0,1,18,18,912.0,-928.0,0.0,3.0,3.0,304.0,0.0,304.0,15.0,16.0,15.5,3.0,5107.0,-1178.0,16.0,14.0,30.0,170.2,319.2,364.8,7159.0,738.0,27.0,26.0,53.0,135.1,265.1,275.3,545.0,-345.0,0.0,3.0,3.0,181.7,0.0,181.7,1954.0,613.0,9.0,7.0,16.0,122.1,217.1,279.1,971.0,-720.0,1.0,1.0,2.0,485.5,971.0,971.0,6019.0,-2106.0,33.0,237.1,11126.0,-3284.0,63.0,214.79999999999998,18285.0,-2546.0,116.0,194.875,18830.0,-2891.0,119.0,192.24,20784.0,-2278.0,135.0,180.55000000000004,9.0,18.0,10.0,7.0,7.0,18.0,7.0,7.0,7.0,13.0,7.0,10.0
2023-10-01,アイムジャグラーEX-TP,1076,3374,-1262,8,10,187.4,421.8,337.4,6.268387378016791,0,1,18,18,992.0,-970.0,1.0,3.0,4.0,248.0,992.0,330.7,13.0,17.0,13.0,6.0,196.0,-345.0,0.0,0.0,0.0,0.0,0.0,0.0,2113.0,-262.0,6.0,6.0,12.0,176.1,352.2,352.2,652.0,-428.0,1.0,1.0,2.0,326.0,652.0,652.0,1391.0,-262.0,5.0,3.0,8.0,173.9,278.2,463.7,454.0,-262.0,1.0,0.0,1.0,454.0,454.0,0.0,1188.0,-1315.0,4.0,124.0,1384.0,-1660.0,4.0,82.66666666666667,3497.0,-1922.0,16.0,106.025,4149.0,-2350.0,18.0,150.02,5540.0,-2612.0,26.0,154.0,18.0,15.0,17.5,17.0,18.0,13.0,18.0,17.0,18.0,15.0,18.0,16.0
2023-10-01,アイムジャグラーEX-TP,1077,4149,-1012,14,5,218.4,296.4,829.8,6.052240860047786,1,1,19,18,4084.0,655.0,19.0,6.0,25.0,163.4,214.9,680.7,4.0,5.0,4.5,13.0,5319.0,447.0,23.0,11.0,34.0,156.4,231.3,483.5,3659.0,-1012.0,12.0,8.0,20.0,182.9,304.9,457.4,4077.0,-678.0,15.0,6.0,21.0,194.1,271.8,679.5,5153.0,1155.0,23.0,17.0,40.0,128.8,224.0,303.1,5478.0,-803.0,14.0,19.0,33.0,166.0,391.3,288.3,9403.0,1102.0,59.0,159.9,14722.0,1549.0,93.0,158.73333333333335,18381.0,537.0,113.0,164.775,22458.0,-141.0,134.0,170.64000000000001,27611.0,1014.0,174.0,163.66666666666669,3.0,4.0,4.0,12.0,3.0,5.0,5.0,12.0,1.0,6.5,3.0,14.0
2023-10-01,アイムジャグラーEX-TP,1080,3047,-262,10,9,160.4,304.7,338.6,5.986187211904917,0,1,19,18,616.0,-553.0,1.0,0.0,1.0,616.0,616.0,0.0,17.0,13.0,17.5,1.0,8390.0,1322.0,36.0,25.0,61.0,137.5,233.1,335.6,3255.0,-1262.0,7.0,11.0,18.0,180.8,465.0,295.9,5509.0,738.0,24.0,10.0,34.0,162.0,229.5,550.9,854.0,-553.0,2.0,2.0,4.0,213.5,427.0,427.0,1800.0,530.0,8.0,6.0,14.0,128.6,225.0,300.0,9006.0,769.0,62.0,376.75,17396.0,2091.0,123.0,297.0,20651.0,829.0,141.0,267.95,26160.0,1567.0,175.0,246.76,27014.0,1014.0,179.0,241.21666666666667,4.0,6.0,3.0,2.0,1.0,4.0,1.0,6.0,2.0,6.5,2.0,6.0
2023-10-01,アイムジャグラーEX-TP,1081,2847,-1137,8,6,203.4,355.9,474.5,6.545529086358636,0,1,14,18,3113.0,-637.0,10.0,7.0,17.0,183.1,311.3,444.7,7.0,14.0,7.0,10.0,473.0,-637.0,0.0,0.0,0.0,0.0,0.0,0.0,3077.0,1030.0,16.0,6.0,22.0,139.9,192.3,512.8,944.0,-845.0,0.0,4.0,4.0,236.0,0.0,236.0,1197.0,-470.0,4.0,0.0,4.0,299.2,299.2,0.0,5352.0,1488.0,17.0,30.0,47.0,113.9,314.8,178.4,3586.0,-1274.0,17.0,91.55,4059.0,-1911.0,17.0,61.03333333333333,7136.0,-881.0,39.0,80.75,8080.0,-1726.0,43.0,111.8,9277.0,-2196.0,47.0,143.03333333333333,12.0,13.5,12.0,18.0,14.0,14.0,14.0,18.0,16.0,12.0,16.0,18.0
