日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-09-05,アイムジャグラーEX-TP,781,2000,-310,5,10,1/133.3,1/400.0,1/200.0,6.3044497594458395
2022-09-05,アイムジャグラーEX-TP,782,3860,120,13,14,1/143.0,1/296.9,1/275.7,5.8489665020142185
2022-09-05,アイムジャグラーEX-TP,783,3930,270,15,11,1/151.2,1/262.0,1/357.3,5.8332431629714625
2022-09-05,アイムジャグラーEX-TP,784,740,-220,2,2,1/185.0,1/370.0,1/370.0,6.179819382251893
2022-09-05,アイムジャグラーEX-TP,785,1390,-770,3,3,1/231.7,1/463.3,1/463.3,6.522511345181154
2022-09-05,アイムジャグラーEX-TP,786,1580,-570,6,0,1/263.3,1/263.3,1/0.0,6.592791241768922
2022-09-05,アイムジャグラーEX-TP,787,2730,-50,9,8,1/160.6,1/303.3,1/341.2,5.703744382830308
2022-09-05,アイムジャグラーEX-TP,788,4460,500,18,13,1/143.9,1/247.8,1/343.1,5.931287628683839
2022-09-05,アイムジャグラーEX-TP,789,540,-500,0,1,1/540.0,1/0.0,1/540.0,5.610077777494966
2022-09-05,アイムジャグラーEX-TP,790,1290,-400,4,3,1/184.3,1/322.5,1/430.0,6.569972627660553
2022-09-05,アイムジャグラーEX-TP,791,950,-80,3,1,1/237.5,1/316.7,1/950.0,5.159874642203429
2022-09-05,アイムジャグラーEX-TP,792,1570,-390,5,2,1/224.3,1/314.0,1/785.0,5.889214129387535
2022-09-05,アイムジャグラーEX-TP,793,2390,-640,8,4,1/199.2,1/298.8,1/597.5,6.348605936451252
2022-09-05,アイムジャグラーEX-TP,794,290,-350,0,0,1/0.0,1/0.0,1/0.0,6.054077525594135
2022-09-05,アイムジャグラーEX-TP,795,2900,140,11,8,1/152.6,1/263.6,1/362.5,5.8788083655443035
2022-09-05,アイムジャグラーEX-TP,796,510,0,2,1,1/170.0,1/255.0,1/510.0,5.898568903091718
2022-09-05,アイムジャグラーEX-TP,797,3010,-900,8,11,1/158.4,1/376.2,1/273.6,6.592756969403802
2022-09-05,アイムジャグラーEX-TP,804,420,-190,1,1,1/210.0,1/420.0,1/420.0,6.395195685374644
2022-09-05,アイムジャグラーEX-TP,805,3420,1130,18,8,1/131.5,1/190.0,1/427.5,6.090347635974579
2022-09-05,アイムジャグラーEX-TP,806,130,-220,0,0,1/0.0,1/0.0,1/0.0,9.569237110973706
2022-09-05,アイムジャグラーEX-TP,807,1720,10,7,4,1/156.4,1/245.7,1/430.0,6.201102101686899
2022-09-05,アイムジャグラーEX-TP,808,4600,580,19,15,1/135.3,1/242.1,1/306.7,6.125398899958255
2022-09-05,アイムジャグラーEX-TP,809,540,-460,1,0,1/540.0,1/540.0,1/0.0,6.605072328599903
2022-09-05,アイムジャグラーEX-TP,810,190,-120,0,1,1/190.0,1/0.0,1/190.0,5.733019324801192
2022-09-05,アイムジャグラーEX-TP,811,6320,-60,22,22,1/143.6,1/287.3,1/287.3,6.094516304663328
2022-09-05,アイムジャグラーEX-TP,812,560,-490,1,0,1/560.0,1/560.0,1/0.0,6.640881861676362
2022-09-05,アイムジャグラーEX-TP,813,1070,-200,4,1,1/214.0,1/267.5,1/1070.0,6.092299475806027
2022-09-05,アイムジャグラーEX-TP,814,380,-210,1,0,1/380.0,1/380.0,1/0.0,6.0859447508326125
2022-09-05,アイムジャグラーEX-TP,815,4900,1780,27,12,1/125.6,1/181.5,1/408.3,6.28002033957608
2022-09-05,アイムジャグラーEX-TP,816,870,-360,2,3,1/174.0,1/435.0,1/290.0,6.619818137616888
2022-09-05,アイムジャグラーEX-TP,817,1860,-490,6,3,1/206.7,1/310.0,1/620.0,6.150221135168799
2022-09-05,アイムジャグラーEX-TP,818,4010,20,13,13,1/154.2,1/308.5,1/308.5,5.673795793439309
2022-09-05,アイムジャグラーEX-TP,819,1550,-1040,3,2,1/310.0,1/516.7,1/775.0,6.409441313811416
2022-09-05,アイムジャグラーEX-TP,820,1840,-1100,4,2,1/306.7,1/460.0,1/920.0,6.246263698921942
2022-09-05,マイジャグラーV,621,7680,1020,30,28,1/132.4,1/256.0,1/274.3,5.790779585963784
